Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-09,09:35:00,1.424,1.424,1.424,1.424,1000,0
2015-10-09,14:25:00,1.425,1.425,1.425,1.425,2000,0
2015-10-09,16:05:00,1.42,1.42,1.42,1.42,2000,0
2015-10-09,16:20:00,1.42,1.42,1.42,1.42,940,0
2015-10-09,16:25:00,1.499,1.499,1.499,1.499,86,0
2015-10-09,17:30:00,1.405,1.405,1.405,1.405,13942,0
2015-10-12,10:00:00,1.49,1.49,1.489,1.49,635,0
2015-10-12,10:15:00,1.411,1.411,1.411,1.411,740,0
2015-10-12,11:25:00,1.41,1.41,1.406,1.406,4182,0
2015-10-12,17:30:00,1.45,1.45,1.411,1.411,13495,0
2015-10-13,09:05:00,1.54,1.54,1.54,1.54,400,0
2015-10-13,16:05:00,1.5,1.5,1.5,1.5,537,0
2015-10-13,16:30:00,1.5,1.5,1.5,1.5,2663,0
2015-10-14,10:45:00,1.412,1.412,1.412,1.412,1500,0
2015-10-14,12:15:00,1.5,1.5,1.5,1.5,1502,0
2015-10-19,12:05:00,1.5,1.5,1.5,1.5,1600,0
2015-10-19,15:05:00,1.499,1.499,1.499,1.499,1800,0
2015-10-19,16:20:00,1.453,1.453,1.453,1.453,500,0
2015-10-19,17:05:00,1.499,1.499,1.499,1.499,200,0
2015-10-19,17:10:00,1.5,1.5,1.5,1.5,900,0
2015-10-19,17:15:00,1.55,1.55,1.55,1.55,5200,0
2015-10-20,11:30:00,1.471,1.471,1.471,1.471,20000,0
2015-10-21,09:30:00,1.405,1.405,1.405,1.405,1500,0
2015-10-21,12:40:00,1.415,1.415,1.415,1.415,300,0
2015-10-21,14:15:00,1.415,1.415,1.415,1.415,100,0
2015-10-21,17:00:00,1.468,1.468,1.468,1.468,2619,0
2015-10-21,17:10:00,1.469,1.469,1.469,1.469,5281,0
2015-10-22,11:30:00,1.518,1.518,1.518,1.518,2000,0
2015-10-22,11:35:00,1.615,1.625,1.615,1.625,50,0
2015-10-22,11:50:00,1.489,1.489,1.489,1.489,2000,0
2015-10-22,12:30:00,1.407,1.407,1.407,1.407,120,0
2015-10-22,17:30:00,1.46,1.46,1.46,1.46,7848,0
2015-10-23,09:20:00,1.407,1.407,1.407,1.407,1264,0
2015-10-23,15:10:00,1.489,1.49,1.489,1.49,962,0
2015-10-26,10:55:00,1.499,1.499,1.499,1.499,161,0
2015-10-26,11:45:00,1.421,1.421,1.421,1.421,150,0
2015-10-26,15:10:00,1.422,1.422,1.422,1.422,3150,0
2015-10-26,15:15:00,1.422,1.422,1.421,1.421,3000,0
2015-10-26,16:50:00,1.423,1.423,1.39,1.39,17700,0
2015-10-26,16:55:00,1.39,1.39,1.39,1.39,19,0
2015-10-27,10:00:00,1.386,1.386,1.386,1.386,300,0
2015-10-27,11:00:00,1.386,1.387,1.386,1.387,2600,0
2015-10-27,16:35:00,1.374,1.374,1.374,1.374,225,0
2015-10-28,14:15:00,1.319,1.319,1.319,1.319,1532,0
2015-10-28,15:25:00,1.371,1.372,1.371,1.372,1860,0
2015-10-29,11:05:00,1.32,1.32,1.32,1.32,772,0
2015-10-29,12:50:00,1.32,1.32,1.32,1.32,11,0
2015-10-29,12:55:00,1.267,1.267,1.267,1.267,409,0
2015-10-29,13:30:00,1.287,1.287,1.287,1.287,942,0
2015-10-29,13:55:00,1.243,1.243,1.243,1.243,3179,0
2015-10-29,16:40:00,1.342,1.342,1.342,1.342,2596,0
2015-10-30,09:05:00,1.35,1.35,1.35,1.35,100,0
2015-10-30,14:25:00,1.3,1.3,1.3,1.3,359,0
2015-11-02,09:05:00,1.3,1.3,1.3,1.3,60,0
2015-11-02,09:25:00,1.3,1.3,1.253,1.253,41,0
2015-11-02,11:00:00,1.35,1.35,1.35,1.35,1000,0
2015-11-02,11:45:00,1.35,1.35,1.35,1.35,1658,0
2015-11-02,13:00:00,1.35,1.35,1.35,1.35,1342,0
