Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-30,08:05:00,8.7,8.7,8.7,8.7,3,0
2016-10-04,16:35:00,8.7,8.7,8.7,8.7,30,0
2016-10-05,12:10:00,10,10,10,10,100,0
2016-10-06,12:30:00,8.999,8.999,8.999,8.999,4,0
2016-10-06,15:10:00,8.7,8.7,8.7,8.7,21,0
2016-10-10,10:50:00,8,8,8,8,13,0
2016-10-10,16:45:00,8,8,8,8,3,0
2016-10-11,10:10:00,7.8,7.8,7.8,7.8,84,0
2016-10-11,11:40:00,7.3,7.3,7.3,7.3,1,0
2016-10-11,13:25:00,7.3,7.3,7.3,7.3,8,0
2016-10-11,15:05:00,7.3,7.3,7.3,7.3,3,0
2016-10-14,10:35:00,6.8,6.8,6.8,6.8,18,0
2016-10-17,10:40:00,6,6,6,6,74,0
2016-10-17,10:55:00,5.7,5.7,5.7,5.7,19,0
2016-10-17,15:30:00,5.5,5.5,5.5,5.5,1,0
2016-10-17,17:05:00,5.5,5.5,5.5,5.5,15,0
2016-10-20,08:35:00,5.5,5.5,5.5,5.5,1,0
2016-10-21,10:00:00,5.011,5.011,5.011,5.011,8,0
2016-10-21,12:15:00,5.011,5.011,5.011,5.011,3,0
2016-10-21,15:15:00,5.011,5.011,5.011,5.011,1,0
2016-10-21,15:20:00,5.01,5.01,5.01,5.01,63,0
2016-10-25,12:40:00,4.751,4.751,4.751,4.751,1,0
2016-10-26,08:05:00,6.24,6.24,6.24,6.24,15,0
2016-10-26,12:50:00,6.24,6.24,6.24,6.24,10,0
2016-10-28,11:00:00,4.95,4.95,4.95,4.95,25,0
2016-10-28,11:30:00,4.751,4.751,4.751,4.751,1,0
2016-10-28,16:30:00,4.751,4.751,4.751,4.751,15,0
2016-10-31,17:35:00,4.751,4.751,4.751,4.751,7,0
2016-11-01,10:00:00,5.3,5.3,5.3,5.3,50,0
2016-11-02,11:40:00,5.45,5.45,5.45,5.45,33,0
2016-11-03,09:45:00,5.49,5.49,5.49,5.49,2,0
2016-11-03,10:35:00,5,5,5,5,16,0
2016-11-08,11:10:00,5.501,5.501,5.501,5.501,33,0
2016-11-08,11:15:00,6,6,6,6,100,0
2016-11-10,11:30:00,6.501,6.501,6.501,6.501,2,0
2016-11-10,13:25:00,6.501,6.501,6.501,6.501,11,0
2016-11-21,11:10:00,7.191,7.191,7.191,7.191,28,0
2016-12-05,09:45:00,7.1,7.1,7.1,7.1,12,0
2016-12-05,12:00:00,6.891,6.891,6.891,6.891,3,0
2016-12-06,15:10:00,7.609,7.609,7.609,7.609,10,0
2016-12-09,08:45:00,6.891,6.891,6.891,6.891,1,0
2016-12-15,10:50:00,6.89,6.89,6.89,6.89,10,0
2017-01-02,08:10:00,6.391,6.391,6.391,6.391,33,0
2017-01-03,10:55:00,6.241,6.241,6.241,6.241,1,0
2017-01-06,14:00:00,6.241,6.241,6.241,6.241,3,0
2017-01-10,16:50:00,6.241,6.241,6.241,6.241,1,0
2017-01-10,18:05:00,6.241,6.241,6.241,6.241,1,0
2017-01-18,12:50:00,5.841,5.841,5.841,5.841,3,0
2017-01-23,09:40:00,5.841,5.841,5.841,5.841,1,0
2017-01-30,08:05:00,5.841,5.841,5.841,5.841,17,0
2017-01-30,12:00:00,5.841,5.841,5.841,5.841,41,0
2017-01-31,08:25:00,5.341,5.341,5.341,5.341,33,0
2017-02-01,08:05:00,5.001,5.001,5.001,5.001,17,0
2017-02-01,10:10:00,5,5,5,5,50,0
2017-02-03,10:40:00,5.03,5.03,5.03,5.03,43,0
2017-02-14,11:10:00,5.1,5.1,5.1,5.1,5,0
2017-02-20,11:30:00,5.53,5.53,5.53,5.53,150,0
2017-02-20,12:15:00,6,6,6,6,341,0
2017-02-20,12:50:00,6,6,6,6,126,0
2017-02-28,13:00:00,5.681,5.681,5.681,5.681,8,0
2017-03-01,10:35:00,5.68,5.68,5.68,5.68,2,0
2017-03-08,12:40:00,5.701,5.701,5.701,5.701,8,0
2017-03-17,15:25:00,6.051,6.051,6.051,6.051,14,0
2017-03-20,08:05:00,6.051,6.051,6.051,6.051,1,0
2017-03-20,10:05:00,6.051,6.051,6.051,6.051,6,0
2017-04-03,08:10:00,6.05,6.05,6.05,6.05,1,0
2017-04-12,08:05:00,6.071,6.071,6.071,6.071,31,0
2017-04-20,12:05:00,6.1,6.1,6.1,6.1,5,0
2017-04-25,11:50:00,6.1,6.1,6.1,6.1,5,0
2017-05-03,10:40:00,6.121,6.121,6.121,6.121,8,0
2017-05-04,12:10:00,6.22,6.22,6.22,6.22,11,0
2017-05-12,15:20:00,6.22,6.22,6.22,6.22,1,0
