Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-13,09:05:00,3.6,3.6,3.6,3.6,500,0
2015-05-13,09:50:00,3.59,3.59,3.59,3.59,70,0
2015-05-13,12:25:00,3.59,3.59,3.59,3.59,1570,0
2015-05-15,12:15:00,3.001,3.001,3.001,3.001,700,0
2015-05-15,12:30:00,3.249,3.249,3.151,3.151,492,0
2015-05-15,15:20:00,3.248,3.248,3.248,3.248,35,0
2015-05-15,17:30:00,3,3,2.999,2.999,2227,0
2015-05-18,09:30:00,2.999,2.999,2.999,2.999,300,0
2015-05-18,09:55:00,2.85,2.85,2.85,2.85,25,0
2015-05-18,10:20:00,2.85,2.85,2.85,2.85,15,0
2015-05-18,10:50:00,2.65,2.65,2.65,2.65,10,0
2015-05-18,11:15:00,2.651,2.651,2.651,2.651,80,0
2015-05-18,11:30:00,2.651,2.651,2.651,2.651,20,0
2015-05-18,13:20:00,2.548,2.548,2.548,2.548,700,0
2015-05-18,13:45:00,2.3,2.3,2.3,2.3,778,0
2015-05-18,15:40:00,2.3,2.3,2.3,2.3,22,0
2015-05-18,16:45:00,2.3,2.3,2.3,2.3,2906,0
2015-05-19,10:25:00,2.399,2.399,2.399,2.399,100,0
2015-05-19,13:05:00,2.399,2.399,2.399,2.399,100,0
2015-05-19,16:00:00,2.308,2.308,2.308,2.308,278,0
2015-05-19,16:05:00,2.392,2.5,2.392,2.5,1194,0
2015-05-19,17:10:00,2.65,2.65,2.65,2.65,100,0
2015-05-19,17:30:00,2.65,2.65,2.65,2.65,1992,0
2015-05-20,15:10:00,2.51,2.51,2.51,2.51,1000,0
2015-05-20,15:15:00,2.5,2.5,2.5,2.5,400,0
2015-05-20,15:30:00,2.35,2.35,2.35,2.35,500,0
2015-05-20,15:45:00,2.504,2.507,2.5,2.501,3318,0
2015-05-20,15:50:00,2.503,2.503,2.503,2.503,250,0
2015-05-20,16:40:00,2.503,2.515,2.503,2.515,11468,0
2015-05-21,09:15:00,2.505,2.505,2.505,2.505,135,0
2015-05-21,13:25:00,2.35,2.35,2.35,2.35,293,0
2015-05-22,12:00:00,2.35,2.35,2.34,2.34,900,0
2015-05-22,14:10:00,2.34,2.34,2.34,2.34,171,0
2015-05-22,14:35:00,2.505,2.505,2.505,2.505,427,0
2015-05-22,16:10:00,1.99,1.99,1.99,1.99,202,0
2015-05-22,16:15:00,1.99,1.99,1.99,1.99,100,0
2015-05-22,16:20:00,2.1,2.2,2.1,2.2,111,0
2015-05-22,17:20:00,2.01,2.01,2.01,2.01,50,0
2015-05-22,17:30:00,2.01,2.01,2.01,2.01,3061,0
2015-05-26,10:00:00,2.15,2.15,2.15,2.15,100,0
2015-05-26,10:10:00,2.505,2.505,2.505,2.505,11,0
2015-05-26,12:10:00,2.5,2.5,2.5,2.5,400,0
2015-05-26,16:40:00,2.5,2.5,2.5,2.5,140,0
2015-05-26,16:55:00,2.499,2.499,2.499,2.499,1000,0
2015-05-26,17:15:00,2.499,2.499,2.499,2.499,3251,0
2015-05-27,09:05:00,2.5,2.5,2.5,2.5,439,0
2015-05-27,10:20:00,2.505,2.506,2.505,2.506,2000,0
2015-05-27,10:25:00,2.506,2.506,2.506,2.506,100,0
2015-05-27,12:00:00,2.5,2.5,2.5,2.5,180,0
2015-05-27,12:25:00,2.506,2.506,2.506,2.506,750,0
2015-05-27,13:05:00,2.501,2.501,2.501,2.501,9,0
2015-05-27,13:20:00,2.507,2.507,2.5,2.5,4446,0
2015-05-28,12:20:00,2.399,2.399,2.399,2.399,100,0
