Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-13,09:05:00,12.12,12.12,12.12,12.12,190,0
2016-12-13,09:10:00,12.25,12.39,12.25,12.39,500,0
2016-12-13,09:40:00,12.4,12.6,12.4,12.6,3198,0
2016-12-13,09:45:00,12.6,12.65,12.6,12.65,550,0
2016-12-13,09:55:00,12.655,12.655,12.655,12.655,84,0
2016-12-13,10:00:00,12.88,12.88,12.88,12.88,78,0
2016-12-13,10:10:00,13,13.11,13,13.11,500,0
2016-12-13,10:15:00,13.175,13.175,13,13,5371,0
2016-12-13,10:30:00,13.095,13.1,13.095,13.1,200,0
2016-12-13,10:50:00,12.5,12.5,12.215,12.215,1300,0
2016-12-13,11:10:00,12.485,12.49,12.485,12.49,200,0
2016-12-13,11:30:00,12.49,12.5,12.49,12.5,3000,0
2016-12-13,12:00:00,12.5,12.5,12.5,12.5,2747,0
2016-12-13,12:10:00,12.5,12.5,12.5,12.5,675,0
2016-12-13,12:15:00,12.5,12.809,12.5,12.809,1491,0
2016-12-13,12:20:00,12.809,12.809,12.7,12.7,262,0
2016-12-13,12:25:00,12.875,12.875,12.875,12.875,163,0
2016-12-13,13:05:00,12.85,12.889,12.85,12.889,410,0
2016-12-13,13:10:00,12.89,12.89,12.845,12.845,337,0
2016-12-13,13:45:00,12.75,12.75,12.75,12.75,120,0
2016-12-13,14:05:00,12.75,12.85,12.75,12.85,150,0
2016-12-13,14:35:00,12.7,12.7,12.6,12.6,1064,0
2016-12-13,14:50:00,12.6,12.6,12.6,12.6,50,0
2016-12-13,15:50:00,12.6,12.6,12.6,12.6,100,0
2016-12-13,16:15:00,12.56,12.56,12.5,12.5,300,0
2016-12-13,16:35:00,12.6,12.6,12.6,12.6,1050,0
2016-12-13,17:05:00,12.599,12.599,12.599,12.599,700,0
2016-12-13,17:15:00,12.6,12.6,12.6,12.6,250,0
2016-12-13,17:30:00,12.6,12.6,12.6,12.6,1111,0
2016-12-14,09:10:00,13.65,14,13.65,13.8,3657,0
2016-12-14,09:15:00,13.85,13.895,13.6,13.6,3115,0
2016-12-14,09:20:00,13.6,13.6,13.6,13.6,240,0
2016-12-14,09:40:00,13.71,13.75,13.7,13.7,1130,0
2016-12-14,10:00:00,13.79,13.8,13.79,13.8,383,0
2016-12-14,10:05:00,13.85,13.977,13.85,13.977,900,0
2016-12-14,10:20:00,14,14,14,14,498,0
2016-12-14,10:25:00,14,14.1,14,14.1,390,0
2016-12-14,11:05:00,14,14,14,14,1210,0
2016-12-14,11:15:00,14,14,14,14,200,0
2016-12-14,11:30:00,13.99,14.05,13.99,14.05,700,0
2016-12-14,11:35:00,13.76,13.76,13.76,13.76,103,0
2016-12-14,11:40:00,14,14.05,14,14.05,1190,0
2016-12-14,11:50:00,13.9,13.9,13.805,13.805,250,0
2016-12-14,12:00:00,13.825,14.199,13.825,14.199,149,0
2016-12-14,13:00:00,14.2,14.3,14.2,14.3,200,0
2016-12-14,13:05:00,14.2,14.465,14.2,14.465,530,0
2016-12-14,13:20:00,14.44,14.44,14.44,14.44,40,0
2016-12-14,13:35:00,14.299,14.299,14.299,14.299,100,0
2016-12-14,13:45:00,14.3,14.3,14.3,14.3,100,0
2016-12-14,14:00:00,14.15,14.15,14.13,14.13,195,0
2016-12-14,14:30:00,14.199,14.199,14.199,14.199,97,0
2016-12-14,14:40:00,14.2,14.2,14.2,14.2,70,0
2016-12-14,15:20:00,14.1,14.1,14.1,14.1,2000,0
2016-12-14,15:25:00,14.2,14.2,14.2,14.2,10,0
2016-12-14,15:35:00,14.001,14.001,14.001,14.001,34,0
2016-12-14,15:55:00,14.001,14.001,14.001,14.001,300,0
2016-12-14,17:30:00,14.1,14.3,14.1,14.3,587,0
2016-12-15,09:15:00,14.101,14.101,14,14,1836,0
2016-12-15,10:05:00,14.15,14.2,14.15,14.2,619,0
2016-12-15,10:10:00,14.25,14.4,14.25,14.4,430,0
2016-12-15,10:30:00,14.4,14.556,14.4,14.556,1258,0
2016-12-15,10:40:00,14.65,14.65,14.65,14.65,100,0
2016-12-15,13:15:00,14.21,14.21,14.21,14.21,26,0
2016-12-15,13:25:00,14.24,14.24,14.235,14.235,210,0
2016-12-15,14:10:00,14.645,14.65,14.645,14.65,500,0
2016-12-15,14:15:00,14.22,14.22,14.22,14.22,200,0
2016-12-15,14:30:00,14.5,14.5,14.5,14.5,100,0
2016-12-15,15:15:00,14.5,14.5,14.5,14.5,300,0
2016-12-15,15:50:00,14.644,14.644,14.644,14.644,55,0
2016-12-15,16:10:00,14.365,14.365,14.365,14.365,100,0
2016-12-15,17:30:00,14.6,14.6,14.415,14.415,742,0
2016-12-16,09:15:00,14.445,14.445,14.415,14.415,1632,0
2016-12-16,09:45:00,14.4,14.4,14.4,14.4,150,0
2016-12-16,09:50:00,14.4,14.4,14.4,14.4,150,0
2016-12-16,09:55:00,14.4,14.4,14.4,14.4,286,0
2016-12-16,10:00:00,14.5,14.55,14.4,14.4,914,0
2016-12-16,10:05:00,14.35,14.35,14.22,14.22,530,0
2016-12-16,14:50:00,14.231,14.231,14.231,14.231,10,0
2016-12-16,15:35:00,14.21,14.21,14.2,14.2,2000,0
2016-12-16,16:50:00,14.2,14.2,14.2,14.2,351,0
2016-12-16,17:15:00,14.195,14.195,14.195,14.195,233,0
2016-12-19,09:10:00,14,14,13.99,13.99,660,0
2016-12-19,09:40:00,14.08,14.24,14.08,14.24,662,0
2016-12-19,13:35:00,14.016,14.016,14.016,14.016,350,0
2016-12-19,14:40:00,14.03,14.03,14.03,14.03,85,0
2016-12-19,15:35:00,14.345,14.45,14.345,14.45,500,0
2016-12-19,16:30:00,14.21,14.21,14.21,14.21,160,0
2016-12-20,09:05:00,14.55,14.55,14.55,14.55,100,0
2016-12-20,09:45:00,14.305,14.305,14.305,14.305,36,0
