Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,36.44,36.44,36.44,36.44,622,0
2017-10-23,09:15:00,36.68,37.15,36.68,37.03,1506,0
2017-10-23,09:25:00,36.78,36.78,36.78,36.78,69,0
2017-10-23,09:30:00,36.835,37.13,36.835,37.06,847,0
2017-10-23,09:35:00,37.07,37.11,36.945,37.06,765,0
2017-10-23,09:40:00,37.105,37.105,37.105,37.105,46,0
2017-10-23,09:55:00,37.02,37.235,37.02,37.235,1298,0
2017-10-23,10:00:00,37.19,37.23,37.19,37.23,46,0
2017-10-23,10:05:00,37.135,37.135,37.075,37.1,2033,0
2017-10-23,10:10:00,37.06,37.1,37.045,37.08,2145,0
2017-10-23,10:15:00,37.1,37.1,37.045,37.1,2810,0
2017-10-23,10:20:00,37.175,37.175,37.175,37.175,106,0
2017-10-23,10:40:00,37.23,37.235,37.23,37.23,274,0
2017-10-23,10:45:00,37.28,37.405,37.28,37.375,3149,0
2017-10-23,11:00:00,37.4,37.4,37.345,37.36,388,0
2017-10-23,11:15:00,37.31,37.31,37.275,37.275,118,0
2017-10-23,11:20:00,37.31,37.31,37.18,37.23,369,0
2017-10-23,11:25:00,37.235,37.34,37.2,37.34,1287,0
2017-10-23,11:30:00,37.295,37.295,37.21,37.21,788,0
2017-10-23,11:40:00,37.21,37.295,37.21,37.255,2593,0
2017-10-23,11:45:00,37.28,37.28,37.28,37.28,107,0
2017-10-23,11:50:00,37.32,37.34,37.32,37.34,384,0
2017-10-23,11:55:00,37.305,37.305,37.2,37.2,632,0
2017-10-23,12:10:00,37.215,37.215,37.115,37.14,493,0
2017-10-23,12:20:00,37.15,37.205,37.15,37.205,673,0
2017-10-23,12:25:00,37.21,37.245,37.21,37.22,247,0
2017-10-23,12:30:00,37.19,37.19,37.19,37.19,257,0
2017-10-23,12:45:00,37.17,37.195,37.17,37.17,270,0
2017-10-23,12:55:00,37.205,37.205,37.16,37.205,421,0
2017-10-23,13:00:00,37.245,37.245,37.16,37.165,337,0
2017-10-23,13:05:00,37.05,37.05,37.05,37.05,45,0
2017-10-23,13:10:00,37.11,37.125,37.11,37.125,677,0
2017-10-23,13:20:00,37.155,37.205,37.155,37.205,175,0
2017-10-23,13:25:00,37.15,37.15,37.13,37.145,275,0
2017-10-23,13:30:00,37.15,37.15,37.15,37.15,191,0
2017-10-23,13:45:00,37.1,37.11,37.045,37.11,464,0
2017-10-23,13:55:00,37.055,37.08,36.96,37.065,1043,0
2017-10-23,14:00:00,37.055,37.085,37.045,37.07,312,0
2017-10-23,14:35:00,37.07,37.2,37.045,37.2,3838,0
2017-10-23,14:45:00,37.215,37.215,37.21,37.215,351,0
2017-10-23,14:50:00,37.245,37.285,37.245,37.285,99,0
2017-10-23,14:55:00,37.2,37.3,37.185,37.3,446,0
2017-10-23,15:15:00,37.23,37.235,37.215,37.225,831,0
2017-10-23,15:20:00,37.225,37.225,37.225,37.225,105,0
2017-10-23,15:30:00,37.225,37.235,37.225,37.235,231,0
2017-10-23,15:35:00,37.235,37.235,37.18,37.19,444,0
2017-10-23,15:40:00,37.17,37.225,37.15,37.225,287,0
2017-10-23,15:50:00,37.23,37.23,37.23,37.23,49,0
