Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,16.685,16.685,16.54,16.54,5004,0
2017-10-24,09:10:00,16.625,16.775,16.595,16.77,10068,0
2017-10-24,09:15:00,16.75,16.75,16.735,16.735,634,0
2017-10-24,09:20:00,16.765,16.79,16.765,16.79,4705,0
2017-10-24,09:25:00,16.79,16.79,16.77,16.79,6139,0
2017-10-24,09:30:00,16.86,16.86,16.855,16.855,457,0
2017-10-24,09:35:00,16.845,16.845,16.69,16.695,8536,0
2017-10-24,09:45:00,16.61,16.61,16.56,16.56,1800,0
2017-10-24,09:50:00,16.605,16.605,16.545,16.545,3267,0
2017-10-24,09:55:00,16.56,16.56,16.56,16.56,576,0
2017-10-24,10:00:00,16.56,16.595,16.56,16.595,2610,0
2017-10-24,10:10:00,16.565,16.58,16.51,16.51,2947,0
2017-10-24,10:15:00,16.5,16.5,16.485,16.485,2550,0
2017-10-24,10:20:00,16.525,16.575,16.525,16.575,2510,0
2017-10-24,10:25:00,16.565,16.565,16.55,16.55,1029,0
2017-10-24,10:30:00,16.58,16.585,16.58,16.585,1288,0
2017-10-24,10:35:00,16.61,16.625,16.61,16.625,907,0
2017-10-24,10:40:00,16.625,16.74,16.625,16.74,720,0
2017-10-24,10:50:00,16.67,16.67,16.665,16.665,1169,0
2017-10-24,10:55:00,16.675,16.675,16.63,16.64,1448,0
2017-10-24,11:00:00,16.645,16.645,16.605,16.605,1385,0
2017-10-24,11:05:00,16.61,16.615,16.59,16.59,2952,0
2017-10-24,11:15:00,16.635,16.635,16.635,16.635,49,0
2017-10-24,11:30:00,16.595,16.595,16.52,16.52,4911,0
2017-10-24,11:35:00,16.54,16.54,16.5,16.5,454,0
2017-10-24,11:40:00,16.5,16.5,16.5,16.5,500,0
2017-10-24,11:45:00,16.5,16.525,16.49,16.525,3590,0
2017-10-24,11:50:00,16.53,16.545,16.53,16.545,1511,0
2017-10-24,11:55:00,16.555,16.57,16.555,16.57,325,0
2017-10-24,12:05:00,16.525,16.53,16.52,16.53,521,0
2017-10-24,12:10:00,16.53,16.53,16.52,16.52,444,0
2017-10-24,12:15:00,16.525,16.525,16.525,16.525,179,0
2017-10-24,12:20:00,16.525,16.535,16.505,16.535,2368,0
2017-10-24,12:25:00,16.53,16.53,16.53,16.53,28,0
2017-10-24,12:30:00,16.515,16.55,16.5,16.55,3143,0
2017-10-24,12:35:00,16.505,16.505,16.505,16.505,510,0
2017-10-24,12:40:00,16.505,16.505,16.505,16.505,43,0
