Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,54.54,54.59,54.32,54.59,3704,0
2017-10-25,09:10:00,54.56,54.92,54.56,54.92,720,0
2017-10-25,09:15:00,54.93,54.95,54.91,54.91,185,0
2017-10-25,09:20:00,54.93,54.94,54.89,54.89,365,0
2017-10-25,09:25:00,54.9,54.93,54.87,54.93,613,0
2017-10-25,09:30:00,54.91,54.91,54.85,54.85,292,0
2017-10-25,09:35:00,54.71,54.82,54.7,54.82,371,0
2017-10-25,09:45:00,54.8,54.81,54.8,54.81,371,0
2017-10-25,09:50:00,54.86,54.86,54.81,54.81,109,0
2017-10-25,09:55:00,54.79,54.79,54.79,54.79,44,0
2017-10-25,10:00:00,54.8,54.83,54.8,54.83,239,0
2017-10-25,10:05:00,54.83,54.87,54.81,54.85,1292,0
2017-10-25,10:10:00,54.8,54.8,54.76,54.8,163,0
2017-10-25,10:15:00,54.78,54.78,54.69,54.7,1303,0
2017-10-25,10:20:00,54.73,54.79,54.69,54.73,1534,0
2017-10-25,10:25:00,54.75,54.75,54.68,54.7,1788,0
2017-10-25,10:30:00,54.65,54.65,54.6,54.64,470,0
2017-10-25,10:35:00,54.65,54.69,54.61,54.63,840,0
2017-10-25,10:40:00,54.64,54.64,54.6,54.6,596,0
2017-10-25,10:45:00,54.66,54.75,54.66,54.75,1824,0
2017-10-25,10:50:00,54.75,54.84,54.75,54.84,1549,0
2017-10-25,10:55:00,54.79,54.79,54.79,54.79,176,0
2017-10-25,11:00:00,54.84,54.84,54.84,54.84,160,0
2017-10-25,11:10:00,54.85,54.91,54.85,54.91,722,0
2017-10-25,11:15:00,54.9,54.9,54.85,54.89,2114,0
2017-10-25,11:20:00,54.89,54.89,54.75,54.75,2474,0
2017-10-25,11:25:00,54.73,54.73,54.73,54.73,62,0
2017-10-25,11:30:00,54.74,54.75,54.69,54.69,420,0
2017-10-25,11:40:00,54.75,54.87,54.75,54.87,555,0
2017-10-25,11:45:00,54.86,54.87,54.82,54.87,240,0
2017-10-25,11:50:00,54.86,54.86,54.84,54.85,251,0
2017-10-25,11:55:00,54.86,54.87,54.8,54.8,583,0
2017-10-25,12:00:00,54.78,54.78,54.78,54.78,118,0
2017-10-25,12:05:00,54.79,54.79,54.79,54.79,336,0
2017-10-25,12:10:00,54.79,54.81,54.77,54.81,643,0
2017-10-25,12:15:00,54.77,54.81,54.77,54.8,481,0
2017-10-25,12:20:00,54.8,54.81,54.8,54.81,412,0
2017-10-25,12:25:00,54.82,54.85,54.82,54.83,2620,0
2017-10-25,12:30:00,54.82,54.82,54.8,54.8,128,0
2017-10-25,12:35:00,54.78,54.78,54.74,54.74,1818,0
2017-10-25,12:45:00,54.78,54.78,54.73,54.73,1170,0
2017-10-25,12:50:00,54.76,54.77,54.76,54.77,116,0
2017-10-25,12:55:00,54.78,54.85,54.78,54.78,1245,0
2017-10-25,13:00:00,54.83,54.85,54.81,54.81,1450,0
2017-10-25,13:05:00,54.83,54.83,54.8,54.8,233,0
2017-10-25,13:10:00,54.78,54.78,54.78,54.78,38,0
2017-10-25,13:15:00,54.79,54.79,54.76,54.76,378,0
2017-10-25,13:20:00,54.79,54.84,54.79,54.84,186,0
2017-10-25,13:25:00,54.85,54.85,54.85,54.85,198,0
2017-10-25,13:30:00,54.83,54.83,54.78,54.78,894,0
2017-10-25,13:35:00,54.82,54.82,54.82,54.82,320,0
2017-10-25,13:40:00,54.84,54.84,54.83,54.83,130,0
2017-10-25,13:45:00,54.83,54.89,54.83,54.89,691,0
2017-10-25,13:50:00,54.9,54.9,54.83,54.83,336,0
2017-10-25,13:55:00,54.86,54.87,54.86,54.86,360,0
2017-10-25,14:00:00,54.88,54.9,54.85,54.9,818,0
2017-10-25,14:05:00,54.89,54.89,54.85,54.85,580,0
2017-10-25,14:10:00,54.85,54.88,54.84,54.88,440,0
2017-10-25,14:15:00,54.87,54.87,54.87,54.87,100,0
2017-10-25,14:20:00,54.88,54.88,54.88,54.88,31,0
2017-10-25,14:25:00,54.89,54.89,54.83,54.83,1071,0
2017-10-25,14:30:00,54.87,54.87,54.87,54.87,78,0
2017-10-25,14:35:00,54.87,54.92,54.87,54.92,508,0
2017-10-25,14:40:00,54.9,54.9,54.85,54.85,525,0
2017-10-25,14:45:00,54.85,54.87,54.84,54.87,822,0
2017-10-25,14:50:00,54.84,54.84,54.8,54.8,655,0
2017-10-25,14:55:00,54.82,54.82,54.82,54.82,205,0
2017-10-25,15:00:00,54.83,54.86,54.82,54.82,750,0
2017-10-25,15:05:00,54.8,54.82,54.78,54.82,454,0
2017-10-25,15:10:00,54.82,54.86,54.82,54.85,833,0
