Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,09:05:00,58.09,58.28,58.09,58.28,610,0
2017-10-17,09:10:00,58.4,58.4,58.4,58.4,1,0
2017-10-17,09:20:00,58.4,58.4,58.4,58.4,1,0
2017-10-17,09:25:00,58.23,58.23,58.22,58.22,48,0
2017-10-17,09:40:00,58.08,58.13,58.08,58.13,88,0
2017-10-17,09:50:00,58.13,58.13,58.13,58.13,129,0
2017-10-17,10:20:00,58.03,58.03,57.88,57.88,591,0
2017-10-17,10:25:00,57.87,57.87,57.75,57.75,491,0
2017-10-17,10:30:00,57.87,57.92,57.77,57.77,140,0
2017-10-17,10:40:00,57.76,57.76,57.75,57.75,439,0
2017-10-17,10:55:00,57.88,57.94,57.75,57.94,416,0
2017-10-17,11:15:00,58,58.2,57.81,58,897,0
2017-10-17,11:20:00,58.23,58.25,58.23,58.25,165,0
2017-10-17,11:25:00,58.3,58.4,58.3,58.33,399,0
2017-10-17,11:50:00,58.36,58.36,58.33,58.33,100,0
2017-10-17,11:55:00,58.4,58.44,58.27,58.27,83,0
2017-10-17,13:00:00,58.21,58.21,58.21,58.21,12,0
2017-10-17,14:10:00,58.13,58.13,58.13,58.13,11,0
2017-10-17,14:30:00,58.1,58.22,58.01,58.22,489,0
2017-10-17,14:55:00,58.21,58.21,58.01,58.01,256,0
2017-10-17,15:20:00,58.18,58.19,58.03,58.18,280,0
2017-10-17,15:25:00,58.06,58.21,58.06,58.21,79,0
2017-10-17,15:35:00,58.21,58.21,58.21,58.21,16,0
2017-10-17,16:00:00,58.21,58.52,58.21,58.52,458,0
2017-10-17,16:05:00,58.52,58.52,58.33,58.35,336,0
2017-10-17,16:15:00,58.5,58.5,58.35,58.35,140,0
2017-10-17,16:30:00,58.35,58.35,58.27,58.27,118,0
2017-10-17,16:40:00,58.35,58.35,58.35,58.35,22,0
2017-10-17,16:45:00,58.3,58.3,58.3,58.3,16,0
2017-10-17,16:50:00,58.33,58.47,58.33,58.47,202,0
2017-10-17,17:00:00,58.41,58.41,58.41,58.41,16,0
2017-10-17,17:10:00,58.34,58.34,58.26,58.29,186,0
2017-10-17,17:15:00,58.3,58.3,58.3,58.3,8,0
2017-10-17,17:20:00,58.31,58.31,58.31,58.31,26,0
2017-10-17,17:30:00,58.29,58.47,57.98,57.98,1898,0
2017-10-18,09:05:00,57.84,57.84,57.68,57.68,8,0
2017-10-18,09:30:00,58.03,58.03,57.95,57.95,49,0
2017-10-18,09:50:00,58.06,58.06,57.7,57.71,289,0
2017-10-18,10:00:00,57.91,57.93,57.81,57.81,164,0
2017-10-18,10:05:00,57.91,57.91,57.71,57.83,299,0
2017-10-18,10:15:00,58,58,57.83,57.83,112,0
2017-10-18,10:20:00,57.63,57.64,57.63,57.63,40,0
2017-10-18,11:10:00,57.75,57.94,57.63,57.82,618,0
2017-10-18,11:15:00,57.7,57.82,57.63,57.63,127,0
2017-10-18,11:20:00,57.81,58,57.63,57.9,756,0
2017-10-18,11:30:00,57.95,57.98,57.82,57.82,108,0
2017-10-18,11:45:00,57.96,57.96,57.96,57.96,1,0
2017-10-18,11:50:00,57.96,58.17,57.96,58.03,132,0
2017-10-18,11:55:00,58.06,58.06,58.06,58.06,43,0
2017-10-18,12:00:00,58.06,58.06,58.06,58.06,8,0
2017-10-18,12:20:00,58.07,58.15,57.99,57.99,172,0
2017-10-18,12:25:00,58.06,58.26,58.06,58.26,939,0
2017-10-18,12:30:00,58.33,58.34,58.33,58.34,95,0
2017-10-18,12:50:00,58.41,58.42,58.41,58.42,20,0
2017-10-18,13:05:00,58.58,58.74,58.53,58.73,830,0
2017-10-18,13:15:00,58.61,58.61,58.61,58.61,46,0
2017-10-18,13:35:00,58.78,58.78,58.78,58.78,11,0
2017-10-18,13:40:00,58.77,58.77,58.77,58.77,13,0
2017-10-18,13:50:00,58.77,58.85,58.51,58.79,732,0
2017-10-18,13:55:00,58.79,58.79,58.68,58.68,148,0
2017-10-18,14:00:00,58.95,58.95,58.95,58.95,32,0
2017-10-18,14:05:00,58.9,58.9,58.49,58.6,1598,0
2017-10-18,14:10:00,58.79,58.79,58.6,58.6,132,0
2017-10-18,14:15:00,58.87,58.87,58.87,58.87,16,0
2017-10-18,14:35:00,58.96,58.96,58.96,58.96,30,0
2017-10-18,14:55:00,58.94,58.94,58.94,58.94,16,0
2017-10-18,15:00:00,58.8,58.84,58.55,58.84,430,0
2017-10-18,15:10:00,58.79,58.79,58.79,58.79,21,0
2017-10-18,15:20:00,58.82,58.82,58.82,58.82,10,0
2017-10-18,15:25:00,58.79,58.79,58.79,58.79,104,0
2017-10-18,15:45:00,58.75,58.75,58.46,58.46,378,0
