Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,14:35:00,2.56,2.56,2.56,2.56,760,0
2015-04-07,09:05:00,2.45,2.45,2.45,2.45,50,0
2015-04-07,17:20:00,2.56,2.56,2.56,2.56,200,0
2015-04-07,17:30:00,2.578,2.578,2.578,2.578,2850,0
2015-04-08,09:25:00,2.562,2.562,2.562,2.562,565,0
2015-04-08,09:55:00,2.575,2.575,2.575,2.575,685,0
2015-04-09,10:50:00,2.56,2.56,2.56,2.56,1400,0
2015-04-13,09:40:00,2.56,2.56,2.56,2.56,200,0
2015-04-13,17:30:00,2.58,2.58,2.58,2.58,3108,0
2015-04-14,12:00:00,2.58,2.6,2.58,2.6,3000,0
2015-04-14,15:50:00,2.5,2.5,2.5,2.5,6000,0
2015-04-14,17:10:00,2.55,2.55,2.55,2.55,40,0
2015-04-14,17:30:00,2.5,2.502,2.5,2.5,13242,0
2015-04-15,09:05:00,2.5,2.5,2.5,2.5,600,0
2015-04-15,16:20:00,2.41,2.41,2.41,2.41,700,0
2015-04-15,16:25:00,2.41,2.41,2.41,2.41,100,0
2015-04-16,15:20:00,2.48,2.48,2.48,2.48,700,0
2015-04-17,17:30:00,2.352,2.352,2.35,2.35,2532,0
2015-04-20,17:30:00,2.62,2.62,2.62,2.62,600,0
2015-04-23,09:35:00,2.47,2.47,2.47,2.47,100,0
2015-04-23,14:05:00,2.468,2.468,2.468,2.468,1100,0
2015-04-28,10:30:00,2.47,2.47,2.47,2.47,290,0
2015-04-28,17:30:00,2.46,2.46,2.46,2.46,340,0
2015-04-29,14:45:00,2.468,2.468,2.468,2.468,1084,0
2015-05-04,09:05:00,2.52,2.52,2.52,2.52,2000,0
2015-05-04,17:05:00,2.4,2.4,2.4,2.4,2100,0
2015-05-06,11:50:00,2.732,2.732,2.732,2.732,2000,0
2015-05-06,11:55:00,2.732,2.75,2.732,2.75,2237,0
2015-05-06,12:00:00,2.8,2.8,2.8,2.8,120,0
2015-05-06,13:30:00,2.619,2.619,2.619,2.619,200,0
2015-05-06,14:20:00,2.9,2.9,2.9,2.9,500,0
2015-05-06,17:25:00,2.68,2.68,2.68,2.68,200,0
2015-05-06,17:30:00,2.75,2.75,2.75,2.75,5317,0
2015-05-07,11:30:00,2.782,2.782,2.782,2.782,884,0
2015-05-07,12:40:00,2.77,2.77,2.77,2.77,970,0
2015-05-07,13:15:00,2.8,2.8,2.8,2.8,2154,0
2015-05-08,12:30:00,2.68,2.68,2.668,2.668,1000,0
2015-05-08,13:05:00,2.65,2.65,2.65,2.65,1130,0
2015-05-08,15:10:00,2.7,2.7,2.7,2.7,2530,0
2015-05-11,17:30:00,2.79,2.79,2.79,2.79,160,0
2015-05-12,09:05:00,2.8,2.8,2.8,2.8,1000,0
2015-05-12,17:30:00,2.7,2.7,2.7,2.7,1100,0
2015-05-13,09:20:00,2.8,2.8,2.8,2.8,50,0
2015-05-18,10:15:00,2.85,2.85,2.85,2.85,300,0
2015-05-18,17:30:00,3.083,3.25,3.083,3.25,2300,0
2015-05-19,09:05:00,3.24,3.24,3.24,3.24,300,0
2015-05-19,10:10:00,2.764,2.764,2.536,2.536,1000,0
2015-05-19,16:25:00,2.954,2.954,2.954,2.954,600,0
2015-05-19,17:30:00,2.768,2.768,2.768,2.768,1900,0
2015-05-20,09:05:00,2.85,2.85,2.85,2.85,10,0
2015-05-20,14:50:00,2.768,2.768,2.768,2.768,2010,0
2015-05-21,11:00:00,2.768,2.768,2.768,2.768,838,0
2015-05-21,16:40:00,2.78,2.78,2.78,2.78,2238,0
2015-05-22,16:10:00,2.77,2.77,2.77,2.77,200,0
2015-05-27,14:10:00,3.01,3.01,3.01,3.01,480,0
2015-05-27,16:35:00,3.24,3.5,3.24,3.5,1601,0
2015-05-27,16:40:00,3.5,3.5,3.5,3.5,1569,0
2015-05-27,18:00:00,3.38,3.38,3.38,3.38,253,0
2015-05-27,19:50:00,3.073,3.073,2.9,2.9,4903,0
2015-05-28,09:05:00,2.751,2.751,2.751,2.751,20,0
2015-05-28,12:30:00,3.3,3.3,3.3,3.3,370,0
2015-05-28,14:05:00,3.37,3.37,3.37,3.37,40,0
2015-05-28,17:30:00,3.064,3.15,3,3.15,3030,0
2015-05-29,17:30:00,3.307,3.307,3.307,3.307,608,0
2015-06-01,08:05:00,2.98,2.98,2.98,2.98,270,0
2015-06-01,15:40:00,3.08,3.08,3.08,3.08,600,0
2015-06-01,15:45:00,3.082,3.095,3.082,3.095,2210,0
2015-06-02,09:05:00,3.1,3.18,3.1,3.18,650,0
2015-06-02,11:40:00,2.999,2.999,2.999,2.999,300,0
2015-06-02,11:45:00,3,3,3,3,2000,0
2015-06-02,12:15:00,3,3,2.968,2.968,789,0
2015-06-02,12:35:00,2.969,2.969,2.969,2.969,63,0
2015-06-02,14:25:00,3,3,3,3,12802,0
2015-06-03,10:50:00,3.45,3.45,3.45,3.45,860,0
2015-06-04,09:55:00,3.382,3.382,3.382,3.382,1080,0
2015-06-08,13:55:00,3.018,3.018,3.018,3.018,1934,0
2015-06-09,09:45:00,3.018,3.018,3.018,3.018,514,0
2015-06-09,10:20:00,3.005,3.005,3.005,3.005,45,0
2015-06-09,11:35:00,3.05,3.05,3.05,3.05,1000,0
2015-06-09,17:15:00,3.3,3.3,3.3,3.3,1587,0
2015-06-10,10:55:00,3.018,3.018,3.018,3.018,600,0
2015-06-10,15:55:00,3.26,3.26,3.26,3.26,800,0
2015-06-11,17:05:00,3.04,3.04,3.04,3.04,1080,0
2015-06-16,14:35:00,3.038,3.038,2.95,2.95,2231,0
2015-06-16,16:20:00,2.98,2.98,2.98,2.98,330,0
2015-06-16,17:30:00,2.993,3,2.993,3,8439,0
2015-06-17,09:05:00,3.04,3.04,3.04,3.04,100,0
2015-06-17,10:35:00,3.091,3.091,3.091,3.091,900,0
2015-06-22,15:25:00,3.016,3.016,2.8,2.8,6340,0
2015-06-23,14:00:00,2.85,2.85,2.85,2.85,960,0
2015-06-24,10:20:00,2.974,2.974,2.974,2.974,344,0
2015-06-24,15:30:00,2.99,2.99,2.99,2.99,372,0
2015-06-25,09:35:00,2.92,2.92,2.92,2.92,178,0
2015-06-30,14:10:00,2.868,2.868,2.868,2.868,1420,0
2015-07-01,11:45:00,2.868,2.868,2.85,2.85,2000,0
2015-07-01,13:05:00,2.79,2.79,2.79,2.79,200,0
2015-07-01,13:55:00,2.8,2.8,2.8,2.8,4200,0
2015-07-02,12:20:00,2.85,2.85,2.85,2.85,500,0
2015-07-02,16:30:00,2.85,2.85,2.85,2.85,510,0
2015-07-03,17:30:00,2.81,2.81,2.81,2.81,400,0
2015-07-06,15:40:00,2.8,2.8,2.8,2.8,1300,0
2015-07-06,17:30:00,2.792,2.792,2.792,2.792,1700,0
2015-07-07,09:05:00,2.75,2.75,2.75,2.75,1400,0
2015-07-10,10:50:00,2.95,2.95,2.95,2.95,108,0
2015-07-13,14:25:00,2.768,2.768,2.768,2.768,2396,0
2015-07-16,16:25:00,2.768,2.768,2.768,2.768,1424,0
2015-07-17,12:25:00,2.75,2.75,2.75,2.75,6000,0
2015-07-20,12:40:00,2.75,2.75,2.75,2.75,6000,0
2015-07-21,17:30:00,2.973,3.05,2.973,3.04,4662,0
2015-07-22,09:05:00,3.05,3.1,3.049,3.049,3741,0
2015-07-22,09:20:00,3.05,3.08,3.05,3.08,438,0
2015-07-22,09:55:00,3.17,3.17,3.17,3.17,1000,0
2015-07-22,13:35:00,3.18,3.18,3.18,3.18,2,0
2015-07-22,15:30:00,3.05,3.05,3.05,3.05,5521,0
2015-07-24,09:20:00,3.152,3.152,3.152,3.152,750,0
2015-07-24,10:35:00,2.99,2.99,2.99,2.99,1750,0
2015-07-31,08:40:00,2.98,2.98,2.98,2.98,200,0
2015-07-31,14:55:00,3.082,3.082,3.082,3.082,342,0
2015-07-31,16:05:00,3.082,3.082,3.082,3.082,1542,0
2015-08-03,11:30:00,2.96,2.96,2.96,2.96,400,0
2015-08-04,08:20:00,2.95,2.95,2.95,2.95,514,0
2015-08-07,14:55:00,2.95,2.95,2.95,2.95,1486,0
2015-08-11,11:00:00,2.872,2.872,2.872,2.872,750,0
2015-08-11,13:50:00,2.872,2.9,2.872,2.9,5546,0
2015-08-14,12:40:00,2.91,2.91,2.91,2.91,1500,0
2015-08-17,09:05:00,3.05,3.05,3.05,3.05,34,0
2015-08-17,14:35:00,2.95,2.95,2.95,2.95,430,0
2015-08-17,15:35:00,3.1,3.1,3.1,3.1,514,0
