Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,16.38,16.38,16.335,16.335,604,0
2017-10-23,09:10:00,16.305,16.305,16.25,16.25,767,0
2017-10-23,09:20:00,16.27,16.27,16.27,16.27,133,0
2017-10-23,09:25:00,16.2,16.2,16.15,16.15,3131,0
2017-10-23,09:30:00,16.15,16.15,16.145,16.145,704,0
2017-10-23,09:35:00,16.13,16.13,16.09,16.09,3152,0
2017-10-23,09:40:00,16.11,16.11,16.11,16.11,829,0
2017-10-23,09:45:00,16.11,16.15,16.11,16.15,3692,0
2017-10-23,09:50:00,16.14,16.14,16.125,16.13,825,0
2017-10-23,10:00:00,16.15,16.15,16.15,16.15,1355,0
2017-10-23,10:05:00,16.15,16.15,16.15,16.15,1184,0
2017-10-23,10:10:00,16.15,16.15,16.135,16.14,740,0
2017-10-23,10:15:00,16.15,16.15,16.15,16.15,685,0
2017-10-23,10:20:00,16.155,16.16,16.145,16.145,3011,0
2017-10-23,10:25:00,16.16,16.16,16.16,16.16,1270,0
2017-10-23,10:30:00,16.15,16.165,16.15,16.16,2082,0
2017-10-23,10:35:00,16.17,16.175,16.16,16.16,534,0
2017-10-23,10:40:00,16.175,16.175,16.165,16.175,4410,0
2017-10-23,10:45:00,16.175,16.175,16.165,16.165,769,0
2017-10-23,10:50:00,16.155,16.155,16.155,16.155,180,0
2017-10-23,11:00:00,16.165,16.17,16.165,16.165,1000,0
2017-10-23,11:15:00,16.215,16.25,16.215,16.25,2445,0
2017-10-23,11:20:00,16.25,16.25,16.22,16.22,4055,0
2017-10-23,11:25:00,16.255,16.27,16.255,16.27,306,0
2017-10-23,11:30:00,16.285,16.3,16.285,16.3,291,0
2017-10-23,11:35:00,16.325,16.325,16.315,16.32,1258,0
2017-10-23,11:40:00,16.36,16.36,16.36,16.36,100,0
2017-10-23,11:50:00,16.375,16.425,16.375,16.425,2339,0
2017-10-23,11:55:00,16.42,16.425,16.415,16.415,415,0
2017-10-23,12:00:00,16.435,16.45,16.435,16.445,455,0
2017-10-23,12:05:00,16.43,16.43,16.415,16.415,479,0
2017-10-23,12:10:00,16.42,16.43,16.385,16.42,2292,0
2017-10-23,12:15:00,16.41,16.41,16.41,16.41,60,0
2017-10-23,12:20:00,16.39,16.405,16.38,16.38,857,0
2017-10-23,12:25:00,16.38,16.395,16.38,16.395,732,0
2017-10-23,12:45:00,16.42,16.42,16.42,16.42,266,0
2017-10-23,12:50:00,16.435,16.435,16.435,16.435,31,0
2017-10-23,13:00:00,16.445,16.495,16.445,16.48,1725,0
2017-10-23,13:05:00,16.465,16.465,16.465,16.465,22,0
2017-10-23,13:10:00,16.505,16.52,16.45,16.45,1607,0
2017-10-23,13:15:00,16.48,16.495,16.47,16.495,302,0
2017-10-23,13:30:00,16.475,16.475,16.465,16.465,533,0
2017-10-23,13:35:00,16.445,16.445,16.445,16.445,277,0
2017-10-23,13:40:00,16.42,16.42,16.395,16.395,669,0
2017-10-23,13:45:00,16.4,16.435,16.4,16.425,671,0
2017-10-23,13:50:00,16.455,16.485,16.455,16.485,633,0
2017-10-23,13:55:00,16.455,16.52,16.45,16.495,3478,0
2017-10-23,14:00:00,16.485,16.53,16.485,16.53,3100,0
2017-10-23,14:05:00,16.505,16.53,16.505,16.505,519,0
2017-10-23,14:10:00,16.5,16.51,16.495,16.505,994,0
2017-10-23,14:20:00,16.51,16.53,16.505,16.51,1654,0
2017-10-23,14:30:00,16.495,16.51,16.49,16.51,890,0
2017-10-23,14:45:00,16.51,16.51,16.51,16.51,88,0
2017-10-23,14:50:00,16.525,16.525,16.525,16.525,65,0
2017-10-23,14:55:00,16.505,16.52,16.505,16.515,894,0
2017-10-23,15:05:00,16.53,16.53,16.53,16.53,344,0
2017-10-23,15:10:00,16.55,16.55,16.55,16.55,795,0
2017-10-23,15:15:00,16.54,16.55,16.53,16.55,1234,0
2017-10-23,15:20:00,16.53,16.55,16.525,16.55,795,0
2017-10-23,15:25:00,16.535,16.54,16.505,16.505,1105,0
2017-10-23,15:30:00,16.495,16.505,16.48,16.495,1264,0
2017-10-23,15:35:00,16.495,16.51,16.495,16.51,480,0
2017-10-23,15:40:00,16.485,16.525,16.485,16.525,1216,0
2017-10-23,15:45:00,16.49,16.51,16.485,16.485,672,0
2017-10-23,15:50:00,16.51,16.54,16.51,16.51,2451,0
2017-10-23,16:00:00,16.485,16.485,16.485,16.485,428,0
2017-10-23,16:05:00,16.48,16.48,16.48,16.48,98,0
2017-10-23,16:15:00,16.48,16.5,16.48,16.5,553,0
2017-10-23,16:20:00,16.49,16.495,16.48,16.495,294,0
2017-10-23,16:35:00,16.48,16.505,16.47,16.505,2983,0
2017-10-23,16:40:00,16.52,16.52,16.52,16.52,28,0
2017-10-23,16:45:00,16.515,16.54,16.495,16.5,3791,0
2017-10-23,16:50:00,16.48,16.52,16.48,16.52,6318,0
2017-10-23,16:55:00,16.52,16.535,16.51,16.52,1101,0
2017-10-23,17:00:00,16.525,16.525,16.525,16.525,208,0
2017-10-23,17:05:00,16.51,16.51,16.505,16.505,542,0
2017-10-23,17:10:00,16.5,16.525,16.5,16.52,3716,0
2017-10-23,17:15:00,16.515,16.52,16.5,16.51,3910,0
2017-10-23,17:20:00,16.52,16.54,16.51,16.535,1569,0
2017-10-23,17:25:00,16.53,16.56,16.52,16.52,2920,0
2017-10-23,17:30:00,16.52,16.56,16.515,16.56,10228,0
2017-10-24,09:05:00,16.62,16.62,16.62,16.62,262,0
2017-10-24,09:10:00,16.55,16.55,16.445,16.455,6053,0
2017-10-24,09:15:00,16.455,16.47,16.455,16.47,806,0
2017-10-24,09:20:00,16.45,16.46,16.44,16.445,1550,0
2017-10-24,09:25:00,16.475,16.49,16.43,16.43,1948,0
2017-10-24,09:30:00,16.45,16.45,16.42,16.435,2279,0
2017-10-24,09:35:00,16.415,16.415,16.35,16.365,1920,0
2017-10-24,09:40:00,16.335,16.35,16.335,16.35,593,0
2017-10-24,09:50:00,16.34,16.34,16.32,16.32,1015,0
2017-10-24,09:55:00,16.335,16.335,16.335,16.335,439,0
2017-10-24,10:00:00,16.315,16.315,16.315,16.315,72,0
2017-10-24,10:05:00,16.335,16.34,16.32,16.325,560,0
2017-10-24,10:10:00,16.315,16.315,16.295,16.295,1585,0
2017-10-24,10:15:00,16.305,16.305,16.305,16.305,163,0
2017-10-24,10:20:00,16.325,16.33,16.325,16.33,473,0
2017-10-24,10:25:00,16.31,16.335,16.31,16.335,2417,0
2017-10-24,10:30:00,16.32,16.335,16.32,16.335,756,0
2017-10-24,10:35:00,16.335,16.4,16.335,16.4,1285,0
2017-10-24,10:40:00,16.37,16.37,16.37,16.37,189,0
2017-10-24,10:50:00,16.34,16.465,16.34,16.465,5412,0
2017-10-24,10:55:00,16.44,16.44,16.425,16.43,1742,0
2017-10-24,11:00:00,16.43,16.54,16.43,16.495,10267,0
2017-10-24,11:05:00,16.495,16.495,16.47,16.495,405,0
2017-10-24,11:10:00,16.47,16.485,16.46,16.47,1615,0
2017-10-24,11:15:00,16.485,16.515,16.485,16.515,898,0
2017-10-24,11:20:00,16.53,16.53,16.5,16.5,457,0
2017-10-24,11:25:00,16.495,16.495,16.485,16.485,102,0
2017-10-24,11:35:00,16.485,16.485,16.475,16.475,947,0
2017-10-24,11:40:00,16.48,16.48,16.475,16.475,674,0
2017-10-24,11:50:00,16.49,16.49,16.49,16.49,25,0
2017-10-24,11:55:00,16.5,16.5,16.5,16.5,100,0
2017-10-24,12:10:00,16.49,16.515,16.49,16.515,659,0
2017-10-24,12:20:00,16.505,16.52,16.495,16.52,870,0
2017-10-24,12:25:00,16.525,16.525,16.5,16.5,412,0
2017-10-24,12:30:00,16.525,16.565,16.515,16.56,2425,0
2017-10-24,12:35:00,16.545,16.55,16.53,16.53,466,0
2017-10-24,12:40:00,16.535,16.555,16.52,16.555,1000,0
2017-10-24,12:45:00,16.54,16.54,16.505,16.53,3706,0
2017-10-24,12:50:00,16.54,16.58,16.54,16.575,1682,0
2017-10-24,12:55:00,16.575,16.62,16.575,16.62,756,0
2017-10-24,13:00:00,16.62,16.62,16.5,16.57,4633,0
2017-10-24,13:05:00,16.545,16.565,16.545,16.565,376,0
2017-10-24,13:10:00,16.585,16.59,16.53,16.53,729,0
2017-10-24,13:15:00,16.555,16.56,16.555,16.56,766,0
2017-10-24,13:25:00,16.555,16.555,16.555,16.555,773,0
2017-10-24,13:30:00,16.59,16.595,16.575,16.575,710,0
2017-10-24,13:35:00,16.57,16.57,16.57,16.57,470,0
2017-10-24,13:40:00,16.565,16.57,16.555,16.555,421,0
2017-10-24,13:45:00,16.55,16.56,16.545,16.545,938,0
2017-10-24,13:50:00,16.53,16.55,16.53,16.54,547,0
2017-10-24,13:55:00,16.55,16.605,16.525,16.575,4241,0
2017-10-24,14:00:00,16.575,16.58,16.57,16.57,417,0
2017-10-24,14:05:00,16.57,16.57,16.505,16.51,1867,0
2017-10-24,14:10:00,16.495,16.52,16.495,16.5,521,0
2017-10-24,14:15:00,16.5,16.5,16.465,16.465,630,0
2017-10-24,14:25:00,16.495,16.5,16.49,16.5,606,0
2017-10-24,14:40:00,16.53,16.53,16.53,16.53,330,0
2017-10-24,14:45:00,16.485,16.53,16.485,16.53,481,0
2017-10-24,14:50:00,16.505,16.51,16.485,16.485,1053,0
2017-10-24,14:55:00,16.51,16.515,16.51,16.515,342,0
2017-10-24,15:05:00,16.515,16.535,16.51,16.51,1033,0
2017-10-24,15:10:00,16.53,16.605,16.53,16.605,3869,0
2017-10-24,15:15:00,16.6,16.605,16.6,16.605,146,0
2017-10-24,15:20:00,16.6,16.61,16.555,16.575,1109,0
2017-10-24,15:25:00,16.58,16.6,16.58,16.595,3959,0
2017-10-24,15:30:00,16.585,16.59,16.57,16.57,1155,0
2017-10-24,15:35:00,16.58,16.58,16.58,16.58,300,0
2017-10-24,15:40:00,16.575,16.575,16.525,16.525,1416,0
2017-10-24,15:45:00,16.53,16.53,16.515,16.515,790,0
2017-10-24,15:50:00,16.515,16.515,16.515,16.515,462,0
2017-10-24,15:55:00,16.51,16.52,16.5,16.5,496,0
