Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,13.23,13.29,13.23,13.29,2395,0
2017-10-24,09:10:00,13.295,13.33,13.295,13.32,2507,0
2017-10-24,09:15:00,13.33,13.36,13.33,13.36,1100,0
2017-10-24,09:20:00,13.365,13.37,13.365,13.37,334,0
2017-10-24,09:25:00,13.35,13.35,13.335,13.335,939,0
2017-10-24,09:30:00,13.315,13.315,13.3,13.3,987,0
2017-10-24,09:35:00,13.305,13.305,13.275,13.275,710,0
2017-10-24,09:40:00,13.27,13.28,13.26,13.28,1394,0
2017-10-24,09:45:00,13.255,13.255,13.235,13.245,1206,0
2017-10-24,09:50:00,13.245,13.245,13.235,13.235,316,0
2017-10-24,09:55:00,13.245,13.255,13.24,13.255,982,0
2017-10-24,10:00:00,13.245,13.245,13.21,13.225,3191,0
2017-10-24,10:05:00,13.215,13.22,13.215,13.22,601,0
2017-10-24,10:10:00,13.225,13.235,13.215,13.215,1518,0
2017-10-24,10:15:00,13.205,13.205,13.2,13.2,730,0
2017-10-24,10:20:00,13.23,13.255,13.225,13.225,6322,0
2017-10-24,10:25:00,13.21,13.235,13.205,13.23,10328,0
2017-10-24,10:30:00,13.22,13.25,13.215,13.24,1650,0
2017-10-24,10:35:00,13.245,13.27,13.245,13.25,4102,0
2017-10-24,10:40:00,13.28,13.28,13.255,13.255,813,0
2017-10-24,10:50:00,13.255,13.3,13.255,13.3,1418,0
2017-10-24,10:55:00,13.305,13.31,13.285,13.31,8883,0
2017-10-24,11:00:00,13.31,13.31,13.295,13.295,1558,0
2017-10-24,11:05:00,13.305,13.315,13.3,13.305,4738,0
2017-10-24,11:10:00,13.305,13.305,13.295,13.295,5225,0
2017-10-24,11:15:00,13.325,13.325,13.295,13.305,4341,0
2017-10-24,11:20:00,13.29,13.29,13.285,13.285,2062,0
2017-10-24,11:25:00,13.285,13.29,13.27,13.27,2555,0
2017-10-24,11:30:00,13.28,13.285,13.25,13.255,3278,0
2017-10-24,11:35:00,13.24,13.24,13.24,13.24,1000,0
2017-10-24,11:40:00,13.245,13.275,13.245,13.275,905,0
2017-10-24,11:45:00,13.295,13.31,13.295,13.31,1088,0
2017-10-24,11:50:00,13.315,13.315,13.315,13.315,32,0
2017-10-24,12:00:00,13.315,13.315,13.3,13.3,772,0
2017-10-24,12:05:00,13.32,13.325,13.315,13.315,518,0
2017-10-24,12:15:00,13.325,13.325,13.31,13.31,1815,0
2017-10-24,12:20:00,13.305,13.325,13.305,13.325,650,0
2017-10-24,12:25:00,13.315,13.335,13.315,13.335,72,0
2017-10-24,12:30:00,13.33,13.33,13.33,13.33,208,0
2017-10-24,12:35:00,13.32,13.32,13.32,13.32,247,0
2017-10-24,12:40:00,13.315,13.32,13.315,13.32,554,0
2017-10-24,12:50:00,13.325,13.325,13.315,13.32,279,0
2017-10-24,13:00:00,13.325,13.33,13.32,13.33,463,0
2017-10-24,13:05:00,13.33,13.35,13.33,13.35,1091,0
2017-10-24,13:10:00,13.355,13.355,13.31,13.31,2361,0
2017-10-24,13:15:00,13.325,13.345,13.325,13.325,1527,0
2017-10-24,13:20:00,13.325,13.33,13.31,13.33,1064,0
2017-10-24,13:25:00,13.34,13.345,13.335,13.335,929,0
2017-10-24,13:30:00,13.34,13.345,13.34,13.345,986,0
2017-10-24,13:35:00,13.345,13.345,13.34,13.34,704,0
2017-10-24,13:40:00,13.335,13.335,13.335,13.335,460,0
2017-10-24,13:45:00,13.35,13.36,13.35,13.36,482,0
2017-10-24,13:50:00,13.36,13.36,13.35,13.35,983,0
2017-10-24,13:55:00,13.38,13.38,13.38,13.38,573,0
2017-10-24,14:00:00,13.38,13.385,13.38,13.385,3233,0
2017-10-24,14:10:00,13.38,13.38,13.38,13.38,967,0
2017-10-24,14:25:00,13.37,13.37,13.35,13.35,1098,0
2017-10-24,14:30:00,13.335,13.34,13.325,13.34,1625,0
2017-10-24,14:40:00,13.325,13.335,13.32,13.335,2754,0
2017-10-24,14:45:00,13.345,13.345,13.33,13.33,1443,0
2017-10-24,14:55:00,13.325,13.325,13.325,13.325,300,0
2017-10-24,15:00:00,13.33,13.33,13.33,13.33,245,0
2017-10-24,15:15:00,13.315,13.315,13.315,13.315,20,0
2017-10-24,15:25:00,13.335,13.35,13.325,13.325,3366,0
2017-10-24,15:30:00,13.32,13.32,13.28,13.28,1330,0
2017-10-24,15:35:00,13.3,13.3,13.25,13.265,7088,0
2017-10-24,15:40:00,13.26,13.26,13.25,13.25,1211,0
2017-10-24,15:45:00,13.245,13.245,13.245,13.245,598,0
2017-10-24,15:50:00,13.245,13.245,13.23,13.23,1574,0
2017-10-24,15:55:00,13.235,13.24,13.23,13.24,1281,0
2017-10-24,16:00:00,13.255,13.255,13.215,13.215,4369,0
