Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-02,09:05:00,34.08,34.08,34.08,34.08,1283,0
2017-10-02,09:30:00,34.01,34.12,34,34.12,183,0
2017-10-02,09:40:00,34.12,34.12,34.12,34.12,174,0
2017-10-02,10:00:00,34.115,34.12,34.115,34.12,112,0
2017-10-02,10:15:00,34.15,34.15,34.15,34.15,150,0
2017-10-02,10:40:00,34.235,34.24,34.235,34.24,150,0
2017-10-02,10:50:00,34.24,34.25,34.24,34.25,75,0
2017-10-02,11:35:00,34.255,34.28,34.255,34.28,111,0
2017-10-02,13:05:00,34.41,34.415,34.4,34.415,137,0
2017-10-02,13:30:00,34.275,34.275,34.255,34.255,52,0
2017-10-02,14:40:00,34.395,34.395,34.395,34.395,6,0
2017-10-02,15:00:00,34.4,34.4,34.4,34.4,4,0
2017-10-02,15:25:00,34.33,34.33,34.33,34.33,5,0
2017-10-02,15:55:00,34.33,34.33,34.33,34.33,5,0
2017-10-02,16:15:00,34.395,34.44,34.395,34.4,1085,0
2017-10-02,16:20:00,34.4,34.4,34.4,34.4,852,0
2017-10-02,16:50:00,34.28,34.28,34.28,34.28,15,0
2017-10-02,17:15:00,34.345,34.345,34.345,34.345,8,0
2017-10-02,17:20:00,34.395,34.395,34.395,34.395,13,0
2017-10-02,17:25:00,34.155,34.155,34.155,34.155,26,0
2017-10-02,17:30:00,34.19,34.395,34.155,34.395,127,0
2017-10-04,09:05:00,34.53,34.53,34.525,34.525,1113,0
2017-10-04,09:10:00,34.27,34.27,34.265,34.27,334,0
2017-10-04,09:15:00,34.27,34.27,34.27,34.27,16,0
2017-10-04,09:20:00,34.155,34.155,34.1,34.1,798,0
2017-10-04,09:30:00,34.005,34.245,34,34,1130,0
2017-10-04,09:35:00,34.27,34.27,34,34,710,0
2017-10-04,09:40:00,33.99,33.99,33.85,33.9,1344,0
2017-10-04,09:50:00,33.705,33.705,33.7,33.7,600,0
2017-10-04,09:55:00,33.575,33.575,33.575,33.575,200,0
2017-10-04,10:10:00,33.7,33.7,33.58,33.58,629,0
2017-10-04,10:25:00,33.59,33.7,33.585,33.7,658,0
2017-10-04,10:30:00,33.59,33.59,33.575,33.575,200,0
