Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,115.6,115.85,115.35,115.7,51744,0
2017-10-26,09:10:00,115.65,115.85,115.6,115.8,24327,0
2017-10-26,09:15:00,115.8,115.95,115.65,115.85,18632,0
2017-10-26,09:20:00,115.85,115.9,115.8,115.85,20273,0
2017-10-26,09:25:00,115.85,115.85,115.7,115.75,11059,0
2017-10-26,09:30:00,115.75,116,115.75,116,12342,0
2017-10-26,09:35:00,116,116.05,116,116.05,16124,0
2017-10-26,09:40:00,116,116.1,116,116.05,14343,0
2017-10-26,09:45:00,116,116.05,115.9,116.05,13459,0
2017-10-26,09:50:00,116,116,115.75,115.85,10066,0
2017-10-26,09:55:00,115.85,115.95,115.75,115.95,16989,0
2017-10-26,10:00:00,115.95,115.95,115.75,115.95,21853,0
2017-10-26,10:05:00,116,116.25,116,116.25,21421,0
2017-10-26,10:10:00,116.25,116.3,116.1,116.2,14713,0
2017-10-26,10:15:00,116.2,116.4,116.15,116.4,17073,0
2017-10-26,10:20:00,116.35,116.35,116.25,116.3,9584,0
2017-10-26,10:25:00,116.3,116.35,116.15,116.15,17172,0
2017-10-26,10:30:00,116.15,116.25,116.15,116.2,11223,0
2017-10-26,10:35:00,116.2,116.3,116.15,116.15,13694,0
2017-10-26,10:40:00,116.15,116.15,116,116,22603,0
2017-10-26,10:45:00,116,116.05,115.95,116.05,10446,0
2017-10-26,10:50:00,116.1,116.25,116.1,116.2,12179,0
2017-10-26,10:55:00,116.25,116.25,116.1,116.25,16272,0
2017-10-26,11:00:00,116.25,116.3,116.2,116.25,4019,0
2017-10-26,11:05:00,116.3,116.4,116.3,116.4,10570,0
2017-10-26,11:10:00,116.35,116.4,116.35,116.35,5693,0
2017-10-26,11:15:00,116.3,116.3,116.25,116.3,5165,0
2017-10-26,11:20:00,116.3,116.45,116.3,116.45,12150,0
2017-10-26,11:25:00,116.45,116.45,116.35,116.4,7167,0
2017-10-26,11:30:00,116.35,116.4,116.35,116.4,8283,0
2017-10-26,11:35:00,116.45,116.45,116.4,116.4,6554,0
2017-10-26,11:40:00,116.45,116.45,116.35,116.4,9292,0
2017-10-26,11:45:00,116.45,116.45,116.45,116.45,5573,0
2017-10-26,11:50:00,116.5,116.55,116.5,116.5,10510,0
2017-10-26,11:55:00,116.5,116.55,116.45,116.45,7066,0
2017-10-26,12:00:00,116.5,116.65,116.45,116.65,10185,0
2017-10-26,12:05:00,116.65,116.75,116.55,116.55,15660,0
2017-10-26,12:10:00,116.5,116.65,116.5,116.6,4911,0
2017-10-26,12:15:00,116.6,116.6,116.45,116.5,13482,0
2017-10-26,12:20:00,116.55,116.65,116.55,116.65,3460,0
2017-10-26,12:25:00,116.65,116.8,116.6,116.75,24861,0
2017-10-26,12:30:00,116.75,116.85,116.75,116.75,9892,0
2017-10-26,12:35:00,116.8,116.8,116.75,116.75,4283,0
2017-10-26,12:40:00,116.7,116.75,116.65,116.75,11897,0
2017-10-26,12:45:00,116.7,116.75,116.7,116.7,8900,0
2017-10-26,12:50:00,116.75,116.8,116.7,116.8,5670,0
2017-10-26,12:55:00,116.75,116.8,116.7,116.7,11120,0
2017-10-26,13:00:00,116.7,116.75,116.6,116.6,4821,0
2017-10-26,13:05:00,116.65,116.65,116.55,116.55,1916,0
2017-10-26,13:10:00,116.6,116.7,116.6,116.7,12178,0
2017-10-26,13:15:00,116.7,116.75,116.65,116.65,12477,0
2017-10-26,13:20:00,116.6,116.65,116.6,116.6,6382,0
2017-10-26,13:25:00,116.6,116.6,116.55,116.6,5825,0
2017-10-26,13:30:00,116.6,116.6,116.6,116.6,3797,0
2017-10-26,13:35:00,116.6,116.6,116.6,116.6,7463,0
2017-10-26,13:40:00,116.6,116.65,116.6,116.65,1022,0
2017-10-26,13:45:00,116.6,116.6,116.55,116.55,4438,0
2017-10-26,13:50:00,116.6,116.95,116.6,116.9,45310,0
2017-10-26,13:55:00,116.9,116.9,116.7,116.8,19952,0
2017-10-26,14:00:00,116.8,116.8,116.65,116.65,12819,0
2017-10-26,14:05:00,116.7,116.85,116.65,116.7,15428,0
2017-10-26,14:10:00,116.75,116.8,116.75,116.75,3094,0
2017-10-26,14:15:00,116.7,116.85,116.7,116.85,5491,0
2017-10-26,14:20:00,116.85,116.95,116.85,116.85,5876,0
2017-10-26,14:25:00,116.9,116.9,116.9,116.9,9102,0
2017-10-26,14:30:00,116.9,116.9,116.75,116.9,15397,0
2017-10-26,14:35:00,116.9,117,116.9,116.95,10467,0
2017-10-26,14:40:00,117,117,116.85,116.95,10655,0
2017-10-26,14:45:00,116.95,117.1,116.95,117.1,6375,0
2017-10-26,14:50:00,117.05,117.1,117.05,117.1,13019,0
2017-10-26,14:55:00,117.15,117.2,117.05,117.05,10197,0
2017-10-26,15:00:00,117.05,117.1,117,117.05,12652,0
2017-10-26,15:05:00,117,117.1,117,117.1,5717,0
2017-10-26,15:10:00,117.1,117.1,117.05,117.05,333,0
2017-10-26,15:15:00,117.1,117.35,117.1,117.35,28342,0
2017-10-26,15:20:00,117.3,117.35,117.25,117.3,14106,0
2017-10-26,15:25:00,117.25,117.25,117.2,117.25,6792,0
2017-10-26,15:30:00,117.25,117.25,117.2,117.25,7530,0
2017-10-26,15:35:00,117.25,117.35,117.2,117.35,25909,0
2017-10-26,15:40:00,117.4,117.45,117.25,117.3,11748,0
2017-10-26,15:45:00,117.35,117.4,117.3,117.3,15565,0
2017-10-26,15:50:00,117.35,117.4,117.35,117.4,12116,0
2017-10-26,15:55:00,117.35,117.5,117.35,117.5,15490,0
2017-10-26,16:00:00,117.5,117.6,117.45,117.5,22140,0
2017-10-26,16:05:00,117.5,117.55,117.4,117.45,19182,0
2017-10-26,16:10:00,117.45,117.45,117.3,117.3,33219,0
2017-10-26,16:15:00,117.35,117.4,117.3,117.3,13214,0
2017-10-26,16:20:00,117.3,117.3,117.2,117.2,27349,0
2017-10-26,16:25:00,117.2,117.3,117.2,117.3,29131,0
2017-10-26,16:30:00,117.35,117.45,117.25,117.4,22629,0
2017-10-26,16:35:00,117.35,117.65,117.35,117.65,19571,0
2017-10-26,16:40:00,117.65,118.1,117.5,118.1,154107,0
2017-10-26,16:45:00,118.1,118.25,117.9,118.05,79060,0
2017-10-26,16:50:00,118,118.05,117.85,117.85,55823,0
2017-10-26,16:55:00,117.85,117.9,117.65,117.7,66728,0
2017-10-26,17:00:00,117.7,117.75,117.55,117.7,86722,0
2017-10-26,17:05:00,117.65,117.65,117.45,117.5,35099,0
2017-10-26,17:10:00,117.5,117.65,117.5,117.65,27651,0
2017-10-26,17:15:00,117.65,117.85,117.6,117.8,25372,0
2017-10-26,17:20:00,117.75,117.75,117.65,117.65,26992,0
2017-10-26,17:25:00,117.7,117.8,117.65,117.8,24432,0
2017-10-26,17:30:00,117.85,118,117.85,117.9,678717,0
2017-10-27,09:05:00,118.7,118.7,118.25,118.35,68562,0
2017-10-27,09:10:00,118.4,118.65,118.4,118.65,25829,0
2017-10-27,09:15:00,118.65,118.7,118.45,118.7,29361,0
2017-10-27,09:20:00,118.65,118.7,118.5,118.5,40973,0
2017-10-27,09:25:00,118.5,118.55,118.3,118.55,23910,0
2017-10-27,09:30:00,118.5,118.6,118.45,118.5,28221,0
2017-10-27,09:35:00,118.5,118.7,118.5,118.55,50135,0
2017-10-27,09:40:00,118.6,119.1,118.6,119.05,52255,0
2017-10-27,09:45:00,119.05,119.2,119,119.1,31458,0
2017-10-27,09:50:00,119.1,119.3,119.1,119.25,23717,0
2017-10-27,09:55:00,119.3,119.4,119.2,119.25,33049,0
2017-10-27,10:00:00,119.25,119.25,119.05,119.1,24837,0
2017-10-27,10:05:00,119.1,119.25,119.1,119.15,18229,0
2017-10-27,10:10:00,119.15,119.2,119.05,119.2,20054,0
2017-10-27,10:15:00,119.2,119.35,119.15,119.25,16378,0
2017-10-27,10:20:00,119.25,119.25,119.1,119.2,18650,0
2017-10-27,10:25:00,119.2,119.2,119.1,119.15,15685,0
2017-10-27,10:30:00,119.15,119.35,119.15,119.3,25847,0
2017-10-27,10:35:00,119.25,119.35,119.15,119.25,23870,0
2017-10-27,10:40:00,119.2,119.35,119.1,119.35,24046,0
2017-10-27,10:45:00,119.4,119.4,119.25,119.4,24264,0
2017-10-27,10:50:00,119.35,119.45,119.35,119.45,15440,0
2017-10-27,10:55:00,119.45,119.5,119.35,119.5,27090,0
2017-10-27,11:00:00,119.45,119.55,119.45,119.55,27386,0
2017-10-27,11:05:00,119.55,119.65,119.5,119.65,17507,0
2017-10-27,11:10:00,119.6,119.75,119.6,119.65,49808,0
2017-10-27,11:15:00,119.7,119.75,119.6,119.6,25798,0
2017-10-27,11:20:00,119.6,119.6,119.45,119.55,24663,0
2017-10-27,11:25:00,119.5,119.5,119.45,119.5,15152,0
2017-10-27,11:30:00,119.5,119.65,119.5,119.65,15276,0
2017-10-27,11:35:00,119.65,119.8,119.65,119.75,10748,0
2017-10-27,11:40:00,119.75,119.9,119.75,119.85,26000,0
2017-10-27,11:45:00,119.85,119.9,119.8,119.85,22727,0
2017-10-27,11:50:00,119.85,119.9,119.7,119.75,18575,0
2017-10-27,11:55:00,119.75,119.9,119.75,119.85,21571,0
2017-10-27,12:00:00,119.85,119.9,119.75,119.85,24132,0
2017-10-27,12:05:00,119.85,120,119.8,119.9,31317,0
2017-10-27,12:10:00,119.9,119.9,119.85,119.85,10814,0
2017-10-27,12:15:00,119.8,119.85,119.6,119.6,39944,0
2017-10-27,12:20:00,119.65,119.7,119.6,119.6,14915,0
2017-10-27,12:25:00,119.6,119.6,119.55,119.6,6187,0
2017-10-27,12:30:00,119.6,119.6,119.55,119.6,757,0
2017-10-27,12:35:00,119.55,119.6,119.5,119.55,17460,0
2017-10-27,12:40:00,119.55,119.55,119.45,119.5,13448,0
2017-10-27,12:45:00,119.5,119.5,119.4,119.4,7895,0
2017-10-27,12:50:00,119.4,119.4,119.3,119.3,12296,0
2017-10-27,12:55:00,119.3,119.5,119.3,119.45,8534,0
2017-10-27,13:00:00,119.45,119.5,119.4,119.5,3907,0
2017-10-27,13:05:00,119.35,119.5,119.35,119.5,105372,0
2017-10-27,13:10:00,119.5,119.55,119.5,119.55,5514,0
2017-10-27,13:15:00,119.5,119.5,119.4,119.45,13719,0
2017-10-27,13:20:00,119.4,119.4,119.35,119.35,14696,0
2017-10-27,13:25:00,119.35,119.6,119.3,119.55,27029,0
2017-10-27,13:30:00,119.6,119.65,119.5,119.5,19380,0
2017-10-27,13:35:00,119.5,119.5,119.4,119.4,6021,0
2017-10-27,13:40:00,119.45,119.5,119.45,119.5,9914,0
2017-10-27,13:45:00,119.5,119.55,119.45,119.45,2939,0
2017-10-27,13:50:00,119.45,119.55,119.45,119.5,2787,0
2017-10-27,13:55:00,119.55,119.65,119.5,119.65,20237,0
2017-10-27,14:00:00,119.65,119.7,119.6,119.65,6883,0
2017-10-27,14:05:00,119.6,119.65,119.55,119.6,16848,0
2017-10-27,14:10:00,119.55,119.65,119.55,119.55,9487,0
2017-10-27,14:15:00,119.55,119.6,119.55,119.6,2376,0
2017-10-27,14:20:00,119.55,119.55,119.45,119.55,15395,0
2017-10-27,14:25:00,119.55,119.55,119.45,119.5,2431,0
2017-10-27,14:30:00,119.5,119.5,119.45,119.5,6489,0
2017-10-27,14:35:00,119.5,119.65,119.5,119.55,41949,0
2017-10-27,14:40:00,119.6,119.6,119.5,119.6,11700,0
2017-10-27,14:45:00,119.6,119.75,119.55,119.75,23090,0
2017-10-27,14:50:00,119.7,119.7,119.45,119.55,11825,0
2017-10-27,14:55:00,119.55,119.6,119.55,119.6,10594,0
2017-10-27,15:00:00,119.65,119.75,119.65,119.65,16046,0
2017-10-27,15:05:00,119.65,119.75,119.65,119.75,10591,0
2017-10-27,15:10:00,119.75,119.8,119.7,119.8,10822,0
2017-10-27,15:15:00,119.75,119.9,119.75,119.8,19124,0
2017-10-27,15:20:00,119.8,119.85,119.75,119.75,5935,0
2017-10-27,15:25:00,119.8,119.85,119.75,119.75,23240,0
2017-10-27,15:30:00,119.75,119.75,119.55,119.6,22337,0
2017-10-27,15:35:00,119.55,119.6,119.4,119.6,26496,0
2017-10-27,15:40:00,119.6,119.65,119.45,119.45,19093,0
2017-10-27,15:45:00,119.4,119.55,119.4,119.55,10172,0
2017-10-27,15:50:00,119.55,119.6,119.45,119.5,19023,0
2017-10-27,15:55:00,119.5,119.9,119.5,119.9,29368,0
2017-10-27,16:00:00,119.9,119.9,119.75,119.9,17826,0
2017-10-27,16:05:00,119.9,119.95,119.75,119.85,18426,0
2017-10-27,16:10:00,119.85,120,119.85,119.95,27534,0
2017-10-27,16:15:00,119.95,120,119.85,119.85,9368,0
2017-10-27,16:20:00,119.9,119.95,119.85,119.9,13316,0
2017-10-27,16:25:00,119.85,119.9,119.8,119.85,8896,0
2017-10-27,16:30:00,119.85,119.95,119.85,119.95,12744,0
2017-10-27,16:35:00,119.9,119.9,119.8,119.9,15025,0
2017-10-27,16:40:00,119.85,119.9,119.85,119.85,1537,0
