Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,09:15:00,13.337,13.337,13.337,13.337,150,0
2015-04-07,14:40:00,13.75,13.75,13.75,13.75,170,0
2015-04-08,09:30:00,13.5,13.5,13.5,13.5,350,0
2015-04-08,09:35:00,13.5,13.5,13.5,13.5,350,0
2015-04-09,12:20:00,13.51,13.51,13.51,13.51,1000,0
2015-04-09,12:25:00,13.51,13.51,13.51,13.51,1000,0
2015-04-15,15:25:00,13.3,13.3,13.3,13.3,500,0
2015-05-04,14:50:00,13.21,13.21,13.21,13.21,96,0
2015-05-07,10:30:00,13.2,13.2,13.2,13.2,152,0
2015-05-07,15:45:00,12.573,12.573,12.573,12.573,252,0
2015-05-08,08:35:00,12.5,12.5,12,12,200,0
2015-05-08,08:45:00,11.8,11.8,11.7,11.7,1300,0
2015-05-18,09:05:00,12.2,12.2,11.715,11.715,20,0
2015-05-19,09:25:00,12.3,12.3,12.3,12.3,200,0
2015-05-19,17:30:00,12,12,12,12,200,0
2015-05-21,09:05:00,12,12,12,12,60,0
2015-05-26,09:35:00,12.292,12.292,12.292,12.292,340,0
2015-05-27,09:35:00,12.292,12.292,12.292,12.292,170,0
2015-05-27,18:20:00,12,12,12,12,964,0
2015-06-09,11:15:00,11.93,11.93,11.93,11.93,300,0
2015-06-22,09:45:00,11.65,11.65,11.65,11.65,20,0
2015-07-13,09:45:00,12.547,12.547,12.547,12.547,160,0
2015-07-13,14:05:00,12.55,12.55,12.55,12.55,340,0
2015-07-13,16:45:00,12.244,12.244,12.244,12.244,840,0
2015-07-14,09:20:00,11.945,11.945,11.945,11.945,40,0
2015-07-15,11:45:00,11.95,11.95,11.95,11.95,12,0
2015-07-16,10:25:00,11.9,11.9,11.9,11.9,20,0
2015-08-07,11:05:00,11.38,11.38,11.38,11.38,56,0
2015-08-07,15:30:00,11.657,11.657,11.657,11.657,416,0
2015-08-20,11:25:00,11.55,11.55,11.55,11.55,662,0
2015-09-17,10:35:00,11.55,11.55,11.55,11.55,200,0
2015-09-18,14:35:00,11.875,11.875,11.875,11.875,338,0
2015-11-20,11:55:00,11.6,11.6,11.049,11.049,382,0
2015-11-20,12:00:00,10.516,10.516,10.516,10.516,191,0
2015-11-20,14:50:00,10,10,10,10,1000,0
2015-11-20,16:15:00,10,10,10,10,650,0
2015-11-20,16:30:00,10,10,10,10,400,0
2015-11-20,17:30:00,10,10,10,10,1377,0
2015-11-20,18:15:00,10.499,10.499,10.499,10.499,100,0
2015-11-20,18:40:00,10.755,10.755,10.755,10.755,100,0
2015-11-23,08:50:00,11.026,11.026,11.026,11.026,50,0
2015-11-25,09:55:00,11.25,11.25,11.25,11.25,200,0
2015-12-01,10:30:00,11.27,11.27,11.27,11.27,200,0
2015-12-04,11:40:00,10.715,10.715,10.715,10.715,190,0
2015-12-10,09:15:00,10.454,10.454,10.454,10.454,200,0
2015-12-10,09:35:00,10.59,10.59,10.59,10.59,200,0
2015-12-15,08:55:00,10.325,10.325,10.325,10.325,10,0
2015-12-15,16:30:00,10.576,10.576,10.576,10.576,100,0
2015-12-28,09:00:00,10.83,10.83,10.83,10.83,200,0
2015-12-30,10:15:00,10.81,10.81,10.81,10.81,50,0
2015-12-30,13:50:00,10.286,10.286,10.286,10.286,0,0
2016-01-04,08:30:00,10.93,10.93,10.93,10.93,100,0
2016-01-04,10:00:00,11.196,11.196,11.196,11.196,170,0
2016-01-04,13:05:00,11.4,11.4,11.3,11.3,130,0
2016-01-05,10:05:00,11.85,11.85,11.85,11.85,240,0
2016-01-05,10:20:00,11.95,11.95,11.95,11.95,537,0
2016-01-05,13:40:00,11.659,11.659,11.55,11.55,250,0
2016-01-05,13:55:00,11.45,11.45,11.45,11.45,250,0
2016-01-05,14:25:00,11.2,11.2,11.2,11.2,250,0
2016-01-06,08:25:00,11.3,11.3,11.3,11.3,100,0
2016-01-06,10:35:00,11.1,11.1,11.05,11.05,200,0
2016-01-13,14:45:00,11.613,11.613,11.613,11.613,200,0
2016-01-13,14:50:00,11.896,11.896,11.896,11.896,170,0
2016-01-13,14:55:00,11.95,11.95,11.95,11.95,230,0
2016-01-20,16:20:00,11.382,11.382,11.382,11.382,100,0
2016-01-27,09:40:00,11.659,11.659,11.659,11.659,100,0
2016-01-29,10:40:00,11.95,11.95,11.95,11.95,97,0
2016-02-09,15:50:00,11.65,11.65,11.65,11.65,45,0
2016-02-09,16:00:00,11.366,11.366,11.366,11.366,152,0
