Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,74.16,74.16,74.16,74.16,345,0
2017-10-24,09:10:00,74.38,74.66,74.27,74.27,1565,0
2017-10-24,09:15:00,74.29,74.29,74.14,74.29,584,0
2017-10-24,09:20:00,74.3,74.37,74.16,74.18,767,0
2017-10-24,09:25:00,74.21,74.21,73.94,74.1,1366,0
2017-10-24,09:30:00,74.17,74.22,74,74.01,621,0
2017-10-24,09:35:00,73.97,73.97,73.91,73.91,441,0
2017-10-24,09:40:00,74,74.42,74,74.22,1564,0
2017-10-24,09:50:00,74.09,74.1,74.04,74.04,459,0
2017-10-24,09:55:00,74.01,74.21,74,74.21,501,0
2017-10-24,10:00:00,74.22,74.49,74.22,74.49,425,0
2017-10-24,10:05:00,74.5,74.84,74.45,74.84,2877,0
2017-10-24,10:10:00,74.77,74.77,74.75,74.77,277,0
2017-10-24,10:15:00,74.83,74.9,74.76,74.84,412,0
2017-10-24,10:20:00,74.9,74.9,74.82,74.85,327,0
2017-10-24,10:25:00,74.97,75.02,74.97,74.99,773,0
2017-10-24,10:30:00,75.11,75.11,74.9,74.9,684,0
2017-10-24,10:35:00,75,75,75,75,183,0
2017-10-24,10:45:00,74.88,74.88,74.88,74.88,57,0
2017-10-24,10:50:00,74.99,75,74.9,74.94,1033,0
2017-10-24,10:55:00,74.99,75,74.93,74.93,68,0
2017-10-24,11:00:00,75,75,74.94,74.94,89,0
2017-10-24,11:05:00,74.94,74.94,74.84,74.84,260,0
2017-10-24,11:15:00,74.97,74.97,74.97,74.97,13,0
2017-10-24,11:20:00,75,75,75,75,232,0
2017-10-24,11:25:00,74.92,75,74.92,75,694,0
2017-10-24,11:30:00,74.94,74.94,74.86,74.86,453,0
2017-10-24,11:35:00,74.82,74.94,74.75,74.94,1099,0
2017-10-24,11:45:00,74.99,74.99,74.91,74.93,196,0
2017-10-24,11:50:00,74.98,74.98,74.88,74.96,401,0
2017-10-24,11:55:00,74.95,74.95,74.74,74.88,1152,0
2017-10-24,12:00:00,74.96,74.96,74.77,74.85,673,0
2017-10-24,12:05:00,74.75,74.75,74.58,74.58,384,0
2017-10-24,12:10:00,74.58,74.58,74.58,74.58,21,0
2017-10-24,12:15:00,74.71,74.75,74.67,74.68,928,0
2017-10-24,12:20:00,74.67,74.72,74.59,74.59,370,0
2017-10-24,12:25:00,74.71,74.75,74.61,74.61,281,0
2017-10-24,12:35:00,74.72,74.72,74.65,74.65,154,0
2017-10-24,12:40:00,74.7,74.7,74.67,74.7,1183,0
2017-10-24,12:45:00,74.65,74.65,74.65,74.65,94,0
2017-10-24,12:50:00,74.64,74.64,74.57,74.58,490,0
2017-10-24,12:55:00,74.58,74.65,74.58,74.65,342,0
2017-10-24,13:00:00,74.59,74.59,74.59,74.59,9,0
2017-10-24,13:05:00,74.65,74.65,74.53,74.54,131,0
2017-10-24,13:10:00,74.54,74.58,74.54,74.55,86,0
2017-10-24,13:15:00,74.54,74.54,74.54,74.54,7,0
2017-10-24,13:20:00,74.63,74.65,74.54,74.63,954,0
2017-10-24,13:25:00,74.65,74.65,74.65,74.65,496,0
2017-10-24,13:35:00,74.64,74.65,74.64,74.65,226,0
2017-10-24,13:40:00,74.65,74.7,74.65,74.67,814,0
2017-10-24,13:45:00,74.73,74.75,74.73,74.75,330,0
2017-10-24,13:50:00,74.75,74.81,74.75,74.76,534,0
2017-10-24,13:55:00,74.81,74.81,74.8,74.8,477,0
2017-10-24,14:00:00,74.8,74.9,74.7,74.82,1485,0
2017-10-24,14:10:00,74.9,74.98,74.9,74.98,222,0
2017-10-24,14:15:00,74.98,75,74.98,75,544,0
2017-10-24,14:20:00,75,75,74.75,74.75,1242,0
2017-10-24,14:25:00,74.9,75.05,74.9,75,1386,0
2017-10-24,14:30:00,75.01,75.02,74.93,74.93,499,0
2017-10-24,14:35:00,74.94,75,74.92,74.92,409,0
2017-10-24,14:40:00,75,75,74.93,75,362,0
2017-10-24,14:45:00,74.93,74.93,74.88,74.88,348,0
2017-10-24,15:00:00,74.8,74.84,74.8,74.84,59,0
