Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,68.79,68.84,68.58,68.84,166,0
2017-10-19,09:10:00,68.89,68.89,68.69,68.7,747,0
2017-10-19,09:30:00,68.75,68.75,68.69,68.69,90,0
2017-10-19,09:40:00,68.48,68.48,68.47,68.47,39,0
2017-10-19,09:45:00,68.4,68.4,68.38,68.38,384,0
2017-10-19,09:50:00,68.23,68.23,68.12,68.12,62,0
2017-10-19,09:55:00,68.1,68.1,67.82,67.88,1881,0
2017-10-19,10:00:00,67.91,67.91,67.82,67.82,187,0
2017-10-19,10:05:00,67.78,67.78,67.39,67.54,1609,0
2017-10-19,10:10:00,67.65,67.65,67.65,67.65,9,0
2017-10-19,10:15:00,67.58,67.58,67.46,67.46,545,0
2017-10-19,10:20:00,67.57,67.57,67.55,67.55,351,0
2017-10-19,10:25:00,67.56,67.56,67.55,67.55,348,0
2017-10-19,10:30:00,67.5,67.5,67.33,67.33,403,0
2017-10-19,10:35:00,67.07,67.07,66.8,66.96,1541,0
2017-10-19,10:40:00,66.96,66.96,66.88,66.88,522,0
2017-10-19,10:50:00,66.84,66.84,66.82,66.82,100,0
2017-10-19,10:55:00,66.83,66.99,66.83,66.99,765,0
2017-10-19,11:00:00,67,67.25,67,67.17,349,0
2017-10-19,11:10:00,67.12,67.12,67.12,67.12,3,0
2017-10-19,11:20:00,67.1,67.1,66.92,66.98,662,0
2017-10-19,11:25:00,67.03,67.03,67.03,67.03,5,0
2017-10-19,11:30:00,67.04,67.09,67.01,67.01,151,0
2017-10-19,11:35:00,67.09,67.1,67.09,67.1,49,0
2017-10-19,11:45:00,66.99,66.99,66.99,66.99,3,0
2017-10-19,11:50:00,66.98,66.98,66.97,66.97,50,0
2017-10-19,11:55:00,67.09,67.09,67.01,67.01,146,0
2017-10-19,12:00:00,66.96,66.96,66.9,66.9,43,0
2017-10-19,12:25:00,66.86,66.86,66.82,66.85,136,0
2017-10-19,12:40:00,66.88,66.9,66.88,66.9,90,0
2017-10-19,12:45:00,66.9,66.9,66.86,66.86,159,0
2017-10-19,12:55:00,66.76,66.77,66.76,66.77,375,0
2017-10-19,13:05:00,66.81,66.81,66.76,66.77,218,0
2017-10-19,13:10:00,66.81,66.9,66.8,66.8,187,0
2017-10-19,13:15:00,66.77,66.77,66.71,66.71,63,0
2017-10-19,13:20:00,66.89,66.9,66.83,66.83,213,0
2017-10-19,13:25:00,66.71,66.71,66.71,66.71,30,0
2017-10-19,13:45:00,66.84,66.9,66.84,66.9,64,0
2017-10-19,13:50:00,66.88,66.88,66.88,66.88,19,0
2017-10-19,13:55:00,66.78,66.78,66.74,66.74,111,0
2017-10-19,14:10:00,66.74,66.76,66.74,66.76,46,0
2017-10-19,14:20:00,66.7,66.78,66.59,66.63,1011,0
2017-10-19,14:25:00,66.64,66.64,66.64,66.64,80,0
2017-10-19,14:30:00,66.5,66.5,66.35,66.48,701,0
2017-10-19,14:35:00,66.48,66.48,66.17,66.17,900,0
2017-10-19,14:45:00,66.27,66.3,66.27,66.3,148,0
2017-10-19,15:05:00,66.34,66.34,66.34,66.34,103,0
2017-10-19,15:10:00,66.48,66.48,66.48,66.48,62,0
2017-10-19,15:20:00,66.56,66.56,66.56,66.56,29,0
2017-10-19,15:25:00,66.56,66.56,66.56,66.56,18,0
