Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,09:05:00,16.485,16.485,16.485,16.485,124,0
2017-10-17,09:10:00,16.54,16.54,16.395,16.395,949,0
2017-10-17,09:15:00,16.33,16.375,16.33,16.33,235,0
2017-10-17,09:20:00,16.33,16.33,16.29,16.29,2900,0
2017-10-17,09:30:00,16.35,16.35,16.255,16.255,692,0
2017-10-17,09:35:00,16.305,16.305,16.305,16.305,86,0
2017-10-17,09:55:00,16.265,16.265,16.265,16.265,10,0
2017-10-17,10:00:00,16.285,16.285,16.235,16.235,608,0
2017-10-17,10:05:00,16.255,16.255,16.255,16.255,68,0
2017-10-17,10:10:00,16.25,16.26,16.23,16.23,1618,0
2017-10-17,10:15:00,16.23,16.23,16.23,16.23,104,0
2017-10-17,10:25:00,16.265,16.265,16.265,16.265,68,0
2017-10-17,10:35:00,16.295,16.31,16.295,16.31,292,0
2017-10-17,10:40:00,16.31,16.345,16.31,16.345,321,0
2017-10-17,10:50:00,16.35,16.35,16.35,16.35,383,0
2017-10-17,10:55:00,16.35,16.35,16.345,16.35,628,0
2017-10-17,11:00:00,16.335,16.335,16.305,16.305,1326,0
2017-10-17,11:10:00,16.305,16.305,16.245,16.26,373,0
2017-10-17,11:15:00,16.27,16.27,16.27,16.27,92,0
2017-10-17,11:30:00,16.255,16.3,16.255,16.3,616,0
2017-10-17,11:40:00,16.315,16.315,16.3,16.3,455,0
2017-10-17,11:45:00,16.33,16.395,16.33,16.36,2441,0
2017-10-17,11:50:00,16.365,16.395,16.36,16.395,1070,0
2017-10-17,11:55:00,16.405,16.405,16.405,16.405,59,0
2017-10-17,12:00:00,16.425,16.425,16.425,16.425,129,0
2017-10-17,12:05:00,16.44,16.44,16.38,16.38,986,0
2017-10-17,12:15:00,16.375,16.375,16.375,16.375,150,0
2017-10-17,12:20:00,16.33,16.33,16.33,16.33,135,0
2017-10-17,12:25:00,16.36,16.365,16.36,16.365,148,0
2017-10-17,12:40:00,16.355,16.355,16.32,16.32,1786,0
2017-10-17,12:45:00,16.355,16.385,16.3,16.385,2303,0
2017-10-17,12:50:00,16.385,16.41,16.375,16.375,803,0
2017-10-17,13:15:00,16.36,16.385,16.325,16.375,3391,0
2017-10-17,13:20:00,16.39,16.415,16.385,16.415,632,0
2017-10-17,13:35:00,16.415,16.42,16.415,16.415,729,0
2017-10-17,13:40:00,16.45,16.45,16.435,16.435,554,0
