Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,3.66,3.662,3.65,3.652,51890,0
2017-10-26,09:10:00,3.658,3.658,3.624,3.629,60109,0
2017-10-26,09:15:00,3.632,3.632,3.615,3.621,56868,0
2017-10-26,09:20:00,3.615,3.615,3.604,3.608,23896,0
2017-10-26,09:25:00,3.612,3.621,3.61,3.612,39780,0
2017-10-26,09:30:00,3.613,3.628,3.613,3.615,132470,0
2017-10-26,09:35:00,3.62,3.631,3.613,3.619,70069,0
2017-10-26,09:40:00,3.62,3.626,3.615,3.622,55665,0
2017-10-26,09:45:00,3.622,3.628,3.619,3.628,23462,0
2017-10-26,09:50:00,3.627,3.643,3.623,3.638,126863,0
2017-10-26,09:55:00,3.637,3.642,3.631,3.642,25346,0
2017-10-26,10:00:00,3.642,3.652,3.642,3.652,43741,0
2017-10-26,10:05:00,3.653,3.659,3.65,3.65,38939,0
2017-10-26,10:10:00,3.65,3.66,3.65,3.659,142619,0
2017-10-26,10:15:00,3.659,3.672,3.653,3.67,220315,0
2017-10-26,10:20:00,3.666,3.672,3.665,3.671,41443,0
2017-10-26,10:25:00,3.673,3.676,3.672,3.675,39350,0
2017-10-26,10:30:00,3.674,3.674,3.666,3.67,46107,0
2017-10-26,10:35:00,3.671,3.678,3.671,3.675,36179,0
2017-10-26,10:40:00,3.674,3.68,3.672,3.676,63940,0
2017-10-26,10:45:00,3.677,3.677,3.673,3.675,46344,0
2017-10-26,10:50:00,3.675,3.679,3.675,3.679,24307,0
2017-10-26,10:55:00,3.682,3.686,3.679,3.679,79451,0
2017-10-26,11:00:00,3.679,3.688,3.677,3.688,35564,0
2017-10-26,11:05:00,3.688,3.689,3.681,3.682,18425,0
2017-10-26,11:10:00,3.683,3.69,3.683,3.689,16491,0
2017-10-26,11:15:00,3.688,3.69,3.686,3.689,32559,0
2017-10-26,11:20:00,3.689,3.692,3.684,3.684,31890,0
2017-10-26,11:25:00,3.687,3.689,3.686,3.686,29655,0
2017-10-26,11:30:00,3.688,3.704,3.688,3.704,51867,0
2017-10-26,11:35:00,3.704,3.704,3.697,3.699,16653,0
2017-10-26,11:40:00,3.699,3.702,3.694,3.695,24856,0
2017-10-26,11:45:00,3.697,3.702,3.697,3.698,25782,0
2017-10-26,11:50:00,3.696,3.703,3.696,3.702,27404,0
2017-10-26,11:55:00,3.701,3.701,3.699,3.699,24752,0
2017-10-26,12:00:00,3.7,3.705,3.698,3.703,31573,0
2017-10-26,12:05:00,3.705,3.708,3.702,3.705,20147,0
2017-10-26,12:10:00,3.704,3.704,3.702,3.702,14291,0
2017-10-26,12:15:00,3.703,3.704,3.695,3.696,22163,0
2017-10-26,12:20:00,3.694,3.695,3.68,3.68,36643,0
2017-10-26,12:25:00,3.68,3.682,3.678,3.682,27991,0
2017-10-26,12:30:00,3.683,3.689,3.683,3.689,20036,0
2017-10-26,12:35:00,3.687,3.687,3.671,3.671,20552,0
2017-10-26,12:40:00,3.674,3.678,3.672,3.678,39922,0
2017-10-26,12:45:00,3.678,3.678,3.673,3.674,29222,0
2017-10-26,12:50:00,3.675,3.676,3.67,3.67,20155,0
2017-10-26,12:55:00,3.671,3.674,3.671,3.674,25555,0
2017-10-26,13:00:00,3.673,3.675,3.671,3.671,37211,0
2017-10-26,13:05:00,3.667,3.673,3.665,3.673,18951,0
2017-10-26,13:10:00,3.675,3.677,3.673,3.674,27734,0
2017-10-26,13:15:00,3.674,3.676,3.669,3.674,44219,0
2017-10-26,13:20:00,3.674,3.679,3.674,3.674,44620,0
2017-10-26,13:25:00,3.673,3.674,3.664,3.664,27925,0
2017-10-26,13:30:00,3.661,3.663,3.658,3.663,47040,0
2017-10-26,13:35:00,3.662,3.666,3.657,3.666,30553,0
2017-10-26,13:40:00,3.668,3.669,3.666,3.668,38283,0
2017-10-26,13:45:00,3.67,3.678,3.668,3.668,53717,0
2017-10-26,13:50:00,3.67,3.684,3.67,3.683,59439,0
2017-10-26,13:55:00,3.687,3.689,3.684,3.689,18621,0
2017-10-26,14:00:00,3.689,3.695,3.687,3.695,42704,0
2017-10-26,14:05:00,3.695,3.702,3.689,3.69,65982,0
2017-10-26,14:10:00,3.693,3.698,3.692,3.694,30760,0
2017-10-26,14:15:00,3.694,3.694,3.688,3.691,20909,0
2017-10-26,14:20:00,3.687,3.691,3.687,3.688,21604,0
2017-10-26,14:25:00,3.688,3.688,3.681,3.688,26520,0
2017-10-26,14:30:00,3.689,3.69,3.686,3.686,129119,0
2017-10-26,14:35:00,3.687,3.695,3.684,3.695,63422,0
2017-10-26,14:40:00,3.694,3.696,3.692,3.694,38629,0
2017-10-26,14:45:00,3.694,3.703,3.691,3.703,45615,0
2017-10-26,14:50:00,3.703,3.708,3.7,3.7,76524,0
2017-10-26,14:55:00,3.701,3.708,3.701,3.706,35315,0
2017-10-26,15:00:00,3.708,3.713,3.708,3.71,73691,0
2017-10-26,15:05:00,3.709,3.71,3.704,3.707,65419,0
2017-10-26,15:10:00,3.708,3.71,3.701,3.704,36157,0
2017-10-26,15:15:00,3.705,3.706,3.693,3.7,46326,0
2017-10-26,15:20:00,3.699,3.701,3.696,3.7,43079,0
2017-10-26,15:25:00,3.701,3.702,3.697,3.698,31323,0
2017-10-26,15:30:00,3.699,3.699,3.691,3.696,65337,0
2017-10-26,15:35:00,3.697,3.7,3.694,3.697,110176,0
2017-10-26,15:40:00,3.697,3.7,3.695,3.696,63260,0
2017-10-26,15:45:00,3.698,3.703,3.698,3.703,21969,0
2017-10-26,15:50:00,3.705,3.715,3.705,3.715,91125,0
2017-10-26,15:55:00,3.715,3.726,3.713,3.718,123479,0
2017-10-26,16:00:00,3.722,3.724,3.718,3.718,45119,0
2017-10-26,16:05:00,3.722,3.724,3.718,3.721,75091,0
2017-10-26,16:10:00,3.723,3.723,3.72,3.722,83761,0
2017-10-26,16:15:00,3.721,3.721,3.716,3.72,87905,0
2017-10-26,16:20:00,3.72,3.72,3.707,3.707,36445,0
2017-10-26,16:25:00,3.705,3.711,3.704,3.711,73136,0
2017-10-26,16:30:00,3.712,3.718,3.711,3.718,47652,0
2017-10-26,16:35:00,3.716,3.722,3.71,3.719,136767,0
2017-10-26,16:40:00,3.721,3.728,3.72,3.725,78313,0
2017-10-26,16:45:00,3.725,3.73,3.715,3.715,86902,0
2017-10-26,16:50:00,3.717,3.728,3.717,3.726,65111,0
2017-10-26,16:55:00,3.726,3.729,3.721,3.723,112931,0
2017-10-26,17:00:00,3.72,3.724,3.716,3.72,118223,0
2017-10-26,17:05:00,3.721,3.727,3.717,3.72,86777,0
2017-10-26,17:10:00,3.719,3.724,3.717,3.724,64037,0
2017-10-26,17:15:00,3.723,3.726,3.72,3.722,76494,0
2017-10-26,17:20:00,3.721,3.721,3.712,3.716,125818,0
2017-10-26,17:25:00,3.718,3.721,3.716,3.719,64213,0
2017-10-26,17:30:00,3.722,3.724,3.714,3.721,537961,0
2017-10-27,09:05:00,3.743,3.743,3.732,3.737,36029,0
2017-10-27,09:10:00,3.733,3.737,3.73,3.73,70662,0
2017-10-27,09:15:00,3.73,3.739,3.73,3.73,61933,0
2017-10-27,09:20:00,3.732,3.734,3.722,3.724,42174,0
2017-10-27,09:25:00,3.725,3.73,3.722,3.724,62729,0
2017-10-27,09:30:00,3.723,3.726,3.717,3.717,49646,0
2017-10-27,09:35:00,3.716,3.718,3.707,3.709,21941,0
2017-10-27,09:40:00,3.706,3.717,3.706,3.716,19559,0
2017-10-27,09:45:00,3.718,3.722,3.714,3.72,26542,0
2017-10-27,09:50:00,3.721,3.727,3.716,3.727,44226,0
2017-10-27,09:55:00,3.728,3.728,3.721,3.725,23681,0
2017-10-27,10:00:00,3.726,3.731,3.722,3.722,49161,0
2017-10-27,10:05:00,3.726,3.731,3.726,3.729,29006,0
2017-10-27,10:10:00,3.727,3.732,3.722,3.724,75722,0
2017-10-27,10:15:00,3.724,3.728,3.721,3.721,34059,0
2017-10-27,10:20:00,3.722,3.726,3.717,3.717,21595,0
2017-10-27,10:25:00,3.718,3.726,3.718,3.723,49339,0
2017-10-27,10:30:00,3.724,3.729,3.723,3.725,40745,0
2017-10-27,10:35:00,3.729,3.729,3.724,3.725,14236,0
2017-10-27,10:40:00,3.725,3.725,3.717,3.721,22444,0
2017-10-27,10:45:00,3.723,3.723,3.722,3.723,11357,0
2017-10-27,10:50:00,3.723,3.728,3.721,3.728,27393,0
2017-10-27,10:55:00,3.727,3.729,3.724,3.725,48219,0
2017-10-27,11:00:00,3.725,3.727,3.725,3.726,13734,0
2017-10-27,11:05:00,3.724,3.724,3.72,3.722,15661,0
2017-10-27,11:10:00,3.721,3.723,3.72,3.721,27108,0
2017-10-27,11:15:00,3.722,3.722,3.718,3.722,49038,0
2017-10-27,11:20:00,3.721,3.728,3.721,3.728,59173,0
2017-10-27,11:25:00,3.729,3.733,3.728,3.732,42488,0
2017-10-27,11:30:00,3.73,3.733,3.728,3.732,21489,0
2017-10-27,11:35:00,3.732,3.739,3.732,3.739,25988,0
2017-10-27,11:40:00,3.74,3.745,3.74,3.743,33678,0
2017-10-27,11:45:00,3.742,3.747,3.742,3.746,66371,0
2017-10-27,11:50:00,3.747,3.75,3.744,3.749,43735,0
2017-10-27,11:55:00,3.749,3.753,3.749,3.753,30404,0
2017-10-27,12:00:00,3.748,3.755,3.748,3.755,18771,0
2017-10-27,12:05:00,3.752,3.759,3.751,3.759,16008,0
2017-10-27,12:10:00,3.756,3.76,3.755,3.756,19783,0
2017-10-27,12:15:00,3.754,3.757,3.749,3.753,55035,0
2017-10-27,12:20:00,3.752,3.759,3.752,3.752,19575,0
2017-10-27,12:25:00,3.755,3.759,3.754,3.759,22293,0
2017-10-27,12:30:00,3.759,3.759,3.751,3.755,60147,0
2017-10-27,12:35:00,3.756,3.76,3.752,3.753,58702,0
2017-10-27,12:40:00,3.755,3.756,3.753,3.756,14957,0
2017-10-27,12:45:00,3.756,3.756,3.753,3.753,4383,0
2017-10-27,12:55:00,3.754,3.755,3.754,3.754,6393,0
2017-10-27,13:00:00,3.756,3.759,3.752,3.758,107783,0
2017-10-27,13:05:00,3.756,3.759,3.756,3.759,8298,0
2017-10-27,13:10:00,3.76,3.76,3.752,3.755,64202,0
2017-10-27,13:15:00,3.755,3.755,3.747,3.75,37448,0
2017-10-27,13:20:00,3.752,3.752,3.745,3.748,25400,0
2017-10-27,13:25:00,3.747,3.748,3.744,3.744,8024,0
2017-10-27,13:30:00,3.745,3.75,3.745,3.75,38850,0
2017-10-27,13:35:00,3.747,3.747,3.745,3.745,10890,0
2017-10-27,13:40:00,3.746,3.746,3.743,3.743,6294,0
2017-10-27,13:45:00,3.743,3.743,3.743,3.743,1500,0
2017-10-27,13:50:00,3.745,3.748,3.742,3.745,43545,0
2017-10-27,13:55:00,3.743,3.748,3.743,3.744,25743,0
2017-10-27,14:00:00,3.746,3.751,3.744,3.751,28488,0
2017-10-27,14:05:00,3.753,3.753,3.752,3.752,2184,0
2017-10-27,14:10:00,3.749,3.749,3.745,3.746,41919,0
2017-10-27,14:15:00,3.749,3.749,3.745,3.746,10777,0
