Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,43.75,43.755,43.615,43.615,4733,0
2017-10-25,09:10:00,43.645,43.685,43.645,43.685,743,0
2017-10-25,09:15:00,43.67,43.815,43.65,43.815,1227,0
2017-10-25,09:20:00,43.83,43.83,43.78,43.78,706,0
2017-10-25,09:25:00,43.81,43.92,43.81,43.855,606,0
2017-10-25,09:30:00,43.845,43.905,43.835,43.84,614,0
2017-10-25,09:35:00,43.88,43.885,43.825,43.855,983,0
2017-10-25,09:40:00,43.875,43.91,43.87,43.875,226,0
2017-10-25,09:45:00,43.835,43.97,43.81,43.955,923,0
2017-10-25,09:50:00,43.895,43.915,43.855,43.87,714,0
2017-10-25,09:55:00,43.905,43.905,43.845,43.87,224,0
2017-10-25,10:00:00,43.85,43.865,43.77,43.79,869,0
2017-10-25,10:05:00,43.815,43.89,43.815,43.85,2073,0
2017-10-25,10:10:00,43.895,43.915,43.86,43.9,897,0
2017-10-25,10:15:00,43.86,43.86,43.78,43.815,696,0
2017-10-25,10:20:00,43.815,43.815,43.72,43.73,880,0
2017-10-25,10:25:00,43.75,43.76,43.67,43.67,1243,0
2017-10-25,10:30:00,43.665,43.665,43.665,43.665,39,0
2017-10-25,10:35:00,43.63,43.645,43.615,43.615,828,0
2017-10-25,10:40:00,43.6,43.655,43.595,43.655,1099,0
2017-10-25,10:45:00,43.605,43.62,43.54,43.54,727,0
2017-10-25,10:50:00,43.59,43.685,43.59,43.685,667,0
2017-10-25,10:55:00,43.685,43.685,43.63,43.63,604,0
2017-10-25,11:00:00,43.63,43.67,43.625,43.635,779,0
2017-10-25,11:05:00,43.63,43.75,43.62,43.75,1793,0
2017-10-25,11:10:00,43.765,43.81,43.76,43.81,810,0
2017-10-25,11:15:00,43.825,43.855,43.825,43.83,209,0
2017-10-25,11:20:00,43.8,43.95,43.8,43.835,1794,0
2017-10-25,11:25:00,43.845,43.91,43.845,43.91,388,0
2017-10-25,11:30:00,43.91,43.91,43.91,43.91,208,0
2017-10-25,11:35:00,43.935,43.98,43.935,43.975,1211,0
2017-10-25,11:40:00,43.925,43.97,43.91,43.945,866,0
2017-10-25,11:45:00,43.895,43.905,43.88,43.905,179,0
2017-10-25,11:50:00,43.87,43.885,43.87,43.885,46,0
2017-10-25,11:55:00,43.89,43.895,43.81,43.895,1185,0
2017-10-25,12:00:00,43.89,43.89,43.825,43.825,254,0
2017-10-25,12:05:00,43.81,43.865,43.81,43.865,412,0
2017-10-25,12:10:00,43.86,43.86,43.86,43.86,34,0
2017-10-25,12:15:00,43.86,43.88,43.85,43.88,296,0
2017-10-25,12:20:00,43.875,43.88,43.875,43.88,263,0
2017-10-25,12:25:00,43.905,43.95,43.905,43.95,1019,0
2017-10-25,12:30:00,43.965,43.97,43.965,43.97,192,0
2017-10-25,12:35:00,43.95,44.07,43.935,44.02,1534,0
2017-10-25,12:45:00,43.985,44.03,43.985,44.03,1174,0
2017-10-25,12:50:00,44.015,44.015,44.015,44.015,197,0
2017-10-25,12:55:00,44.03,44.045,44.03,44.045,601,0
2017-10-25,13:05:00,44,44.02,43.995,44.02,922,0
