Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-07,09:45:00,2.4807,2.4807,2.4807,2.4807,62,0
2016-06-07,10:35:00,2.4528,2.4528,2.4518,2.4518,1586,0
2016-06-07,13:55:00,2.422,2.422,2.422,2.422,125,0
2016-06-07,17:25:00,2.422,2.423,2.422,2.423,208,0
2016-06-08,12:00:00,2.423,2.423,2.423,2.423,260,0
2016-06-09,09:20:00,2.4037,2.4037,2.4037,2.4037,1820,0
2016-06-09,15:50:00,2.3384,2.3384,2.3374,2.3374,3646,0
2016-06-09,17:30:00,2.497,2.497,2.497,2.497,3,0
2016-06-10,09:10:00,2.497,2.497,2.497,2.497,500,0
2016-06-13,09:05:00,2.36,2.36,2.36,2.36,220,0
2016-06-13,10:35:00,2.498,2.498,2.498,2.498,400,0
2016-06-13,16:50:00,2.36,2.46,2.36,2.46,3340,0
2016-06-15,09:10:00,2.302,2.303,2.301,2.301,1710,0
2016-06-16,09:25:00,2.315,2.315,2.314,2.314,351,0
2016-06-16,17:30:00,2.314,2.314,2.314,2.314,1867,0
2016-06-20,10:45:00,2.349,2.399,2.349,2.399,2000,0
2016-06-20,11:55:00,2.397,2.397,2.397,2.397,450,0
2016-06-20,15:50:00,2.396,2.396,2.396,2.396,416,0
2016-06-21,11:50:00,2.397,2.398,2.397,2.398,1000,0
2016-06-22,09:20:00,2.349,2.35,2.349,2.35,5342,0
2016-06-22,10:20:00,2.317,2.317,2.316,2.316,2378,0
2016-06-22,17:30:00,2.316,2.316,2.316,2.316,470,0
2016-06-23,10:00:00,2.301,2.301,2.301,2.301,350,0
2016-06-23,16:45:00,2.301,2.301,2.3,2.3,726,0
2016-06-23,17:30:00,2.3,2.3,2.3,2.3,576,0
2016-06-24,09:45:00,2.222,2.222,2.222,2.222,1200,0
2016-06-24,10:40:00,2.231,2.231,2.23,2.23,3000,0
2016-06-24,11:00:00,2.23,2.23,2.23,2.23,782,0
2016-06-24,14:40:00,2.241,2.241,2.241,2.241,741,0
2016-06-24,15:25:00,2.241,2.241,2.24,2.24,2366,0
2016-06-24,17:30:00,2.24,2.24,2.24,2.24,782,0
2016-06-28,17:30:00,2.27,2.27,2.27,2.27,300,0
2016-06-30,09:15:00,2.301,2.301,2.3,2.3,250,0
2016-06-30,11:15:00,2.343,2.344,2.343,2.344,1500,0
