Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,78.8,79.2,78.8,79.08,1142,0
2017-10-25,09:10:00,79.07,79.25,79.07,79.25,254,0
2017-10-25,09:15:00,79.34,80,79.34,79.75,1004,0
2017-10-25,09:20:00,79.64,79.64,79.43,79.59,132,0
2017-10-25,09:25:00,79.44,80,79.44,80,2473,0
2017-10-25,09:30:00,80.04,80.29,79.89,80.28,1131,0
2017-10-25,09:35:00,80.2,80.29,79.8,79.8,641,0
2017-10-25,09:40:00,79.8,79.85,79.73,79.73,134,0
2017-10-25,09:45:00,79.73,79.92,79.56,79.92,675,0
2017-10-25,09:50:00,79.84,80,79.77,80,363,0
2017-10-25,09:55:00,79.91,79.91,79.66,79.66,860,0
2017-10-25,10:00:00,79.66,79.89,79.66,79.78,581,0
2017-10-25,10:05:00,79.75,79.85,79.75,79.85,81,0
2017-10-25,10:10:00,79.85,79.9,79.75,79.83,288,0
2017-10-25,10:15:00,79.78,79.89,79.67,79.85,481,0
2017-10-25,10:20:00,79.84,79.96,79.83,79.91,641,0
2017-10-25,10:25:00,79.98,80.1,79.91,79.97,877,0
2017-10-25,10:30:00,79.97,80.02,79.87,79.96,861,0
2017-10-25,10:35:00,79.97,80.06,79.93,79.95,1833,0
2017-10-25,10:40:00,80.03,80.19,80.03,80.19,668,0
2017-10-25,10:45:00,80.21,80.37,80.19,80.37,1765,0
2017-10-25,10:50:00,80.39,80.44,80.32,80.39,1364,0
2017-10-25,10:55:00,80.35,80.64,80.35,80.56,1491,0
2017-10-25,11:00:00,80.51,80.57,80.5,80.51,1772,0
2017-10-25,11:05:00,80.51,80.67,80.48,80.48,1537,0
2017-10-25,11:10:00,80.52,80.64,80.52,80.64,1419,0
2017-10-25,11:15:00,80.68,80.83,80.68,80.83,516,0
2017-10-25,11:20:00,80.89,80.91,80.89,80.91,200,0
2017-10-25,11:25:00,80.94,81.38,80.94,81.38,2687,0
2017-10-25,11:30:00,81.31,81.38,81.29,81.38,347,0
2017-10-25,11:35:00,81.3,81.33,81.14,81.14,538,0
2017-10-25,11:40:00,81.19,81.72,81.19,81.69,1220,0
2017-10-25,11:45:00,81.65,81.65,81.49,81.49,1168,0
2017-10-25,11:50:00,81.49,81.57,81.49,81.54,760,0
2017-10-25,11:55:00,81.49,81.53,81.27,81.27,825,0
2017-10-25,12:00:00,81.32,81.93,81.32,81.8,2724,0
2017-10-25,12:05:00,81.93,82.74,81.89,82.4,4116,0
2017-10-25,12:10:00,82.25,82.3,82.25,82.28,339,0
2017-10-25,12:15:00,82.13,82.13,81.6,81.6,1804,0
2017-10-25,12:20:00,81.73,81.73,81.44,81.63,729,0
2017-10-25,12:25:00,81.63,81.63,81.42,81.57,596,0
2017-10-25,12:30:00,81.52,81.52,81.46,81.46,288,0
2017-10-25,12:35:00,81.54,81.57,81.5,81.5,442,0
2017-10-25,12:40:00,81.5,81.5,81.47,81.47,12,0
2017-10-25,12:50:00,81.45,81.52,81.34,81.51,1090,0
2017-10-25,12:55:00,81.51,81.56,81.51,81.56,209,0
2017-10-25,13:00:00,81.56,81.56,81.49,81.5,626,0
2017-10-25,13:05:00,81.43,81.55,81.43,81.55,196,0
2017-10-25,13:10:00,81.55,81.55,81.23,81.23,2803,0
2017-10-25,13:15:00,81.34,81.47,81.33,81.33,656,0
2017-10-25,13:20:00,81.34,81.4,81.32,81.32,269,0
2017-10-25,13:25:00,81.37,81.37,81.26,81.26,69,0
2017-10-25,13:30:00,81.11,81.24,81.11,81.24,298,0
2017-10-25,13:40:00,81.29,81.58,81.29,81.58,496,0
2017-10-25,13:45:00,81.5,81.56,81.44,81.48,1133,0
2017-10-25,13:50:00,81.46,81.46,81.46,81.46,45,0
2017-10-25,13:55:00,81.41,81.68,81.41,81.53,2063,0
2017-10-25,14:00:00,81.49,81.62,81.49,81.5,1763,0
2017-10-25,14:05:00,81.5,81.52,81.5,81.52,404,0
2017-10-25,14:10:00,81.5,81.5,81.5,81.5,85,0
2017-10-25,14:15:00,81.56,81.56,81.49,81.5,108,0
2017-10-25,14:20:00,81.5,81.5,81.5,81.5,43,0
2017-10-25,14:25:00,81.5,81.5,81.47,81.5,382,0
2017-10-25,14:30:00,81.37,81.4,81.32,81.32,1348,0
2017-10-25,14:35:00,81.37,81.53,81.37,81.53,449,0
2017-10-25,14:40:00,81.53,81.55,81.48,81.52,723,0
2017-10-25,14:45:00,81.55,81.55,81.4,81.46,815,0
2017-10-25,14:50:00,81.29,81.32,81.09,81.32,730,0
2017-10-25,14:55:00,81.3,81.3,81.25,81.25,311,0
2017-10-25,15:00:00,81.16,81.16,80.97,80.97,503,0
2017-10-25,15:05:00,81.06,81.17,80.95,81.17,2016,0
2017-10-25,15:10:00,81.08,81.08,80.89,80.95,1094,0
2017-10-25,15:15:00,80.95,80.96,80.77,80.95,398,0
2017-10-25,15:20:00,80.86,80.95,80.84,80.95,1242,0
2017-10-25,15:25:00,80.87,80.89,80.84,80.84,250,0
2017-10-25,15:30:00,80.84,80.84,80.77,80.79,989,0
2017-10-25,15:35:00,80.71,80.9,80.65,80.8,2025,0
2017-10-25,15:40:00,80.83,80.88,80.77,80.83,1234,0
2017-10-25,15:45:00,80.83,81.07,80.83,81.07,705,0
2017-10-25,15:50:00,81.03,81.18,81.03,81.1,3053,0
2017-10-25,15:55:00,81.18,81.25,81.18,81.22,424,0
2017-10-25,16:00:00,81.29,81.29,81.22,81.22,484,0
2017-10-25,16:05:00,81.24,81.27,81.08,81.14,1684,0
2017-10-25,16:10:00,81.19,81.24,81.13,81.17,1179,0
2017-10-25,16:15:00,81.15,81.24,81.04,81.19,1042,0
2017-10-25,16:20:00,81.14,81.14,81,81,947,0
2017-10-25,16:25:00,80.94,80.94,80.81,80.94,631,0
2017-10-25,16:30:00,80.93,80.93,80.71,80.71,995,0
2017-10-25,16:35:00,80.66,80.66,80.52,80.52,423,0
2017-10-25,16:40:00,80.55,80.6,80.39,80.5,1815,0
2017-10-25,16:45:00,80.53,80.53,80.4,80.4,884,0
2017-10-25,16:50:00,80.44,80.49,80.29,80.3,1421,0
2017-10-25,16:55:00,80.2,80.2,80.1,80.1,336,0
2017-10-25,17:00:00,80.13,80.28,80.04,80.13,3140,0
2017-10-25,17:05:00,80.09,80.09,79.93,79.99,1352,0
2017-10-25,17:10:00,79.95,80.13,79.93,80.13,882,0
2017-10-25,17:15:00,80.13,80.14,80.08,80.12,785,0
2017-10-25,17:20:00,80.13,80.4,80.09,80.3,1714,0
2017-10-25,17:25:00,80.35,80.74,80.25,80.74,1271,0
2017-10-25,17:30:00,80.82,80.97,80.62,80.67,21786,0
2017-10-26,09:05:00,81.19,81.19,80.5,80.55,937,0
2017-10-26,09:10:00,80.48,80.94,80.4,80.87,587,0
2017-10-26,09:15:00,80.64,80.64,80.64,80.64,134,0
2017-10-26,09:20:00,80.7,80.7,80.5,80.65,539,0
2017-10-26,09:25:00,80.51,81.1,80.4,80.85,1874,0
2017-10-26,09:30:00,80.68,80.96,80.68,80.96,415,0
2017-10-26,09:35:00,81.09,81.4,81.09,81.14,659,0
2017-10-26,09:40:00,81.31,81.31,81.1,81.1,161,0
2017-10-26,09:45:00,81.19,81.19,80.97,81.01,978,0
2017-10-26,09:50:00,81.01,81.01,81,81,103,0
2017-10-26,09:55:00,80.87,80.87,80.84,80.85,390,0
2017-10-26,10:00:00,80.75,80.75,80.75,80.75,10,0
2017-10-26,10:10:00,80.75,80.75,80.75,80.75,50,0
2017-10-26,10:15:00,80.88,80.97,80.85,80.97,683,0
2017-10-26,10:20:00,80.91,80.91,80.91,80.91,7,0
2017-10-26,10:25:00,80.91,80.91,80.7,80.84,991,0
2017-10-26,10:30:00,80.89,81.08,80.85,80.99,3746,0
