Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-13,12:00:00,221.27,221.27,221.27,221.27,2,0
2015-04-13,12:05:00,221.27,221.27,221.27,221.27,2,0
2015-04-14,11:55:00,215.33,215.33,214.33,214.33,50,0
2015-04-15,09:55:00,219.27,219.27,219.27,219.27,50,0
2015-04-15,12:10:00,214.48,214.48,214.48,214.48,10,0
2015-04-15,15:20:00,219.27,219.27,219.27,219.27,85,0
2015-04-15,15:25:00,219.27,219.27,219.27,219.27,25,0
2015-04-16,09:30:00,216.38,216.38,216.38,216.38,55,0
2015-04-16,14:05:00,216.33,216.33,216.33,216.33,7,0
2015-04-16,15:00:00,216.33,216.33,216.33,216.33,82,0
2015-04-22,11:25:00,217.32,217.32,217.32,217.32,20,0
2015-04-22,13:25:00,219.31,219.31,219.31,219.31,45,0
2015-04-22,13:30:00,219.31,219.31,219.31,219.31,25,0
2015-04-29,13:55:00,221.31,221.31,221.31,221.31,100,0
2015-04-30,09:05:00,223.29,223.29,223.29,223.29,10,0
2015-05-06,17:30:00,216.82,234.59,214.33,234.59,1164,0
2015-05-07,10:50:00,219.32,219.32,219.32,219.32,4,0
2015-05-12,10:00:00,224.25,224.25,224.25,224.25,114,0
2015-05-12,12:50:00,224.25,224.3,224.25,224.3,451,0
2015-05-12,12:55:00,224.3,224.3,224.3,224.3,210,0
2015-05-12,17:05:00,217.32,217.32,217.32,217.32,775,0
2015-05-14,13:35:00,234.71,234.71,234.71,234.71,20,0
2015-05-18,12:05:00,217.47,217.47,217.47,217.47,24,0
2015-06-03,12:15:00,219.37,219.37,219.37,219.37,55,0
2015-06-03,12:45:00,224.3,224.3,224.3,224.3,150,0
2015-06-03,15:55:00,224.25,224.25,224.25,224.25,2,0
2015-06-03,17:20:00,215.33,215.33,215.33,215.33,208,0
2015-06-08,16:30:00,215.34,215.34,215.34,215.34,8,0
2015-06-09,12:25:00,215.34,215.34,215.34,215.34,28,0
2015-06-10,12:15:00,224,224,224,224,10,0
2015-06-15,14:30:00,215.36,215.36,215.36,215.36,10,0
2015-06-16,09:20:00,215.35,215.35,215.35,215.35,4,0
2015-06-17,16:40:00,224,224,224,224,50,0
2015-06-17,17:10:00,224,224,224,224,231,0
2015-06-18,09:40:00,224,224,224,224,20,0
2015-06-18,10:05:00,223.25,223.25,223.25,223.25,50,0
2015-06-18,11:30:00,223.25,223.25,223.25,223.25,20,0
2015-06-18,13:00:00,223.3,223.3,223.3,223.3,50,0
2015-06-18,17:30:00,223.8,223.8,223.8,223.8,449,0
2015-06-22,10:20:00,224.3,224.3,224.3,224.3,441,0
2015-06-23,14:05:00,224.28,224.28,224.28,224.28,100,0
2015-06-26,16:00:00,219.32,219.32,219.32,219.32,20,0
2015-06-30,15:10:00,215.37,215.37,215.37,215.37,38,0
2015-07-01,17:30:00,214.33,214.33,214.33,214.33,100,0
2015-07-06,17:00:00,205.16,205.16,205.16,205.16,44,0
2015-07-07,10:00:00,205.14,205.14,205.14,205.14,130,0
2015-07-07,12:05:00,214.33,214.33,214.33,214.33,304,0
2015-07-07,16:25:00,205.14,205.14,205.14,205.14,434,0
2015-07-08,14:15:00,224.2,224.2,224.2,224.2,40,0
2015-07-09,10:00:00,205.14,205.14,205.14,205.14,4,0
2015-07-09,11:10:00,224.2,224.2,224.2,224.2,15,0
2015-07-09,17:30:00,204.63,204.63,204.63,204.63,19,0
2015-07-17,09:10:00,221.26,221.26,221.26,221.26,40,0
2015-07-17,14:55:00,206.46,206.46,206.46,206.46,60,0
2015-07-20,08:20:00,214.33,222.26,214.33,222.26,45,0
2015-07-20,10:10:00,220.31,220.31,220.31,220.31,15,0
2015-07-20,11:10:00,221.26,221.26,221.26,221.26,10,0
2015-07-20,13:55:00,222.31,223.5,222.31,223.5,311,0
2015-07-20,14:10:00,221.31,221.31,221.31,221.31,612,0
2015-07-21,09:55:00,214.38,214.38,214.38,214.38,50,0
2015-07-22,16:00:00,221.31,221.31,221.31,221.31,75,0
2015-07-22,16:05:00,221.31,221.31,221.31,221.31,226,0
2015-07-23,12:25:00,219.32,219.32,219.32,219.32,46,0
2015-07-24,17:30:00,227.24,227.24,227.24,227.24,10,0
2015-07-30,16:20:00,227.19,227.19,227.19,227.19,191,0
2015-07-31,11:05:00,219.32,219.32,219.32,219.32,54,0
2015-08-04,15:10:00,219.42,219.42,219.42,219.42,28,0
2015-08-04,19:55:00,226.29,226.29,226.29,226.29,46,0
2015-08-10,12:30:00,219.37,219.37,219.37,219.37,8,0
2015-08-13,17:05:00,222.31,222.31,222.31,222.31,60,0
2015-08-14,12:40:00,219.4,219.4,219.4,219.4,10,0
2015-08-18,11:45:00,219.37,219.37,219.37,219.37,30,0
2015-08-18,12:35:00,219.32,219.32,219.32,219.32,20,0
2015-08-18,15:55:00,219.35,219.35,219.35,219.35,68,0
2015-08-19,10:05:00,219.32,219.32,219.32,219.32,18,0
2015-08-19,16:30:00,219.32,219.32,213.44,213.44,62,0
2015-08-20,09:40:00,219.32,219.32,219.32,219.32,10,0
2015-08-20,10:40:00,219.32,219.32,219.32,219.32,50,0
2015-09-01,11:55:00,214.33,214.33,214.33,214.33,140,0
2015-09-15,16:50:00,211.34,211.34,211.34,211.34,2,0
2015-09-16,12:30:00,226.2,226.2,226.2,226.2,18,0
2015-09-17,15:20:00,226.29,226.29,226.29,226.29,10,0
2015-09-21,16:00:00,226.29,226.29,226.29,226.29,26,0
2015-09-22,11:50:00,224.3,224.3,224.3,224.3,44,0
2015-09-22,17:30:00,215.83,215.83,215.83,215.83,144,0
2015-09-23,09:50:00,211.44,211.44,211.44,211.44,100,0
2015-09-24,12:05:00,211.54,211.54,211.54,211.54,100,0
2015-09-25,14:20:00,213.39,213.39,213.39,213.39,40,0
2015-09-29,13:40:00,223.06,223.06,223.06,223.06,10,0
2015-09-29,16:55:00,213.34,213.34,213.34,213.34,10,0
2015-10-01,09:50:00,215.83,215.83,215.83,215.83,111,0
2015-10-01,11:25:00,213.39,213.39,213.39,213.39,45,0
2015-10-01,12:25:00,214.11,214.11,214.11,214.11,40,0
2015-10-01,15:55:00,213.34,213.34,213.34,213.34,50,0
2015-10-01,16:15:00,211.34,211.34,211.34,211.34,50,0
2015-10-01,16:35:00,211.34,211.34,211.34,211.34,728,0
2015-10-02,10:35:00,209.35,209.35,209.35,209.35,1,0
2015-10-02,12:15:00,209.35,209.35,209.35,209.35,29,0
2015-10-06,10:20:00,221.51,221.51,221.51,221.51,7,0
2015-10-06,15:25:00,214.38,214.38,214.38,214.38,19,0
2015-10-07,09:00:00,211.34,211.34,211.34,211.34,15,0
2015-10-07,09:45:00,223.25,223.25,223.25,223.25,251,0
2015-10-07,10:40:00,223.25,223.25,223.25,223.25,75,0
2015-10-07,12:30:00,223.29,223.29,223.29,223.29,201,0
2015-10-07,12:50:00,223.29,223.29,223.29,223.29,100,0
2015-10-07,16:55:00,223.3,223.3,223.3,223.3,310,0
2015-10-07,17:10:00,223.3,223.3,223.3,223.3,1247,0
2015-10-08,12:30:00,238.29,238.29,238.29,238.29,8,0
2015-10-08,12:55:00,238.29,238.29,238.29,238.29,92,0
2015-10-12,08:10:00,236.06,236.06,236.06,236.06,50,0
2015-10-12,08:35:00,226.15,226.15,226.15,226.15,10,0
2015-10-12,14:10:00,236.11,236.11,236.11,236.11,160,0
2015-10-13,09:20:00,230.28,230.28,230.28,230.28,100,0
2015-10-13,09:30:00,230.28,230.28,230.28,230.28,20,0
2015-10-13,10:20:00,234.27,234.72,234.27,234.72,19,0
2015-10-13,10:35:00,235.77,235.77,235.77,235.77,20,0
2015-10-13,11:50:00,235.77,235.77,235.77,235.77,25,0
2015-10-13,12:25:00,234.72,234.72,234.72,234.72,36,0
2015-10-13,13:00:00,230.28,230.28,230.28,230.28,251,0
2015-10-15,09:45:00,234.27,236.66,234.27,236.66,34,0
2015-10-15,09:50:00,236.66,236.66,230.33,230.33,255,0
2015-10-16,10:15:00,230.32,230.32,230.32,230.32,14,0
2015-10-19,19:35:00,230.28,230.28,230.28,230.28,40,0
2015-10-26,09:30:00,230.28,230.28,230.28,230.28,17,0
2015-10-26,11:20:00,212.91,212.91,212.91,212.91,0,0
2015-10-28,13:35:00,233.17,233.17,233.17,233.17,33,0
2015-10-28,18:30:00,232.18,232.18,232.18,232.18,120,0
2015-11-02,09:55:00,214.11,214.11,214.11,214.11,5,0
2015-11-03,14:15:00,214.83,214.83,209.35,209.35,120,0
2015-11-04,08:35:00,229.09,229.09,229.09,229.09,10,0
2015-11-04,16:05:00,210.62,210.62,210.62,210.62,0,0
2015-11-18,09:55:00,229.19,229.19,229.19,229.19,4,0
2015-11-18,14:55:00,211.34,211.34,211.34,211.34,50,0
2015-11-19,16:05:00,219.32,229.14,219.32,229.14,8,0
2015-11-20,16:25:00,227.19,227.19,227.19,227.19,25,0
2015-11-24,12:10:00,211.01,211.01,211.01,211.01,1,0
2015-12-03,08:10:00,209.95,209.95,209.95,209.95,40,0
2015-12-07,12:20:00,209.9,209.9,209.9,209.9,100,0
2015-12-10,19:25:00,209.83,209.83,205.36,205.36,89,0
2015-12-14,09:50:00,208.35,208.35,208.35,208.35,10,0
2015-12-15,13:35:00,209.36,209.36,209.36,209.36,15,0
2015-12-17,16:50:00,214.33,214.33,214.33,214.33,40,0
2015-12-21,15:30:00,214.33,214.33,214.33,214.33,20,0
2015-12-28,14:50:00,220.88,220.88,220.88,220.88,20,0
2016-01-05,10:30:00,218.32,218.32,214.43,214.43,15,0
2016-01-06,13:30:00,217.32,217.32,214.43,214.43,15,0
2016-01-12,12:05:00,219.32,219.32,219.32,219.32,2,0
2016-01-13,09:35:00,219.32,219.32,219.32,219.32,10,0
2016-01-15,09:10:00,224.3,224.3,224.3,224.3,53,0
2016-01-18,10:35:00,214.44,214.44,214.44,214.44,11,0
2016-01-18,13:25:00,214.43,215.33,214.33,215.33,166,0
2016-01-19,11:35:00,215.33,215.33,215.33,215.33,10,0
2016-01-21,11:00:00,215.33,215.33,215.33,215.33,20,0
2016-01-26,09:25:00,215.33,215.33,215.33,215.33,4,0
2016-01-26,19:50:00,215.33,215.33,215.33,215.33,15,0
2016-01-29,10:50:00,215.33,215.33,214.33,214.33,145,0
2016-01-29,11:00:00,215.33,215.33,215.33,215.33,100,0
2016-01-29,14:40:00,215.33,215.33,214.33,214.33,421,0
2016-01-29,14:50:00,214.33,214.33,214.33,214.33,186,0
2016-01-29,15:00:00,214.33,214.33,214.33,214.33,301,0
2016-01-29,15:25:00,214.33,214.33,214.33,214.33,625,0
2016-01-29,15:30:00,215.33,215.33,215.33,215.33,113,0
2016-01-29,15:45:00,213.35,213.35,213.35,213.35,9,0
2016-02-01,11:35:00,213.35,213.35,213.35,213.35,5,0
2016-02-11,10:45:00,213.34,213.34,213.34,213.34,39,0
2016-02-11,12:35:00,213.34,213.34,213.34,213.34,2,0
2016-02-12,09:10:00,213.34,213.34,213.34,213.34,25,0
2016-02-12,10:30:00,213.34,213.34,213.34,213.34,25,0
2016-02-19,11:45:00,211.34,211.34,211.34,211.34,186,0
