Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,78.25,78.25,78.25,78.25,233,0
2017-10-23,09:10:00,78.2,78.2,77.73,77.73,79,0
2017-10-23,09:15:00,77.59,77.59,77.59,77.59,34,0
2017-10-23,09:20:00,77.6,77.6,77.15,77.24,732,0
2017-10-23,09:25:00,77.35,77.7,77.35,77.55,386,0
2017-10-23,09:45:00,77.5,77.58,77.24,77.25,526,0
2017-10-23,09:50:00,77.26,77.26,77.04,77.04,133,0
2017-10-23,09:55:00,77.01,77.01,76.68,76.68,2115,0
2017-10-23,10:00:00,76.68,76.84,76.58,76.65,891,0
2017-10-23,10:05:00,76.75,76.87,76.75,76.87,163,0
2017-10-23,10:10:00,76.9,76.99,76.87,76.99,39,0
2017-10-23,10:15:00,76.98,76.98,76.91,76.98,208,0
2017-10-23,10:20:00,76.99,77.03,76.95,77.02,288,0
2017-10-23,10:25:00,76.98,77.02,76.86,76.86,230,0
2017-10-23,10:30:00,76.92,76.99,76.88,76.88,387,0
2017-10-23,10:40:00,76.94,76.94,76.67,76.94,607,0
2017-10-23,10:45:00,77,77.01,76.98,77.01,210,0
2017-10-23,10:50:00,76.98,76.98,76.72,76.74,575,0
2017-10-23,10:55:00,76.73,76.73,76.41,76.59,1015,0
2017-10-23,11:00:00,76.65,76.65,76.58,76.6,177,0
2017-10-23,11:10:00,76.49,76.56,76.44,76.45,147,0
2017-10-23,11:15:00,76.53,76.61,76.41,76.41,474,0
2017-10-23,11:20:00,76.41,76.41,76.25,76.25,1838,0
2017-10-23,11:25:00,76.36,76.4,76.11,76.4,1359,0
2017-10-23,11:30:00,76.34,76.34,76.33,76.33,149,0
2017-10-23,11:35:00,76.33,76.36,76.25,76.26,248,0
2017-10-23,11:40:00,76.25,76.25,76.12,76.24,278,0
2017-10-23,11:45:00,76.18,76.28,76.11,76.27,425,0
2017-10-23,11:50:00,76.29,76.34,76.2,76.28,187,0
2017-10-23,11:55:00,76.21,76.27,76.19,76.22,311,0
2017-10-23,12:00:00,76.24,76.25,76.2,76.2,136,0
2017-10-23,12:05:00,76.19,76.19,76.11,76.11,277,0
2017-10-23,12:10:00,76.11,76.25,75.86,76.03,800,0
2017-10-23,12:15:00,76.01,76.01,76.01,76.01,76,0
2017-10-23,12:20:00,75.99,75.99,75.87,75.87,183,0
2017-10-23,12:25:00,75.76,75.88,75.76,75.88,153,0
2017-10-23,12:30:00,75.84,75.84,75.8,75.81,300,0
2017-10-23,12:35:00,75.8,75.8,75.76,75.76,133,0
2017-10-23,12:40:00,75.76,75.8,75.76,75.8,90,0
2017-10-23,12:45:00,75.75,75.75,75.71,75.71,106,0
2017-10-23,12:50:00,75.69,75.95,75.69,75.87,533,0
2017-10-23,13:05:00,75.92,76.02,75.89,76.02,249,0
2017-10-23,13:10:00,76.16,76.16,75.88,75.98,415,0
2017-10-23,13:15:00,75.98,76.11,75.92,75.92,507,0
2017-10-23,13:25:00,75.99,76.04,75.96,75.97,128,0
2017-10-23,13:30:00,75.99,76,75.99,75.99,92,0
2017-10-23,13:35:00,75.98,76,75.96,75.98,420,0
2017-10-23,13:40:00,75.94,75.98,75.9,75.98,378,0
2017-10-23,13:45:00,75.91,75.91,75.91,75.91,96,0
2017-10-23,13:50:00,75.98,76.05,75.85,75.91,503,0
2017-10-23,13:55:00,75.97,75.99,75.97,75.99,177,0
2017-10-23,14:00:00,75.91,75.98,75.91,75.97,35,0
2017-10-23,14:05:00,75.9,75.97,75.9,75.96,265,0
2017-10-23,14:10:00,75.97,76,75.92,75.93,256,0
2017-10-23,14:20:00,75.97,75.97,75.97,75.97,56,0
2017-10-23,14:25:00,75.98,76.03,75.98,75.99,111,0
2017-10-23,14:30:00,76.03,76.05,76.03,76.05,39,0
2017-10-23,14:35:00,76.09,76.21,76.09,76.21,175,0
2017-10-23,14:40:00,76.19,76.25,76.17,76.25,682,0
2017-10-23,14:45:00,76.22,76.22,76.22,76.22,56,0
2017-10-23,14:55:00,76.24,76.25,76.24,76.24,430,0
2017-10-23,15:00:00,76.22,76.22,76.22,76.22,44,0
2017-10-23,15:05:00,76.24,76.24,76.2,76.2,74,0
2017-10-23,15:10:00,76.2,76.21,76.19,76.21,88,0
2017-10-23,15:15:00,76.2,76.2,76.16,76.16,57,0
2017-10-23,15:20:00,76.08,76.08,75.93,75.93,407,0
2017-10-23,15:25:00,75.95,75.95,75.95,75.95,82,0
2017-10-23,15:30:00,75.96,75.97,75.96,75.97,159,0
2017-10-23,15:35:00,75.95,75.95,75.84,75.9,424,0
2017-10-23,15:40:00,76.04,76.1,75.98,76.1,254,0
2017-10-23,15:45:00,76.06,76.06,75.91,75.91,240,0
2017-10-23,15:50:00,75.94,75.99,75.88,75.93,440,0
2017-10-23,15:55:00,75.91,75.95,75.91,75.92,217,0
2017-10-23,16:00:00,75.94,76.18,75.94,76.09,265,0
2017-10-23,16:05:00,76.08,76.14,76.02,76.06,354,0
2017-10-23,16:10:00,76.12,76.15,76.12,76.15,70,0
2017-10-23,16:15:00,76.12,76.19,76.11,76.12,194,0
2017-10-23,16:20:00,76.21,76.27,76.18,76.25,296,0
2017-10-23,16:25:00,76.26,76.27,76.2,76.25,537,0
2017-10-23,16:30:00,76.26,76.26,76.26,76.26,13,0
2017-10-23,16:35:00,76.26,76.26,76.23,76.23,88,0
2017-10-23,16:40:00,76.28,76.29,76.24,76.24,819,0
2017-10-23,16:45:00,76.22,76.28,76.22,76.24,314,0
2017-10-23,16:50:00,76.18,76.19,75.99,76.06,1885,0
2017-10-23,16:55:00,76.1,76.1,76.07,76.07,117,0
2017-10-23,17:00:00,76.15,76.15,76.15,76.15,68,0
2017-10-23,17:05:00,76.2,76.25,76.16,76.24,645,0
2017-10-23,17:10:00,76.23,76.23,76.23,76.23,14,0
2017-10-23,17:15:00,76.21,76.21,76.13,76.13,219,0
2017-10-23,17:20:00,76.06,76.11,76.06,76.06,335,0
2017-10-23,17:25:00,76.08,76.35,76.06,76.28,393,0
2017-10-23,17:30:00,76.28,76.32,76.1,76.1,8052,0
2017-10-24,09:05:00,76.05,76.4,75.95,76.4,415,0
2017-10-24,09:10:00,76.41,76.67,76.3,76.3,453,0
2017-10-24,09:15:00,76.48,76.59,76.28,76.46,415,0
2017-10-24,09:20:00,76.34,76.46,76.22,76.38,249,0
2017-10-24,09:25:00,76.51,76.65,76.4,76.65,562,0
2017-10-24,09:30:00,76.59,76.59,76.44,76.44,313,0
2017-10-24,09:35:00,76.36,76.4,76.36,76.4,80,0
2017-10-24,09:40:00,76.32,76.44,76.27,76.44,369,0
2017-10-24,09:45:00,76.38,76.38,76.38,76.38,65,0
2017-10-24,09:50:00,76.33,76.33,76.06,76.26,282,0
2017-10-24,09:55:00,76.24,76.24,76.06,76.1,559,0
2017-10-24,10:00:00,76.06,76.06,76.06,76.06,135,0
2017-10-24,10:05:00,75.93,75.94,75.86,75.86,279,0
2017-10-24,10:10:00,75.94,75.94,75.94,75.94,11,0
2017-10-24,10:15:00,75.88,76.11,75.88,76.04,187,0
2017-10-24,10:20:00,76.1,76.19,76.02,76.02,163,0
2017-10-24,10:25:00,76.06,76.06,75.95,75.95,397,0
2017-10-24,10:30:00,75.88,75.97,75.88,75.97,112,0
2017-10-24,10:45:00,75.9,75.9,75.89,75.89,97,0
2017-10-24,11:00:00,75.97,75.99,75.97,75.99,10,0
2017-10-24,11:05:00,75.9,75.9,75.84,75.84,85,0
2017-10-24,11:15:00,75.86,75.87,75.86,75.87,120,0
2017-10-24,11:20:00,75.84,75.84,75.68,75.68,419,0
2017-10-24,11:35:00,75.81,75.81,75.76,75.76,113,0
2017-10-24,11:40:00,75.85,75.85,75.77,75.77,15,0
2017-10-24,11:45:00,75.85,75.85,75.74,75.84,116,0
2017-10-24,11:50:00,75.86,75.86,75.77,75.77,222,0
2017-10-24,11:55:00,75.84,75.87,75.8,75.8,79,0
2017-10-24,12:00:00,75.72,75.84,75.72,75.73,187,0
2017-10-24,12:05:00,75.72,75.72,75.67,75.67,83,0
2017-10-24,12:15:00,75.73,75.73,75.37,75.37,530,0
2017-10-24,12:20:00,75.36,75.46,75.34,75.38,175,0
2017-10-24,12:25:00,75.45,75.45,75.22,75.23,293,0
2017-10-24,12:30:00,75.33,75.33,75.21,75.21,291,0
2017-10-24,12:35:00,75.21,75.22,75.08,75.08,562,0
2017-10-24,12:40:00,75.11,75.31,75.11,75.12,601,0
2017-10-24,12:50:00,75.25,75.31,75.16,75.31,180,0
2017-10-24,12:55:00,75.25,75.25,75.25,75.25,95,0
2017-10-24,13:00:00,75.32,75.43,75.26,75.39,80,0
2017-10-24,13:05:00,75.31,75.31,75.23,75.28,141,0
2017-10-24,13:10:00,75.04,75.25,75.04,75.24,289,0
2017-10-24,13:15:00,75.24,75.25,75.16,75.18,184,0
2017-10-24,13:25:00,75.27,75.28,75.21,75.21,114,0
2017-10-24,13:35:00,75.31,75.32,75.25,75.25,38,0
2017-10-24,13:45:00,75.3,75.41,75.25,75.41,106,0
2017-10-24,13:50:00,75.37,75.37,75.29,75.31,233,0
2017-10-24,13:55:00,75.31,75.31,75.18,75.18,336,0
2017-10-24,14:00:00,75.33,75.33,75.33,75.33,5,0
2017-10-24,14:05:00,75.26,75.26,75.26,75.26,14,0
2017-10-24,14:10:00,75.34,75.34,75.32,75.32,65,0
2017-10-24,14:15:00,75.32,75.32,75.15,75.15,110,0
2017-10-24,14:20:00,75.21,75.21,74.99,74.99,4182,0
2017-10-24,14:25:00,75,75.08,75,75.08,109,0
2017-10-24,14:30:00,75.08,75.08,74.98,74.99,145,0
2017-10-24,14:35:00,75.09,75.13,75,75,404,0
2017-10-24,14:40:00,75.07,75.09,74.89,74.93,450,0
2017-10-24,14:45:00,74.93,75.01,74.9,74.9,58,0
2017-10-24,14:50:00,74.97,75.03,74.9,75.01,386,0
2017-10-24,14:55:00,74.97,74.97,74.96,74.97,94,0
2017-10-24,15:05:00,75.08,75.49,75.02,75.35,3376,0
2017-10-24,15:10:00,75.34,75.36,74.95,74.95,1167,0
2017-10-24,15:15:00,75.07,75.07,75.07,75.07,4,0
2017-10-24,15:20:00,74.96,75.1,74.96,75.08,287,0
2017-10-24,15:25:00,75,75.13,74.89,74.89,487,0
2017-10-24,15:30:00,74.85,75,74.85,74.89,358,0
2017-10-24,15:35:00,75.06,75.06,74.93,74.93,22,0
2017-10-24,15:45:00,75.06,75.13,75,75,493,0
2017-10-24,15:50:00,75.01,75.16,75.01,75.11,557,0
2017-10-24,15:55:00,75.07,75.14,75,75.14,136,0
2017-10-24,16:00:00,75.06,75.14,75.02,75.08,114,0
2017-10-24,16:05:00,75,75.14,75,75.14,287,0
2017-10-24,16:10:00,75.17,75.18,75.01,75.01,233,0
2017-10-24,16:15:00,75.1,75.1,75.05,75.09,70,0
2017-10-24,16:20:00,75.09,75.1,75.02,75.1,106,0
2017-10-24,16:25:00,75.1,75.1,75.09,75.1,81,0
2017-10-24,16:35:00,75,75,75,75,48,0
2017-10-24,16:40:00,74.98,75.04,74.98,75.04,61,0
2017-10-24,16:45:00,74.98,75.05,74.98,75.05,76,0
2017-10-24,16:50:00,75.01,75.01,75,75,57,0
2017-10-24,16:55:00,74.97,75.04,74.9,75.04,192,0
2017-10-24,17:00:00,75.01,75.01,75.01,75.01,9,0
2017-10-24,17:05:00,75.02,75.04,75.02,75.04,206,0
2017-10-24,17:10:00,75.04,75.12,75.04,75.12,357,0
2017-10-24,17:15:00,75.14,75.14,75.14,75.14,13,0
2017-10-24,17:20:00,75.04,75.05,75.03,75.03,202,0
2017-10-24,17:25:00,75.04,75.1,75,75,2050,0
2017-10-24,17:30:00,75,75.08,75,75.03,4480,0
2017-10-25,09:05:00,74.68,75.33,74.68,75.22,537,0
2017-10-25,09:10:00,75.22,75.26,75.22,75.26,171,0
2017-10-25,09:20:00,75.24,75.32,75.15,75.32,285,0
2017-10-25,09:30:00,75.65,75.67,75.65,75.67,134,0
2017-10-25,09:35:00,75.8,75.8,75.8,75.8,22,0
2017-10-25,09:40:00,75.8,75.99,75.8,75.91,561,0
2017-10-25,09:55:00,76.01,76.01,75.92,75.92,13,0
2017-10-25,10:05:00,76,76.14,76,76.14,188,0
2017-10-25,10:10:00,76.2,76.31,76.2,76.31,61,0
2017-10-25,10:30:00,76.17,76.17,76.17,76.17,189,0
2017-10-25,10:45:00,76.04,76.04,75.95,75.95,143,0
