Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,65.6,65.6,65.36,65.4,955,0
2017-10-26,09:10:00,65.5,65.6,65.5,65.56,1923,0
2017-10-26,09:15:00,65.56,65.56,65.46,65.5,2445,0
2017-10-26,09:20:00,65.51,65.52,65.45,65.45,1034,0
2017-10-26,09:25:00,65.48,65.54,65.48,65.5,579,0
2017-10-26,09:30:00,65.51,65.61,65.51,65.61,1357,0
2017-10-26,09:35:00,65.62,65.65,65.54,65.57,2179,0
2017-10-26,09:40:00,65.59,65.65,65.54,65.65,1775,0
2017-10-26,09:45:00,65.62,65.65,65.44,65.49,6875,0
2017-10-26,09:50:00,65.5,65.56,65.5,65.53,1158,0
2017-10-26,09:55:00,65.52,65.52,65.49,65.52,456,0
2017-10-26,10:00:00,65.51,65.59,65.51,65.58,1562,0
2017-10-26,10:05:00,65.59,65.61,65.59,65.61,761,0
2017-10-26,10:10:00,65.64,65.65,65.63,65.65,1184,0
2017-10-26,10:15:00,65.66,65.74,65.66,65.66,953,0
2017-10-26,10:20:00,65.68,65.72,65.68,65.7,1155,0
2017-10-26,10:25:00,65.7,65.73,65.7,65.73,645,0
2017-10-26,10:30:00,65.73,65.76,65.72,65.74,1166,0
2017-10-26,10:35:00,65.75,65.78,65.73,65.73,466,0
2017-10-26,10:40:00,65.74,65.74,65.66,65.68,757,0
2017-10-26,10:45:00,65.67,65.67,65.62,65.64,2908,0
2017-10-26,10:50:00,65.63,65.64,65.62,65.63,782,0
2017-10-26,10:55:00,65.65,65.68,65.65,65.68,617,0
2017-10-26,11:00:00,65.71,65.72,65.7,65.72,301,0
2017-10-26,11:05:00,65.7,65.72,65.69,65.72,1505,0
2017-10-26,11:10:00,65.72,65.72,65.72,65.72,76,0
2017-10-26,11:15:00,65.73,65.76,65.72,65.75,528,0
2017-10-26,11:20:00,65.77,65.78,65.72,65.72,862,0
2017-10-26,11:25:00,65.72,65.74,65.7,65.72,1019,0
2017-10-26,11:30:00,65.72,65.72,65.7,65.72,572,0
2017-10-26,11:35:00,65.71,65.71,65.67,65.68,294,0
2017-10-26,11:40:00,65.68,65.69,65.66,65.67,467,0
2017-10-26,11:45:00,65.66,65.68,65.65,65.67,1044,0
2017-10-26,11:50:00,65.67,65.68,65.67,65.68,277,0
2017-10-26,11:55:00,65.68,65.69,65.67,65.69,1339,0
2017-10-26,12:00:00,65.67,65.71,65.67,65.71,1649,0
2017-10-26,12:05:00,65.68,65.7,65.68,65.7,345,0
2017-10-26,12:10:00,65.68,65.7,65.66,65.69,1934,0
2017-10-26,12:15:00,65.7,65.7,65.63,65.64,976,0
2017-10-26,12:20:00,65.62,65.62,65.6,65.6,568,0
2017-10-26,12:25:00,65.6,65.67,65.59,65.65,1000,0
2017-10-26,12:30:00,65.64,65.66,65.64,65.66,308,0
2017-10-26,12:35:00,65.68,65.7,65.67,65.69,542,0
2017-10-26,12:40:00,65.68,65.7,65.65,65.67,494,0
2017-10-26,12:45:00,65.65,65.71,65.65,65.71,733,0
2017-10-26,12:50:00,65.69,65.7,65.67,65.69,1215,0
2017-10-26,12:55:00,65.7,65.71,65.7,65.7,431,0
2017-10-26,13:00:00,65.7,65.71,65.65,65.65,773,0
2017-10-26,13:05:00,65.65,65.66,65.62,65.64,855,0
2017-10-26,13:10:00,65.68,65.68,65.62,65.64,723,0
2017-10-26,13:15:00,65.63,65.63,65.63,65.63,53,0
2017-10-26,13:20:00,65.64,65.66,65.63,65.66,906,0
2017-10-26,13:25:00,65.65,65.67,65.64,65.65,454,0
2017-10-26,13:30:00,65.64,65.65,65.63,65.63,448,0
2017-10-26,13:35:00,65.6,65.6,65.57,65.59,482,0
2017-10-26,13:40:00,65.59,65.59,65.56,65.56,411,0
2017-10-26,13:45:00,65.55,65.6,65.47,65.52,1647,0
2017-10-26,13:50:00,65.57,65.7,65.57,65.7,6656,0
2017-10-26,13:55:00,65.7,65.7,65.64,65.68,465,0
2017-10-26,14:00:00,65.67,65.67,65.63,65.63,622,0
2017-10-26,14:05:00,65.65,65.7,65.62,65.66,2581,0
2017-10-26,14:10:00,65.65,65.72,65.65,65.71,1594,0
2017-10-26,14:15:00,65.71,65.74,65.68,65.72,1421,0
2017-10-26,14:20:00,65.74,65.75,65.69,65.71,420,0
2017-10-26,14:25:00,65.69,65.72,65.69,65.72,511,0
2017-10-26,14:30:00,65.7,65.7,65.55,65.61,2343,0
2017-10-26,14:35:00,65.64,65.66,65.47,65.59,6746,0
