Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,42.005,42.24,42.005,42.24,865,0
2017-10-26,09:10:00,42.205,42.41,42.185,42.41,1277,0
2017-10-26,09:15:00,42.415,42.415,42.285,42.29,1007,0
2017-10-26,09:20:00,42.355,42.355,42.345,42.345,532,0
2017-10-26,09:25:00,42.325,42.325,42.28,42.28,137,0
2017-10-26,09:35:00,42.445,42.54,42.445,42.53,898,0
2017-10-26,09:40:00,42.465,42.47,42.42,42.42,1067,0
2017-10-26,09:50:00,42.42,42.505,42.37,42.505,4306,0
2017-10-26,09:55:00,42.44,42.52,42.41,42.52,857,0
2017-10-26,10:05:00,42.555,42.64,42.555,42.61,798,0
2017-10-26,10:15:00,42.61,42.64,42.61,42.61,821,0
2017-10-26,10:20:00,42.565,42.61,42.565,42.565,860,0
2017-10-26,10:25:00,42.59,42.71,42.56,42.695,4299,0
2017-10-26,10:30:00,42.675,42.715,42.675,42.695,331,0
2017-10-26,10:35:00,42.68,42.7,42.65,42.665,1908,0
2017-10-26,10:40:00,42.695,42.695,42.64,42.64,557,0
2017-10-26,10:45:00,42.6,42.6,42.53,42.58,506,0
2017-10-26,10:50:00,42.62,42.645,42.6,42.615,397,0
2017-10-26,10:55:00,42.65,42.655,42.645,42.645,263,0
2017-10-26,11:00:00,42.58,42.58,42.58,42.58,1,0
2017-10-26,11:05:00,42.585,42.585,42.27,42.27,1992,0
2017-10-26,11:10:00,42.27,42.38,42.27,42.37,1127,0
2017-10-26,11:15:00,42.34,42.37,42.295,42.37,1066,0
2017-10-26,11:20:00,42.38,42.38,42.305,42.305,843,0
2017-10-26,11:25:00,42.335,42.355,42.275,42.275,797,0
2017-10-26,11:30:00,42.25,42.28,42.25,42.255,199,0
2017-10-26,11:35:00,42.295,42.325,42.28,42.325,1127,0
2017-10-26,11:40:00,42.32,42.32,42.31,42.31,260,0
2017-10-26,11:45:00,42.315,42.38,42.29,42.29,1156,0
2017-10-26,11:50:00,42.325,42.475,42.325,42.475,1436,0
2017-10-26,11:55:00,42.5,42.5,42.39,42.39,322,0
2017-10-26,12:00:00,42.36,42.37,42.315,42.32,1751,0
2017-10-26,12:05:00,42.335,42.335,42.295,42.295,1373,0
