Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-31,09:10:00,9.619,9.619,9.619,9.619,154,0
2017-05-31,09:50:00,9.617,9.617,9.617,9.617,1200,0
2017-05-31,10:20:00,9.584,9.584,9.584,9.584,1200,0
2017-05-31,13:15:00,9.725,9.725,9.725,9.725,770,0
2017-05-31,14:30:00,9.63,9.63,9.63,9.63,10,0
2017-05-31,14:40:00,9.63,9.63,9.63,9.63,70,0
2017-05-31,15:30:00,9.715,9.715,9.715,9.715,500,0
2017-05-31,17:10:00,9.705,9.705,9.705,9.705,10,0
2017-05-31,17:20:00,9.727,9.727,9.727,9.727,10,0
2017-06-01,09:25:00,9.6,9.6,9.6,9.6,1000,0
2017-06-01,12:10:00,9.725,9.725,9.725,9.725,100,0
2017-06-02,10:15:00,9.725,9.752,9.725,9.752,7500,0
2017-06-02,10:20:00,9.752,9.752,9.752,9.752,1600,0
2017-06-02,10:40:00,9.752,9.752,9.752,9.752,900,0
2017-06-02,10:55:00,9.705,9.705,9.705,9.705,2000,0
2017-06-02,11:10:00,9.71,9.71,9.71,9.71,1000,0
2017-06-02,11:45:00,9.71,9.71,9.71,9.71,2000,0
2017-06-02,16:35:00,9.711,9.711,9.711,9.711,1050,0
2017-06-02,17:10:00,9.782,9.782,9.782,9.782,13,0
2017-06-06,09:05:00,9.663,9.663,9.663,9.663,400,0
2017-06-06,11:20:00,9.75,9.79,9.75,9.79,1178,0
2017-06-06,11:25:00,9.75,9.75,9.75,9.75,500,0
2017-06-06,11:45:00,9.785,9.785,9.785,9.785,300,0
2017-06-07,13:20:00,9.75,9.75,9.75,9.75,105,0
2017-06-07,16:25:00,9.749,9.75,9.749,9.75,127,0
2017-06-08,09:30:00,9.79,9.8,9.79,9.8,4000,0
2017-06-08,09:50:00,9.8,9.8,9.8,9.8,220,0
2017-06-08,10:30:00,9.781,9.8,9.781,9.8,341,0
2017-06-08,10:40:00,9.8,9.8,9.8,9.8,515,0
2017-06-08,11:25:00,9.781,9.781,9.781,9.781,31,0
2017-06-08,11:55:00,9.8,9.84,9.8,9.84,3530,0
2017-06-08,12:25:00,9.841,9.841,9.84,9.84,500,0
2017-06-08,15:55:00,9.899,9.9,9.899,9.9,7594,0
2017-06-08,16:10:00,9.9,9.9,9.9,9.9,2997,0
2017-06-08,16:30:00,9.946,10.02,9.946,10.02,4798,0
2017-06-08,17:30:00,10.17,10.18,10.17,10.18,693,0
2017-06-09,14:15:00,10.065,10.17,10.065,10.17,163,0
2017-06-09,14:35:00,10.065,10.065,10.065,10.065,900,0
2017-06-09,15:45:00,10.17,10.17,10.17,10.17,500,0
2017-06-09,17:30:00,10.17,10.17,10.17,10.17,50,0
2017-06-12,09:05:00,10.05,10.05,10.05,10.05,199,0
2017-06-12,10:35:00,10.2,10.2,10.2,10.2,668,0
2017-06-12,15:40:00,10.005,10.005,10.005,10.005,250,0
2017-06-12,15:55:00,9.92,9.92,9.9,9.9,3130,0
2017-06-12,16:00:00,9.952,9.952,9.952,9.952,10,0
2017-06-12,16:15:00,9.952,9.952,9.952,9.952,100,0
2017-06-12,16:40:00,10.015,10.03,10.015,10.03,4410,0
2017-06-13,09:15:00,10.16,10.16,10.16,10.16,729,0
2017-06-13,10:50:00,10.15,10.15,10.15,10.15,220,0
2017-06-13,12:25:00,10.15,10.15,10.15,10.15,200,0
2017-06-13,13:35:00,10.15,10.15,10.15,10.15,506,0
2017-06-13,16:40:00,10.15,10.17,10.15,10.17,1000,0
2017-06-13,17:30:00,10.17,10.17,10.17,10.17,425,0
2017-06-14,09:05:00,10.18,10.18,10.18,10.18,400,0
2017-06-14,09:10:00,10.18,10.19,10.18,10.19,400,0
2017-06-14,11:55:00,10.245,10.245,10.245,10.245,50,0
2017-06-14,12:15:00,10.19,10.19,10.19,10.19,289,0
2017-06-14,13:00:00,10.22,10.25,10.22,10.25,1104,0
2017-06-14,17:25:00,10.25,10.5,10.25,10.5,15781,0
2017-06-14,17:30:00,10.81,10.81,10.81,10.81,2300,0
2017-06-15,09:25:00,10.85,10.85,10.85,10.85,239,0
2017-06-15,10:35:00,10.845,10.85,10.845,10.85,1441,0
2017-06-15,10:45:00,10.95,10.95,10.95,10.95,2000,0
2017-06-15,11:40:00,11.21,11.21,11.21,11.21,35,0
2017-06-15,11:50:00,11.2,11.2,11.12,11.12,300,0
2017-06-15,11:55:00,11.3,11.3,11.3,11.3,533,0
2017-06-15,12:15:00,11.5,11.5,11.5,11.5,1467,0
2017-06-15,12:20:00,11.4,11.4,11.4,11.4,2864,0
2017-06-15,12:45:00,11.4,11.4,11.4,11.4,500,0
2017-06-15,12:50:00,11.4,11.4,11.4,11.4,636,0
2017-06-15,13:10:00,11.55,11.55,11.55,11.55,250,0
2017-06-15,13:20:00,11.55,11.55,11.55,11.55,960,0
2017-06-15,13:45:00,11.54,11.55,11.54,11.55,1055,0
2017-06-15,13:55:00,11.465,11.465,11.465,11.465,865,0
2017-06-15,14:20:00,11.455,11.455,11.455,11.455,500,0
2017-06-15,14:50:00,11.435,11.435,11.36,11.36,1850,0
2017-06-15,17:15:00,11.485,11.525,11.485,11.525,238,0
2017-06-15,17:25:00,11.55,11.55,11.55,11.55,300,0
2017-06-16,09:05:00,11.6,11.605,11.6,11.6,4027,0
2017-06-16,09:10:00,11.7,11.7,11.56,11.56,4379,0
2017-06-16,09:25:00,11.465,11.465,11.44,11.44,1518,0
2017-06-16,09:35:00,11.305,11.305,11.3,11.3,2201,0
2017-06-16,09:50:00,11.395,11.395,11.395,11.395,1,0
2017-06-16,10:10:00,11.395,11.395,11.395,11.395,18,0
2017-06-16,10:40:00,11.375,11.38,11.375,11.38,650,0
2017-06-16,10:45:00,11.475,11.475,11.475,11.475,4,0
2017-06-16,11:00:00,11.515,11.52,11.515,11.52,2057,0
2017-06-16,11:10:00,11.56,11.56,11.56,11.56,260,0
2017-06-16,11:20:00,11.7,11.7,11.7,11.7,90,0
