Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-12,09:05:00,8.77,8.8,8.77,8.8,13,0
2017-10-12,09:35:00,8.781,8.8,8.75,8.8,11937,0
2017-10-12,09:40:00,8.829,8.899,8.829,8.888,5746,0
2017-10-12,10:05:00,8.865,8.865,8.8,8.854,6386,0
2017-10-12,10:10:00,8.854,8.854,8.813,8.831,2649,0
2017-10-12,10:20:00,8.842,8.842,8.84,8.84,589,0
2017-10-12,10:25:00,8.817,8.831,8.817,8.831,323,0
2017-10-12,10:30:00,8.837,8.837,8.837,8.837,538,0
2017-10-12,10:40:00,8.82,8.82,8.82,8.82,100,0
2017-10-12,10:45:00,8.81,8.81,8.81,8.81,137,0
2017-10-12,10:55:00,8.8,8.8,8.8,8.8,166,0
2017-10-12,11:10:00,8.8,8.8,8.796,8.796,401,0
2017-10-12,11:30:00,8.794,8.794,8.794,8.794,200,0
2017-10-12,11:40:00,8.788,8.8,8.778,8.79,710,0
2017-10-12,12:00:00,8.79,8.799,8.79,8.799,146,0
2017-10-12,12:05:00,8.796,8.796,8.796,8.796,150,0
2017-10-12,12:15:00,8.799,8.799,8.799,8.799,2,0
2017-10-12,12:20:00,8.787,8.787,8.787,8.787,1,0
2017-10-12,12:25:00,8.781,8.781,8.781,8.781,40,0
2017-10-12,12:40:00,8.781,8.781,8.781,8.781,6,0
2017-10-12,12:55:00,8.774,8.774,8.774,8.774,22,0
2017-10-12,13:00:00,8.782,8.782,8.782,8.782,6,0
2017-10-12,13:05:00,8.78,8.78,8.77,8.778,597,0
2017-10-12,13:10:00,8.77,8.77,8.77,8.77,281,0
2017-10-12,13:20:00,8.777,8.777,8.777,8.777,39,0
2017-10-12,13:50:00,8.771,8.781,8.771,8.781,398,0
2017-10-12,14:10:00,8.781,8.782,8.781,8.782,689,0
2017-10-12,14:15:00,8.782,8.782,8.782,8.782,7,0
2017-10-12,14:20:00,8.792,8.792,8.792,8.792,77,0
2017-10-12,14:30:00,8.782,8.782,8.782,8.782,50,0
2017-10-12,14:40:00,8.782,8.782,8.782,8.782,2,0
2017-10-12,15:20:00,8.783,8.783,8.783,8.783,157,0
2017-10-12,15:40:00,8.774,8.774,8.76,8.76,2097,0
2017-10-12,15:45:00,8.76,8.76,8.76,8.76,314,0
2017-10-12,15:50:00,8.756,8.756,8.755,8.755,49,0
2017-10-12,16:05:00,8.75,8.75,8.744,8.75,2396,0
2017-10-12,16:10:00,8.754,8.754,8.75,8.75,239,0
2017-10-12,16:15:00,8.742,8.742,8.719,8.719,9989,0
2017-10-12,16:20:00,8.718,8.718,8.718,8.718,360,0
2017-10-12,16:30:00,8.712,8.712,8.681,8.689,4456,0
2017-10-12,16:35:00,8.691,8.694,8.689,8.689,455,0
2017-10-12,16:40:00,8.684,8.684,8.608,8.668,19671,0
2017-10-12,16:45:00,8.682,8.72,8.682,8.7,5121,0
2017-10-12,16:50:00,8.711,8.718,8.711,8.718,566,0
