Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-16,09:05:00,3.499,3.499,3.499,3.499,20,0
2015-09-16,09:20:00,3.2,3.2,3.2,3.2,1000,0
2015-09-16,09:30:00,3.468,3.468,3.468,3.468,10,0
2015-09-16,09:40:00,3.051,3.051,3.051,3.051,110,0
2015-09-16,17:30:00,3.398,3.398,3.398,3.398,1340,0
2015-09-17,12:10:00,3.06,3.06,3.021,3.021,300,0
2015-09-17,12:55:00,3.333,3.333,3.333,3.333,1000,0
2015-09-17,14:30:00,3.25,3.25,3.25,3.25,1000,0
2015-09-17,15:05:00,3.25,3.25,3.25,3.25,500,0
2015-09-17,16:35:00,3.25,3.25,3.25,3.25,500,0
2015-09-17,17:30:00,3.051,3.051,3.05,3.05,4340,0
2015-09-18,09:05:00,3.05,3.05,3.05,3.05,280,0
2015-09-18,09:20:00,3.05,3.05,3.05,3.05,1108,0
2015-09-18,10:50:00,3.06,3.06,3.006,3.006,1713,0
2015-09-18,11:10:00,3,3,3,3,1000,0
2015-09-18,11:20:00,3,3,3,3,850,0
2015-09-18,11:30:00,2.9,2.9,2.72,2.72,1350,0
2015-09-18,11:40:00,2.72,2.72,2.72,2.72,1000,0
2015-09-18,11:55:00,2.72,2.72,2.5,2.56,3100,0
2015-09-18,12:00:00,2.9,2.9,2.9,2.9,300,0
2015-09-18,12:20:00,2.989,2.989,2.989,2.989,100,0
2015-09-18,12:50:00,2.85,2.85,2.85,2.85,150,0
2015-09-18,13:05:00,2.849,2.849,2.849,2.849,160,0
2015-09-18,15:05:00,2.701,2.701,2.701,2.701,200,0
2015-09-18,15:55:00,2.844,2.844,2.844,2.844,360,0
2015-09-18,16:05:00,2.701,2.701,2.701,2.701,150,0
2015-09-18,17:30:00,2.845,2.943,2.75,2.943,14623,0
2015-09-21,09:05:00,2.6,2.6,2.6,2.6,50,0
2015-09-21,10:10:00,2.75,2.75,2.75,2.75,700,0
2015-09-21,11:45:00,2.611,2.611,2.611,2.611,1210,0
2015-09-22,13:30:00,2.645,2.645,2.61,2.61,2500,0
2015-09-22,17:30:00,2.6,2.6,2.6,2.6,3700,0
2015-09-23,17:25:00,2.619,2.619,2.619,2.619,688,0
2015-09-24,10:15:00,2.628,2.628,2.628,2.628,750,0
2015-09-24,11:20:00,2.689,2.689,2.689,2.689,100,0
2015-09-24,11:45:00,2.628,2.628,2.628,2.628,750,0
2015-09-24,12:00:00,2.639,2.639,2.639,2.639,1972,0
2015-09-25,10:05:00,2.701,2.701,2.701,2.701,120,0
2015-09-25,12:50:00,2.701,2.701,2.701,2.701,150,0
2015-09-25,13:05:00,2.7,2.7,2.7,2.7,1000,0
2015-09-25,16:15:00,2.701,2.701,2.701,2.701,380,0
2015-09-25,19:30:00,2.749,2.749,2.749,2.749,200,0
2015-09-25,20:00:00,2.848,2.848,2.848,2.848,2120,0
2015-09-28,08:10:00,3.016,3.016,3.016,3.016,100,0
2015-09-28,08:35:00,2.951,2.951,2.951,2.951,1,0
2015-09-28,09:05:00,3.21,3.21,3.21,3.21,200,0
2015-09-28,09:10:00,3.31,3.31,3.31,3.31,200,0
2015-09-28,10:45:00,3.1,3.1,3.1,3.1,500,0
2015-09-28,14:10:00,3.099,3.099,3.099,3.099,200,0
2015-09-28,17:45:00,2.98,2.98,2.98,2.98,300,0
2015-09-28,17:50:00,3,3,3,3,500,0
2015-09-28,18:45:00,2.88,2.88,2.88,2.88,30,0
2015-09-28,18:55:00,2.88,2.88,2.88,2.88,2331,0
2015-09-29,10:00:00,2.89,2.89,2.89,2.89,170,0
2015-09-29,14:40:00,2.89,2.89,2.89,2.89,1107,0
2015-09-29,15:45:00,2.77,2.77,2.77,2.77,170,0
2015-09-29,16:10:00,2.999,2.999,2.999,2.999,1747,0
2015-09-30,11:30:00,2.606,2.606,2.606,2.606,200,0
2015-09-30,12:10:00,2.605,2.605,2.605,2.605,2000,0
2015-09-30,13:00:00,2.701,2.701,2.701,2.701,161,0
2015-09-30,13:40:00,2.7,2.7,2.7,2.7,1000,0
2015-09-30,14:00:00,2.88,2.88,2.88,2.88,100,0
2015-09-30,14:10:00,2.89,2.89,2.89,2.89,500,0
2015-09-30,15:30:00,2.61,2.61,2.61,2.61,970,0
2015-09-30,16:05:00,2.859,2.859,2.859,2.859,500,0
2015-09-30,20:00:00,2.7,2.7,2.7,2.7,6031,0
2015-10-01,08:05:00,2.7,2.7,2.7,2.7,290,0
2015-10-01,10:15:00,2.7,2.7,2.7,2.7,500,0
2015-10-01,16:55:00,2.45,2.45,2.45,2.45,1228,0
2015-10-01,17:45:00,2.451,2.451,2.451,2.451,150,0
2015-10-01,18:10:00,2.451,2.451,2.451,2.451,2568,0
2015-10-02,13:15:00,2.601,2.601,2.601,2.601,500,0
2015-10-02,13:40:00,2.6,2.6,2.6,2.6,400,0
2015-10-02,14:55:00,2.859,2.859,2.859,2.859,181,0
2015-10-02,15:20:00,2.601,2.601,2.601,2.601,17,0
