Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-15,10:50:00,1.047,1.059,1.047,1.059,3824,0
2017-06-15,11:55:00,1.058,1.059,1.05,1.05,5523,0
2017-06-15,12:00:00,1.03,1.03,1.03,1.03,2000,0
2017-06-15,12:05:00,1.059,1.06,1.059,1.06,15000,0
2017-06-15,13:10:00,1.06,1.06,1.06,1.06,5000,0
2017-06-15,13:20:00,1.06,1.089,1.06,1.089,9333,0
2017-06-15,13:30:00,1.088,1.088,1.088,1.088,2000,0
2017-06-15,14:55:00,1.051,1.051,1.051,1.051,1350,0
2017-06-15,15:40:00,1.051,1.051,1.051,1.051,94,0
2017-06-15,17:05:00,1.08,1.08,1.08,1.08,12,0
2017-06-15,17:30:00,1.088,1.088,1.088,1.088,135,0
2017-06-16,09:10:00,1.08,1.08,1.08,1.08,1295,0
2017-06-16,09:15:00,1.079,1.13,1.079,1.13,23696,0
2017-06-16,09:30:00,1.128,1.128,1.128,1.128,2727,0
2017-06-16,09:35:00,1.111,1.111,1.111,1.111,2000,0
2017-06-16,09:50:00,1.081,1.081,1.081,1.081,2000,0
2017-06-16,09:55:00,1.09,1.117,1.087,1.117,12314,0
2017-06-16,10:00:00,1.081,1.081,1.081,1.081,200,0
2017-06-16,10:10:00,1.109,1.109,1.1,1.1,8193,0
2017-06-16,11:45:00,1.1,1.1,1.1,1.1,7000,0
2017-06-16,11:55:00,1.091,1.091,1.091,1.091,169,0
2017-06-16,12:30:00,1.081,1.081,1.081,1.081,169,0
2017-06-16,16:25:00,1.099,1.099,1.099,1.099,727,0
2017-06-16,16:30:00,1.084,1.099,1.084,1.099,4135,0
2017-06-16,17:30:00,1.09,1.09,1.09,1.09,1741,0
2017-06-19,09:05:00,1.055,1.055,1.055,1.055,1732,0
2017-06-19,09:30:00,1.042,1.042,1.042,1.042,2100,0
2017-06-19,10:25:00,1.051,1.051,1.05,1.05,2113,0
2017-06-19,10:30:00,1.051,1.051,1.05,1.05,2000,0
2017-06-19,10:40:00,1.05,1.05,1.05,1.05,2000,0
2017-06-19,13:15:00,1.039,1.039,1.039,1.039,1730,0
2017-06-19,13:20:00,1.039,1.039,1.039,1.039,1704,0
2017-06-19,13:25:00,1.039,1.039,1.039,1.039,3408,0
2017-06-19,13:40:00,1.039,1.039,1.039,1.039,1425,0
2017-06-19,17:25:00,1.05,1.05,1.05,1.05,891,0
2017-06-19,17:30:00,1.044,1.044,1.044,1.044,950,0
2017-06-20,10:50:00,1.05,1.069,1.05,1.069,4738,0
2017-06-20,10:55:00,1.069,1.069,1.069,1.069,262,0
2017-06-20,11:00:00,1.03,1.03,1.03,1.03,1000,0
2017-06-20,11:10:00,1.07,1.07,1.07,1.07,3000,0
2017-06-20,11:20:00,1.04,1.04,1.04,1.04,5000,0
2017-06-21,09:30:00,1.021,1.021,1.021,1.021,404,0
2017-06-21,10:25:00,1.024,1.04,1.024,1.04,7197,0
2017-06-21,10:35:00,1.025,1.025,1.025,1.025,148,0
2017-06-21,10:40:00,1.025,1.025,1.025,1.025,3674,0
2017-06-21,10:45:00,1.024,1.024,1.021,1.021,366,0
2017-06-21,12:20:00,1.02,1.02,1.02,1.02,1357,0
2017-06-21,14:10:00,1.049,1.049,1.049,1.049,2000,0
2017-06-21,14:40:00,1.048,1.048,1.048,1.048,2122,0
2017-06-21,15:20:00,1.02,1.02,1.02,1.02,1740,0
2017-06-21,17:25:00,1.02,1.02,1,1,5000,0
2017-06-21,17:30:00,0.99,1,0.96,0.96,11500,0
2017-06-22,14:20:00,1.039,1.039,1.039,1.039,1000,0
2017-06-22,15:00:00,1.01,1.01,1.01,1.01,102,0
2017-06-22,15:40:00,1.039,1.04,1.039,1.04,3886,0
2017-06-22,15:55:00,1.039,1.049,1.039,1.049,7948,0
2017-06-22,16:15:00,1.039,1.05,1.039,1.05,13936,0
2017-06-22,17:05:00,1.05,1.05,1.05,1.05,1064,0
2017-06-22,17:30:00,1.024,1.024,1.024,1.024,743,0
2017-06-26,10:30:00,1.029,1.036,1.029,1.036,21229,0
2017-06-26,12:40:00,1.02,1.02,1.02,1.02,5000,0
2017-06-26,12:50:00,1.001,1.001,1.001,1.001,132,0
2017-06-26,13:30:00,1.001,1.001,1.001,1.001,1500,0
2017-06-26,13:35:00,1.02,1.02,1.02,1.02,4298,0
2017-06-26,16:00:00,1.001,1.001,1,1,5000,0
2017-06-26,16:15:00,1.001,1.001,0.991,0.991,8000,0
2017-06-26,16:45:00,1.005,1.005,1.005,1.005,104,0
2017-06-26,16:55:00,1.005,1.005,1.005,1.005,1985,0
2017-06-27,10:10:00,1.038,1.038,1.038,1.038,2000,0
2017-06-27,14:10:00,1,1,1,1,167,0
2017-06-27,15:55:00,1,1,1,1,2000,0
