Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,9.262,9.262,9.258,9.258,498,0
2017-10-18,09:10:00,9.258,9.27,9.258,9.27,500,0
2017-10-18,09:15:00,9.26,9.26,9.26,9.26,220,0
2017-10-18,09:20:00,9.236,9.236,9.206,9.208,684,0
2017-10-18,09:25:00,9.207,9.207,9.207,9.207,484,0
2017-10-18,09:40:00,9.194,9.199,9.188,9.188,2425,0
2017-10-18,09:50:00,9.193,9.193,9.188,9.188,324,0
2017-10-18,09:55:00,9.19,9.206,9.178,9.178,2000,0
2017-10-18,10:05:00,9.2,9.206,9.2,9.206,757,0
2017-10-18,10:45:00,9.206,9.235,9.202,9.202,1230,0
2017-10-18,10:55:00,9.234,9.234,9.234,9.234,500,0
2017-10-18,11:00:00,9.234,9.253,9.23,9.253,3306,0
2017-10-18,11:10:00,9.27,9.27,9.27,9.27,2796,0
2017-10-18,11:20:00,9.27,9.27,9.27,9.27,228,0
2017-10-18,11:35:00,9.27,9.27,9.27,9.27,185,0
2017-10-18,11:40:00,9.27,9.27,9.27,9.27,5187,0
2017-10-18,11:45:00,9.27,9.3,9.27,9.3,2792,0
2017-10-18,11:50:00,9.3,9.33,9.3,9.33,4257,0
2017-10-18,11:55:00,9.348,9.348,9.33,9.34,1133,0
2017-10-18,12:00:00,9.367,9.367,9.367,9.367,553,0
2017-10-18,12:10:00,9.336,9.337,9.296,9.309,4067,0
2017-10-18,12:20:00,9.325,9.325,9.325,9.325,319,0
2017-10-18,12:30:00,9.305,9.305,9.28,9.28,2073,0
2017-10-18,12:35:00,9.277,9.277,9.276,9.276,300,0
2017-10-18,12:40:00,9.298,9.3,9.298,9.3,914,0
2017-10-18,13:05:00,9.313,9.313,9.313,9.313,362,0
2017-10-18,13:15:00,9.301,9.313,9.288,9.288,6187,0
2017-10-18,13:20:00,9.312,9.312,9.3,9.3,404,0
2017-10-18,13:35:00,9.301,9.303,9.301,9.303,766,0
2017-10-18,13:40:00,9.297,9.303,9.278,9.303,14079,0
2017-10-18,13:55:00,9.309,9.313,9.309,9.31,2351,0
2017-10-18,14:00:00,9.3,9.3,9.295,9.3,2660,0
2017-10-18,14:05:00,9.31,9.313,9.305,9.309,1595,0
2017-10-18,14:10:00,9.295,9.313,9.295,9.313,1957,0
2017-10-18,14:30:00,9.309,9.321,9.309,9.313,773,0
2017-10-18,14:50:00,9.301,9.301,9.3,9.3,365,0
2017-10-18,14:55:00,9.299,9.3,9.299,9.3,644,0
2017-10-18,15:00:00,9.302,9.302,9.3,9.3,2956,0
2017-10-18,15:05:00,9.302,9.302,9.279,9.3,4623,0
2017-10-18,15:45:00,9.291,9.291,9.282,9.282,2655,0
2017-10-18,15:50:00,9.285,9.31,9.277,9.3,2404,0
2017-10-18,16:00:00,9.312,9.312,9.312,9.312,524,0
2017-10-18,16:15:00,9.3,9.307,9.291,9.297,3368,0
2017-10-18,16:20:00,9.27,9.27,9.244,9.262,4264,0
2017-10-18,16:25:00,9.281,9.281,9.281,9.281,298,0
2017-10-18,16:30:00,9.281,9.282,9.281,9.282,623,0
2017-10-18,16:35:00,9.289,9.289,9.288,9.288,618,0
2017-10-18,16:40:00,9.297,9.313,9.297,9.313,2488,0
2017-10-18,16:50:00,9.324,9.339,9.32,9.329,2949,0
2017-10-18,16:55:00,9.338,9.358,9.327,9.336,3026,0
2017-10-18,17:00:00,9.333,9.333,9.3,9.313,7131,0
2017-10-18,17:05:00,9.3,9.3,9.271,9.271,3185,0
2017-10-18,17:10:00,9.285,9.32,9.285,9.32,1783,0
2017-10-18,17:15:00,9.331,9.331,9.277,9.277,3383,0
2017-10-18,17:20:00,9.296,9.305,9.284,9.295,2229,0
2017-10-18,17:25:00,9.305,9.324,9.305,9.306,4297,0
2017-10-18,17:30:00,9.29,9.337,9.29,9.3,14942,0
2017-10-19,09:05:00,9.232,9.232,9.232,9.232,23,0
2017-10-19,09:25:00,9.265,9.265,9.265,9.265,47,0
2017-10-19,09:35:00,9.22,9.22,9.22,9.22,270,0
2017-10-19,09:40:00,9.229,9.229,9.18,9.18,3500,0
2017-10-19,09:50:00,9.14,9.142,9.115,9.142,565,0
2017-10-19,10:05:00,9.1,9.1,9.09,9.09,4694,0
2017-10-19,10:10:00,9.051,9.051,9.046,9.046,500,0
2017-10-19,10:20:00,9.06,9.086,9.06,9.086,681,0
2017-10-19,10:35:00,9.089,9.089,9.063,9.063,405,0
2017-10-19,10:40:00,9.055,9.055,9.046,9.046,90,0
2017-10-19,10:55:00,9.051,9.051,9.05,9.05,3200,0
2017-10-19,11:05:00,9.033,9.033,9.029,9.03,364,0
2017-10-19,11:20:00,9.013,9.013,9.002,9.002,1235,0
2017-10-19,11:25:00,9.002,9.002,9.002,9.002,303,0
2017-10-19,11:30:00,9.002,9.021,9,9.021,940,0
2017-10-19,11:40:00,9,9,8.99,8.99,1000,0
2017-10-19,11:45:00,9.011,9.017,9.011,9.016,2458,0
2017-10-19,11:50:00,9.022,9.035,9.022,9.035,458,0
2017-10-19,12:00:00,9.052,9.052,9.052,9.052,10,0
2017-10-19,12:25:00,9.019,9.019,9.018,9.018,303,0
2017-10-19,12:45:00,9.011,9.012,8.985,8.985,1472,0
2017-10-19,12:55:00,8.984,8.984,8.95,8.95,3272,0
2017-10-19,13:05:00,8.978,9.017,8.978,9.017,5139,0
2017-10-19,13:10:00,9.018,9.018,9.01,9.01,1094,0
2017-10-19,13:20:00,9.018,9.018,8.993,8.993,215,0
2017-10-19,13:25:00,9,9,8.996,8.996,1479,0
2017-10-19,13:35:00,8.988,8.988,8.957,8.957,3871,0
2017-10-19,13:40:00,8.95,8.95,8.95,8.95,39,0
2017-10-19,13:45:00,8.959,8.962,8.95,8.962,1211,0
2017-10-19,13:50:00,8.94,8.94,8.94,8.94,39,0
2017-10-19,14:00:00,8.947,8.947,8.925,8.925,1071,0
2017-10-19,14:05:00,8.952,8.958,8.952,8.958,259,0
2017-10-19,14:10:00,8.99,8.99,8.99,8.99,100,0
2017-10-19,14:20:00,8.972,8.972,8.972,8.972,228,0
2017-10-19,14:40:00,8.994,8.995,8.994,8.995,1550,0
2017-10-19,14:55:00,8.998,8.998,8.998,8.998,108,0
2017-10-19,15:00:00,9.022,9.022,9,9,1052,0
2017-10-19,15:05:00,8.981,8.981,8.981,8.981,34,0
2017-10-19,15:10:00,8.965,8.965,8.965,8.965,27,0
2017-10-19,15:35:00,8.962,8.978,8.961,8.978,241,0
2017-10-19,15:50:00,8.96,8.96,8.96,8.96,518,0
2017-10-19,16:00:00,8.952,8.952,8.952,8.952,167,0
2017-10-19,16:05:00,8.926,8.926,8.803,8.878,6419,0
2017-10-19,16:10:00,8.869,8.869,8.867,8.868,1131,0
2017-10-19,16:15:00,8.912,8.912,8.866,8.872,4248,0
2017-10-19,16:20:00,8.867,8.872,8.867,8.872,773,0
2017-10-19,16:25:00,8.872,8.872,8.872,8.872,386,0
2017-10-19,16:30:00,8.872,8.878,8.85,8.85,5451,0
2017-10-19,16:35:00,8.855,8.855,8.819,8.819,1569,0
2017-10-19,16:40:00,8.837,8.842,8.837,8.842,523,0
2017-10-19,16:50:00,8.853,8.94,8.853,8.94,6503,0
2017-10-19,16:55:00,8.893,8.93,8.888,8.889,3373,0
2017-10-19,17:00:00,8.89,8.89,8.89,8.89,893,0
2017-10-19,17:05:00,8.916,8.916,8.916,8.916,560,0
2017-10-19,17:10:00,8.915,8.947,8.9,8.9,1769,0
2017-10-19,17:15:00,8.891,8.891,8.872,8.872,161,0
2017-10-19,17:20:00,8.872,8.872,8.87,8.87,2186,0
2017-10-19,17:25:00,8.852,8.857,8.852,8.857,306,0
2017-10-19,17:30:00,8.855,8.855,8.802,8.855,12787,0
2017-10-20,09:05:00,8.927,8.927,8.848,8.849,309,0
2017-10-20,09:15:00,8.824,8.824,8.824,8.824,1054,0
2017-10-20,09:25:00,8.85,8.85,8.817,8.838,1132,0
2017-10-20,09:35:00,8.832,8.832,8.821,8.821,1065,0
