Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,23.9,23.92,23.87,23.885,13864,0
2017-10-26,09:10:00,23.885,23.91,23.875,23.91,7044,0
2017-10-26,09:15:00,23.945,23.955,23.935,23.94,2066,0
2017-10-26,09:20:00,23.93,23.97,23.93,23.965,4187,0
2017-10-26,09:25:00,23.95,23.99,23.95,23.96,605,0
2017-10-26,09:30:00,23.975,23.98,23.965,23.98,1303,0
2017-10-26,09:35:00,23.985,24.01,23.97,23.97,6340,0
2017-10-26,09:40:00,23.99,24.005,23.97,23.985,5610,0
2017-10-26,09:45:00,24,24.025,24,24.02,1465,0
2017-10-26,09:50:00,24.03,24.03,24,24.01,4335,0
2017-10-26,09:55:00,24.035,24.035,24.02,24.02,1178,0
2017-10-26,10:00:00,24.025,24.05,24,24.05,4159,0
2017-10-26,10:05:00,24.035,24.055,24.025,24.035,1420,0
2017-10-26,10:10:00,24.025,24.045,23.995,23.995,6492,0
2017-10-26,10:15:00,23.995,24.01,23.975,24.005,2362,0
2017-10-26,10:20:00,24.01,24.015,23.995,23.995,2603,0
2017-10-26,10:25:00,23.995,24.01,23.985,24.01,3129,0
2017-10-26,10:30:00,23.995,24.015,23.95,23.95,5506,0
2017-10-26,10:35:00,23.965,23.98,23.93,23.935,5344,0
2017-10-26,10:40:00,23.945,23.95,23.93,23.93,1708,0
2017-10-26,10:45:00,23.94,23.94,23.915,23.93,935,0
2017-10-26,10:50:00,23.94,23.95,23.92,23.92,2882,0
2017-10-26,10:55:00,23.935,23.94,23.915,23.915,4944,0
2017-10-26,11:00:00,23.91,23.92,23.88,23.88,5454,0
2017-10-26,11:05:00,23.88,23.91,23.87,23.89,3552,0
2017-10-26,11:10:00,23.9,23.905,23.9,23.9,1152,0
2017-10-26,11:15:00,23.9,23.93,23.9,23.93,907,0
2017-10-26,11:20:00,23.93,23.93,23.89,23.89,8153,0
2017-10-26,11:25:00,23.91,23.93,23.91,23.91,2660,0
2017-10-26,11:30:00,23.91,23.925,23.91,23.925,1042,0
2017-10-26,11:35:00,23.925,23.935,23.915,23.925,2134,0
2017-10-26,11:40:00,23.925,23.935,23.915,23.915,3005,0
2017-10-26,11:45:00,23.915,23.915,23.915,23.915,55,0
2017-10-26,11:50:00,23.92,23.935,23.91,23.91,5368,0
2017-10-26,11:55:00,23.925,23.93,23.91,23.915,2231,0
2017-10-26,12:00:00,23.92,23.925,23.92,23.925,156,0
2017-10-26,12:05:00,23.94,23.95,23.925,23.95,2917,0
2017-10-26,12:10:00,23.95,23.955,23.945,23.955,533,0
2017-10-26,12:15:00,23.97,23.97,23.92,23.93,5356,0
2017-10-26,12:20:00,23.945,23.97,23.945,23.97,3523,0
2017-10-26,12:25:00,23.955,24,23.955,23.995,3138,0
2017-10-26,12:30:00,24,24.005,23.985,24,3816,0
2017-10-26,12:35:00,23.995,24.015,23.995,24.01,1371,0
2017-10-26,12:40:00,24.03,24.07,24.03,24.065,4662,0
2017-10-26,12:45:00,24.08,24.08,24.055,24.055,1705,0
2017-10-26,12:50:00,24.055,24.075,24.055,24.065,3257,0
2017-10-26,12:55:00,24.07,24.085,24.065,24.075,2657,0
2017-10-26,13:00:00,24.085,24.085,24.07,24.085,5754,0
2017-10-26,13:05:00,24.075,24.075,24.02,24.035,5776,0
2017-10-26,13:10:00,24.09,24.09,24.04,24.04,2102,0
2017-10-26,13:15:00,24.045,24.07,24.015,24.015,12861,0
2017-10-26,13:20:00,24.02,24.02,23.99,24.02,5867,0
2017-10-26,13:25:00,24.005,24.02,23.995,24.015,2834,0
2017-10-26,13:30:00,24.025,24.025,24,24,3402,0
2017-10-26,13:35:00,24,24.03,24,24.025,2675,0
2017-10-26,13:40:00,24.04,24.065,24.04,24.065,2974,0
2017-10-26,13:45:00,24.065,24.065,24.06,24.06,653,0
2017-10-26,13:50:00,24.08,24.09,24.055,24.085,20771,0
2017-10-26,13:55:00,24.085,24.1,24.06,24.06,18544,0
2017-10-26,14:00:00,24.06,24.075,24.055,24.07,4620,0
