Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,09:10:00,1.61,1.61,1.61,1.61,50,0
2015-04-02,09:15:00,1.61,1.61,1.61,1.61,50,0
2015-04-07,11:30:00,1.62,1.62,1.62,1.62,100,0
2015-04-09,10:35:00,1.62,1.62,1.62,1.62,10,0
2015-04-09,12:05:00,1.692,1.692,1.692,1.692,500,0
2015-04-09,14:50:00,1.701,1.701,1.7,1.7,1303,0
2015-04-09,15:10:00,1.7,1.7,1.7,1.7,3554,0
2015-04-09,15:15:00,1.701,1.701,1.7,1.7,1741,0
2015-04-13,10:55:00,1.651,1.651,1.651,1.651,300,0
2015-04-13,13:30:00,1.699,1.699,1.699,1.699,630,0
2015-04-13,13:35:00,1.699,1.699,1.699,1.699,330,0
2015-04-14,12:05:00,1.698,1.698,1.698,1.698,146,0
2015-04-14,16:45:00,1.65,1.65,1.65,1.65,1666,0
2015-04-14,16:50:00,1.65,1.65,1.65,1.65,1520,0
2015-04-16,10:25:00,1.569,1.569,1.569,1.569,170,0
2015-04-16,17:25:00,1.638,1.638,1.638,1.638,270,0
2015-04-17,10:20:00,1.631,1.631,1.631,1.631,560,0
2015-04-17,16:05:00,1.63,1.633,1.63,1.63,20408,0
2015-04-20,10:50:00,1.639,1.639,1.629,1.629,1575,0
2015-04-20,10:55:00,1.629,1.65,1.629,1.65,2926,0
2015-04-20,12:05:00,1.569,1.569,1.569,1.569,811,0
2015-04-20,12:10:00,1.569,1.569,1.568,1.568,2194,0
2015-04-20,16:25:00,1.599,1.599,1.599,1.599,7526,0
2015-04-21,09:20:00,1.599,1.599,1.599,1.599,1,0
2015-04-21,11:35:00,1.526,1.526,1.526,1.526,1155,0
2015-04-21,11:40:00,1.526,1.526,1.52,1.52,1885,0
2015-04-21,12:55:00,1.5,1.5,1.5,1.5,300,0
2015-04-21,17:25:00,1.55,1.55,1.55,1.55,8,0
2015-04-21,17:30:00,1.55,1.55,1.55,1.55,3350,0
2015-04-22,16:15:00,1.501,1.501,1.5,1.5,3498,0
2015-04-22,16:20:00,1.5,1.5,1.5,1.5,902,0
2015-04-23,09:40:00,1.566,1.566,1.566,1.566,10,0
2015-04-23,13:35:00,1.549,1.55,1.549,1.55,4378,0
2015-04-24,10:00:00,1.554,1.555,1.554,1.555,500,0
2015-04-24,17:25:00,1.55,1.55,1.55,1.55,500,0
2015-04-24,17:30:00,1.55,1.55,1.55,1.55,1873,0
2015-04-27,11:00:00,1.481,1.481,1.481,1.481,675,0
2015-04-27,11:05:00,1.481,1.481,1.473,1.473,1056,0
2015-04-27,15:45:00,1.46,1.46,1.46,1.46,3731,0
2015-04-28,16:35:00,1.387,1.387,1.387,1.387,2000,0
2015-04-28,16:50:00,1.386,1.39,1.386,1.39,3440,0
2015-04-29,09:05:00,1.4,1.4,1.4,1.4,1200,0
2015-04-29,09:15:00,1.331,1.331,1.331,1.331,378,0
2015-04-29,10:50:00,1.3,1.3,1.3,1.3,500,0
2015-04-29,11:20:00,1.25,1.25,1.25,1.25,957,0
2015-04-29,13:20:00,1.251,1.251,1.25,1.25,1160,0
2015-04-29,13:45:00,1.251,1.251,1.25,1.25,8367,0
2015-04-29,14:10:00,1.3,1.3,1.3,1.3,1000,0
2015-04-29,14:40:00,1.289,1.3,1.289,1.3,1000,0
2015-04-29,15:10:00,1.3,1.3,1.3,1.3,200,0
2015-04-29,17:10:00,1.3,1.3,1.3,1.3,1000,0
2015-04-29,17:15:00,1.236,1.236,1.236,1.236,500,0
