Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,09:05:00,0.04,0.04,0.04,0.04,10000,0
2015-04-07,16:55:00,0.036,0.036,0.036,0.036,110000,0
2015-04-08,15:25:00,0.035,0.035,0.035,0.035,10000,0
2015-04-08,17:30:00,0.044,0.044,0.044,0.044,44000,0
2015-04-09,13:30:00,0.037,0.037,0.037,0.037,8000,0
2015-04-13,15:10:00,0.036,0.036,0.036,0.036,20000,0
2015-04-16,17:30:00,0.037,0.037,0.037,0.037,4000,0
2015-04-23,11:00:00,0.037,0.037,0.037,0.037,1000,0
2015-04-23,11:05:00,0.037,0.037,0.037,0.037,1000,0
2015-04-29,09:05:00,0.037,0.037,0.037,0.037,6000,0
2015-05-06,11:35:00,0.036,0.036,0.036,0.036,60000,0
2015-05-11,17:30:00,0.029,0.029,0.029,0.029,80,0
2015-05-22,11:35:00,0.022,0.022,0.022,0.022,13000,0
2015-05-22,11:45:00,0.021,0.021,0.021,0.021,43000,0
2015-05-27,14:00:00,0.021,0.021,0.021,0.021,1200,0
2015-05-28,09:05:00,0.021,0.021,0.021,0.021,4000,0
2015-06-02,12:35:00,0.02,0.02,0.02,0.02,20000,0
2015-06-17,11:00:00,0.025,0.025,0.025,0.025,80000,0
2015-06-24,16:25:00,0.024,0.024,0.024,0.024,4000,0
2015-07-08,10:25:00,0.026,0.026,0.026,0.026,42000,0
2015-07-20,12:05:00,0.025,0.025,0.025,0.025,40000,0
2015-07-28,17:05:00,0.026,0.026,0.026,0.026,200,0
2015-07-28,17:30:00,0.024,0.024,0.024,0.024,60200,0
2015-08-04,15:05:00,0.029,0.029,0.029,0.029,10000,0
2015-08-07,11:45:00,0.023,0.023,0.023,0.023,600,0
2015-08-12,09:05:00,0.024,0.024,0.024,0.024,3000,0
2015-08-13,09:45:00,0.03,0.03,0.03,0.03,25000,0
2015-08-13,14:35:00,0.045,0.045,0.045,0.045,75000,0
2015-08-17,10:10:00,0.026,0.026,0.026,0.026,200,0
2015-09-01,12:30:00,0.021,0.021,0.021,0.021,10000,0
2015-09-07,09:05:00,0.021,0.021,0.021,0.021,600,0
2015-09-10,09:55:00,0.02,0.02,0.02,0.02,150000,0
2015-09-22,11:00:00,0.013,0.013,0.013,0.013,2500,0
2015-09-22,11:20:00,0.013,0.013,0.013,0.013,22500,0
2015-09-30,16:05:00,0.014,0.014,0.014,0.014,18052,0
2015-10-28,15:55:00,0.011,0.011,0.011,0.011,25,0
2015-11-09,17:35:00,0.02,0.02,0.02,0.02,20000,0
2015-11-24,12:15:00,0.01,0.01,0.01,0.01,100,0
2015-11-24,17:05:00,0.04,0.04,0.04,0.04,5300,0
2016-01-26,08:20:00,0.02,0.02,0.02,0.02,50000,0
2016-03-24,17:00:00,0.015,0.015,0.015,0.015,6960,0
2016-04-07,08:25:00,0.02,0.02,0.02,0.02,50000,0
2016-04-18,10:20:00,0.014,0.014,0.014,0.014,8100,0
2016-04-29,18:50:00,0.021,0.021,0.021,0.021,600,0
2016-05-18,12:10:00,0.03,0.03,0.03,0.03,25000,0
2016-06-08,08:05:00,0.032,0.032,0.032,0.032,2000,0
2016-06-27,10:20:00,0.034,0.034,0.034,0.034,13250,0
2016-07-06,19:45:00,0.06,0.06,0.06,0.06,18000,0
2016-10-06,18:50:00,0.049,0.049,0.049,0.049,20000,0
2016-10-24,11:20:00,0.037,0.037,0.037,0.037,350,0
2016-11-03,14:50:00,0.033,0.033,0.033,0.033,500,0
2016-11-04,16:00:00,0.034,0.034,0.034,0.034,50000,0
2016-12-08,11:40:00,0.011,0.011,0.011,0.011,5650,0
2016-12-13,11:25:00,0.02,0.02,0.02,0.02,10000,0
2016-12-21,08:05:00,0.021,0.021,0.021,0.021,10000,0
2016-12-22,10:10:00,0.037,0.037,0.037,0.037,2500,0
2016-12-22,11:15:00,0.036,0.036,0.036,0.036,35510,0
2016-12-22,11:40:00,0.059,0.059,0.059,0.059,7500,0
2017-01-05,08:05:00,0.058,0.058,0.058,0.058,2000,0
2017-01-05,15:35:00,0.041,0.041,0.041,0.041,9000,0
2017-01-16,17:05:00,0.042,0.042,0.042,0.042,7500,0
2017-01-23,19:55:00,0.041,0.041,0.041,0.041,3500,0
2017-02-01,12:40:00,0.042,0.042,0.042,0.042,5000,0
2017-02-24,14:15:00,0.055,0.055,0.055,0.055,10600,0
2017-02-24,14:20:00,0.055,0.055,0.055,0.055,17525,0
2017-03-13,08:40:00,0.05,0.059,0.05,0.059,23564,0
2017-03-13,08:55:00,0.06,0.06,0.06,0.06,10000,0
2017-03-13,10:30:00,0.069,0.069,0.069,0.069,1000,0
2017-03-16,08:05:00,0.021,0.021,0.021,0.021,1500,0
2017-03-17,16:45:00,0.023,0.023,0.023,0.023,125,0
2017-04-27,16:20:00,0.026,0.026,0.026,0.026,2500,0
2017-05-05,12:45:00,0.031,0.031,0.031,0.031,800,0
2017-05-08,08:20:00,0.031,0.031,0.031,0.031,1000,0
2017-06-22,08:35:00,0.034,0.034,0.034,0.034,4000,0
