Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-28,09:10:00,0.222,0.222,0.222,0.222,930,0
2016-12-28,10:55:00,0.221,0.221,0.221,0.221,1159,0
2016-12-28,11:10:00,0.212,0.212,0.212,0.212,1000,0
2016-12-28,13:20:00,0.215,0.215,0.215,0.215,50000,0
2016-12-29,15:15:00,0.213,0.213,0.213,0.213,234,0
2016-12-29,16:10:00,0.213,0.222,0.213,0.222,5918,0
2016-12-29,17:30:00,0.22,0.22,0.22,0.22,14000,0
2016-12-30,09:05:00,0.222,0.222,0.222,0.222,575,0
2016-12-30,09:30:00,0.222,0.222,0.222,0.222,1196,0
2016-12-30,11:25:00,0.22,0.22,0.22,0.22,1393,0
2016-12-30,12:35:00,0.212,0.212,0.212,0.212,8000,0
2016-12-30,13:10:00,0.22,0.22,0.22,0.22,1136,0
2016-12-30,13:30:00,0.212,0.212,0.211,0.211,10100,0
2016-12-30,14:10:00,0.215,0.215,0.215,0.215,1500,0
2017-01-02,12:10:00,0.211,0.222,0.211,0.222,1675,0
2017-01-02,15:05:00,0.222,0.222,0.222,0.222,4000,0
2017-01-03,11:30:00,0.22,0.22,0.22,0.22,10000,0
2017-01-03,11:45:00,0.222,0.222,0.222,0.222,918,0
2017-01-03,13:00:00,0.215,0.215,0.215,0.215,835,0
2017-01-03,16:40:00,0.215,0.215,0.215,0.215,225,0
2017-01-03,16:50:00,0.215,0.215,0.215,0.215,10940,0
2017-01-03,17:30:00,0.216,0.216,0.216,0.216,4368,0
2017-01-04,09:05:00,0.216,0.216,0.216,0.216,500,0
2017-01-04,10:35:00,0.217,0.217,0.217,0.217,450,0
2017-01-04,12:40:00,0.225,0.225,0.225,0.225,988,0
2017-01-04,13:05:00,0.217,0.217,0.217,0.217,500,0
2017-01-04,13:15:00,0.224,0.225,0.224,0.225,9616,0
2017-01-04,13:30:00,0.225,0.225,0.225,0.225,150,0
2017-01-04,14:35:00,0.225,0.225,0.225,0.225,3627,0
2017-01-04,16:30:00,0.225,0.225,0.225,0.225,3567,0
2017-01-04,17:10:00,0.216,0.216,0.216,0.216,750,0
2017-01-05,10:30:00,0.225,0.225,0.225,0.225,3433,0
2017-01-05,10:50:00,0.227,0.227,0.216,0.216,1150,0
2017-01-05,11:20:00,0.228,0.228,0.228,0.228,214,0
2017-01-05,12:45:00,0.228,0.23,0.228,0.23,10000,0
2017-01-06,16:20:00,0.229,0.229,0.229,0.229,5000,0
2017-01-06,17:30:00,0.225,0.225,0.225,0.225,400,0
2017-01-09,09:05:00,0.225,0.225,0.225,0.225,3600,0
2017-01-09,14:00:00,0.215,0.215,0.215,0.215,7000,0
2017-01-09,14:35:00,0.222,0.222,0.222,0.222,5300,0
2017-01-09,16:30:00,0.217,0.217,0.216,0.216,7750,0
2017-01-09,17:30:00,0.22,0.22,0.22,0.22,8400,0
2017-01-10,16:20:00,0.216,0.216,0.216,0.216,750,0
2017-01-11,10:10:00,0.216,0.216,0.216,0.216,1,0
2017-01-11,17:15:00,0.216,0.216,0.211,0.211,6000,0
2017-01-13,09:05:00,0.223,0.223,0.223,0.223,700,0
2017-01-13,14:45:00,0.222,0.222,0.222,0.222,2000,0
2017-01-13,17:15:00,0.222,0.222,0.222,0.222,1114,0
2017-01-16,16:05:00,0.22,0.22,0.22,0.22,3076,0
2017-01-16,17:30:00,0.225,0.225,0.225,0.225,5835,0
2017-01-17,09:05:00,0.22,0.22,0.22,0.22,5000,0
2017-01-17,13:30:00,0.22,0.22,0.22,0.22,11924,0
2017-01-17,15:20:00,0.214,0.214,0.214,0.214,200,0
2017-01-17,17:30:00,0.216,0.216,0.216,0.216,7100,0
2017-01-18,09:05:00,0.216,0.216,0.216,0.216,5556,0
2017-01-18,10:00:00,0.225,0.225,0.225,0.225,3,0
2017-01-18,11:00:00,0.225,0.225,0.225,0.225,30,0
2017-01-18,11:55:00,0.225,0.228,0.225,0.228,11100,0
2017-01-18,13:20:00,0.227,0.227,0.227,0.227,20000,0
2017-01-19,09:25:00,0.221,0.221,0.221,0.221,130,0
2017-01-19,12:15:00,0.227,0.228,0.227,0.228,10000,0
2017-01-19,13:35:00,0.227,0.228,0.227,0.228,10000,0
2017-01-19,14:00:00,0.221,0.221,0.221,0.221,2000,0
2017-01-20,10:30:00,0.22,0.22,0.22,0.22,300,0
2017-01-20,11:40:00,0.22,0.22,0.22,0.22,100,0
2017-01-20,12:25:00,0.22,0.22,0.22,0.22,10000,0
2017-01-20,12:30:00,0.22,0.22,0.22,0.22,20000,0
2017-01-20,14:40:00,0.22,0.22,0.22,0.22,300,0
2017-01-20,16:15:00,0.225,0.225,0.225,0.225,913,0
2017-01-20,16:20:00,0.226,0.226,0.226,0.226,16083,0
2017-01-20,16:45:00,0.228,0.228,0.228,0.228,10300,0
