Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,53.16,53.22,53.16,53.22,804,0
2017-10-26,09:10:00,53.17,53.18,53.04,53.06,3293,0
2017-10-26,09:15:00,53.15,53.23,53.15,53.23,2245,0
2017-10-26,09:20:00,53.26,53.27,53.19,53.19,540,0
2017-10-26,09:25:00,53.24,53.26,53.23,53.26,264,0
2017-10-26,09:30:00,53.27,53.27,53.16,53.23,5941,0
2017-10-26,09:35:00,53.23,53.27,53.2,53.26,2361,0
2017-10-26,09:40:00,53.27,53.27,53.23,53.23,1306,0
2017-10-26,09:45:00,53.24,53.27,53.23,53.26,1235,0
2017-10-26,09:50:00,53.25,53.27,53.22,53.22,621,0
2017-10-26,09:55:00,53.23,53.25,53.2,53.25,1566,0
2017-10-26,10:00:00,53.24,53.28,53.23,53.28,422,0
2017-10-26,10:05:00,53.31,53.46,53.31,53.46,1903,0
2017-10-26,10:10:00,53.47,53.53,53.44,53.44,4174,0
2017-10-26,10:15:00,53.44,53.52,53.42,53.52,1909,0
2017-10-26,10:20:00,53.49,53.49,53.46,53.46,839,0
2017-10-26,10:25:00,53.4,53.4,53.37,53.37,1958,0
2017-10-26,10:30:00,53.35,53.37,53.35,53.35,992,0
2017-10-26,10:35:00,53.35,53.37,53.31,53.33,1850,0
2017-10-26,10:40:00,53.32,53.34,53.32,53.34,1156,0
2017-10-26,10:45:00,53.37,53.4,53.37,53.4,500,0
2017-10-26,10:50:00,53.43,53.43,53.31,53.34,2245,0
2017-10-26,10:55:00,53.32,53.32,53.25,53.25,1315,0
2017-10-26,11:00:00,53.23,53.26,53.22,53.26,1521,0
2017-10-26,11:05:00,53.28,53.29,53.26,53.29,1482,0
2017-10-26,11:10:00,53.28,53.32,53.28,53.3,743,0
2017-10-26,11:15:00,53.3,53.31,53.29,53.3,545,0
2017-10-26,11:20:00,53.29,53.29,53.24,53.24,820,0
2017-10-26,11:25:00,53.25,53.27,53.24,53.25,826,0
2017-10-26,11:30:00,53.25,53.25,53.19,53.19,829,0
2017-10-26,11:35:00,53.15,53.16,53.15,53.15,678,0
2017-10-26,11:40:00,53.15,53.2,53.15,53.17,1858,0
2017-10-26,11:45:00,53.21,53.25,53.21,53.25,1618,0
2017-10-26,11:50:00,53.25,53.27,53.25,53.27,633,0
2017-10-26,11:55:00,53.27,53.32,53.27,53.32,292,0
2017-10-26,12:00:00,53.29,53.29,53.21,53.24,2875,0
2017-10-26,12:05:00,53.22,53.28,53.21,53.26,2391,0
2017-10-26,12:10:00,53.28,53.31,53.26,53.31,1489,0
2017-10-26,12:15:00,53.33,53.33,53.29,53.31,902,0
