Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-08,09:40:00,2.68,2.71,2.68,2.71,389,0
2015-05-08,09:55:00,2.786,2.8,2.786,2.8,164,0
2015-05-08,14:55:00,2.716,2.716,2.716,2.716,500,0
2015-05-08,17:30:00,2.75,2.75,2.75,2.75,1925,0
2015-05-11,12:35:00,2.75,2.75,2.75,2.75,2600,0
2015-05-12,09:50:00,2.651,2.651,2.651,2.651,100,0
2015-05-12,15:40:00,2.749,2.749,2.749,2.749,25,0
2015-05-12,15:55:00,2.75,2.75,2.75,2.75,150,0
2015-05-12,17:15:00,2.749,2.749,2.749,2.749,154,0
2015-05-12,17:30:00,2.75,2.75,2.75,2.75,587,0
2015-05-13,09:25:00,2.74,2.8,2.74,2.8,1421,0
2015-05-13,09:30:00,2.7,2.838,2.7,2.838,600,0
2015-05-13,12:45:00,2.701,2.701,2.701,2.701,30,0
2015-05-13,17:30:00,2.775,2.775,2.775,2.775,2111,0
2015-05-15,14:45:00,2.7,2.7,2.7,2.7,100,0
2015-05-18,10:05:00,2.651,2.651,2.65,2.65,6537,0
2015-05-18,10:10:00,2.58,2.58,2.58,2.58,849,0
2015-05-18,17:30:00,2.6,2.6,2.6,2.6,8410,0
2015-05-19,09:05:00,2.6,2.6,2.6,2.6,1850,0
2015-05-19,10:30:00,2.65,2.65,2.65,2.65,100,0
2015-05-19,11:20:00,2.699,2.7,2.699,2.7,2029,0
2015-05-19,12:05:00,2.65,2.65,2.65,2.65,50,0
2015-05-19,12:45:00,2.7,2.7,2.7,2.7,800,0
2015-05-19,13:35:00,2.65,2.65,2.65,2.65,50,0
2015-05-19,13:50:00,2.7,2.7,2.7,2.7,1000,0
2015-05-19,15:15:00,2.7,2.7,2.7,2.7,1000,0
2015-05-19,15:45:00,2.7,2.7,2.7,2.7,6979,0
2015-05-21,16:10:00,2.835,2.835,2.835,2.835,2154,0
2015-05-22,14:05:00,2.8,2.835,2.8,2.835,10946,0
2015-05-28,09:30:00,2.75,2.76,2.7,2.7,5170,0
2015-05-28,09:35:00,2.7,2.7,2.7,2.7,50,0
2015-05-28,11:05:00,2.682,2.682,2.66,2.66,3000,0
2015-05-28,11:15:00,2.65,2.65,2.6,2.6,1034,0
2015-05-28,11:35:00,2.659,2.68,2.659,2.68,1291,0
2015-05-28,12:05:00,2.69,2.69,2.69,2.69,11545,0
2015-05-29,09:30:00,2.65,2.65,2.65,2.65,1200,0
2015-05-29,09:35:00,2.64,2.64,2.58,2.58,4139,0
2015-05-29,12:25:00,2.589,2.589,2.589,2.589,355,0
2015-05-29,16:55:00,2.589,2.7,2.589,2.7,14654,0
2015-06-01,09:20:00,2.62,2.62,2.62,2.62,800,0
2015-06-01,11:35:00,2.55,2.55,2.55,2.55,100,0
2015-06-01,11:40:00,2.599,2.599,2.599,2.599,90,0
2015-06-01,17:25:00,2.598,2.6,2.598,2.6,1521,0
2015-06-01,17:30:00,2.6,2.6,2.6,2.6,2869,0
2015-06-02,11:45:00,2.53,2.53,2.529,2.53,3079,0
2015-06-02,15:05:00,2.541,2.541,2.54,2.54,680,0
2015-06-02,16:25:00,2.54,2.54,2.53,2.53,4799,0
2015-06-04,16:15:00,2.549,2.55,2.549,2.55,4000,0
2015-06-08,09:05:00,2.55,2.55,2.55,2.55,900,0
2015-06-08,17:30:00,2.58,2.58,2.58,2.58,1100,0
2015-06-10,12:05:00,2.451,2.451,2.451,2.451,383,0
2015-06-10,14:30:00,2.451,2.576,2.451,2.576,2717,0
2015-06-10,17:15:00,2.452,2.452,2.452,2.452,3372,0
2015-06-11,14:40:00,2.577,2.577,2.577,2.577,2000,0
