Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-21,09:05:00,11.5,11.5,11.375,11.375,1867,0
2017-09-21,09:20:00,11.375,11.375,11.375,11.375,100,0
2017-09-21,09:40:00,11.5,11.5,11.5,11.5,35,0
2017-09-21,09:50:00,11.5,11.5,11.5,11.5,150,0
2017-09-21,10:00:00,11.5,11.5,11.5,11.5,1040,0
2017-09-21,10:05:00,11.5,11.5,11.5,11.5,250,0
2017-09-21,10:35:00,11.5,11.5,11.5,11.5,1000,0
2017-09-21,11:00:00,11.42,11.42,11.42,11.42,100,0
2017-09-21,11:25:00,11.495,11.5,11.495,11.5,1560,0
2017-09-21,11:30:00,11.5,11.68,11.5,11.68,1649,0
2017-09-21,11:35:00,11.755,11.755,11.755,11.755,359,0
2017-09-21,11:50:00,11.85,11.85,11.85,11.85,200,0
2017-09-21,12:20:00,11.665,11.665,11.665,11.665,2000,0
2017-09-21,12:40:00,11.675,11.675,11.675,11.675,197,0
2017-09-21,12:45:00,11.585,11.7,11.585,11.7,448,0
2017-09-21,13:05:00,11.7,11.7,11.7,11.7,1552,0
2017-09-21,14:35:00,11.665,11.665,11.6,11.6,3190,0
2017-09-21,14:45:00,11.575,11.575,11.575,11.575,758,0
2017-09-21,14:50:00,11.58,11.58,11.58,11.58,500,0
2017-09-21,15:35:00,11.59,11.59,11.59,11.59,100,0
2017-09-21,16:10:00,11.575,11.575,11.5,11.5,4100,0
2017-09-21,16:15:00,11.45,11.45,11.45,11.45,220,0
2017-09-21,16:20:00,11.43,11.43,11.43,11.43,50,0
2017-09-21,16:35:00,11.5,11.525,11.5,11.525,740,0
2017-09-21,16:50:00,11.5,11.5,11.5,11.5,260,0
2017-09-21,17:25:00,11.395,11.395,11.39,11.39,1719,0
2017-09-21,17:30:00,11.385,11.385,11.255,11.315,1795,0
2017-09-22,09:05:00,11.355,11.355,11.355,11.355,1421,0
2017-09-22,09:10:00,11.45,11.45,11.35,11.4,1359,0
2017-09-22,09:45:00,11.385,11.385,11.385,11.385,87,0
2017-09-22,10:00:00,11.365,11.365,11.365,11.365,200,0
2017-09-22,10:20:00,11.34,11.34,11.34,11.34,847,0
2017-09-22,10:35:00,11.2,11.2,11.12,11.12,3140,0
2017-09-22,10:55:00,11.3,11.3,11.12,11.12,296,0
2017-09-22,11:15:00,11.12,11.12,11.12,11.12,100,0
2017-09-22,11:25:00,11.395,11.395,11.395,11.395,1267,0
2017-09-22,11:30:00,11.395,11.4,11.395,11.4,829,0
2017-09-22,11:55:00,11.205,11.205,11.205,11.205,2000,0
2017-09-22,12:10:00,11.45,11.45,11.45,11.45,100,0
2017-09-22,12:15:00,11.5,11.535,11.5,11.535,842,0
2017-09-22,13:50:00,11.495,11.495,11.495,11.495,241,0
2017-09-22,14:10:00,11.495,11.495,11.495,11.495,615,0
2017-09-22,14:25:00,11.49,11.49,11.49,11.49,350,0
2017-09-22,15:00:00,11.4,11.4,11.4,11.4,100,0
2017-09-22,15:15:00,11.22,11.22,11.22,11.22,900,0
2017-09-22,15:20:00,11.215,11.215,11.215,11.215,130,0
2017-09-22,15:25:00,11.22,11.22,11.22,11.22,400,0
2017-09-22,17:30:00,11.45,11.45,11.225,11.355,664,0
2017-09-25,09:05:00,11.5,11.5,11.5,11.5,950,0
2017-09-25,09:15:00,11.495,11.495,11.495,11.495,500,0
2017-09-25,09:20:00,11.495,11.495,11.495,11.495,130,0
2017-09-25,09:25:00,11.495,11.55,11.495,11.55,1226,0
2017-09-25,09:30:00,11.575,11.6,11.575,11.6,3612,0
2017-09-25,10:00:00,11.6,11.69,11.6,11.69,2500,0
2017-09-25,10:10:00,11.69,11.69,11.69,11.69,669,0
2017-09-25,10:20:00,11.795,11.87,11.795,11.87,2523,0
2017-09-25,10:25:00,11.995,11.995,11.995,11.995,1200,0
2017-09-25,10:30:00,11.995,11.995,11.995,11.995,100,0
2017-09-25,10:40:00,11.88,11.995,11.8,11.995,1527,0
2017-09-25,11:20:00,11.985,11.985,11.985,11.985,1000,0
2017-09-25,11:40:00,11.99,12.16,11.99,12.16,11754,0
2017-09-25,11:45:00,12.4,12.695,12.4,12.5,2650,0
2017-09-25,11:50:00,12.38,12.545,12.2,12.4,2893,0
2017-09-25,11:55:00,12.49,12.49,12.49,12.49,304,0
2017-09-25,12:00:00,12.54,12.54,12.21,12.495,1030,0
2017-09-25,12:05:00,12.485,12.485,12.3,12.3,1250,0
2017-09-25,12:10:00,12.475,12.54,12.475,12.54,1657,0
2017-09-25,12:35:00,12.515,12.515,12.51,12.515,580,0
2017-09-25,12:40:00,12.355,12.355,12.35,12.35,1000,0
2017-09-25,12:45:00,12.395,12.42,12.3,12.375,1537,0
2017-09-25,12:50:00,12.31,12.415,12.25,12.415,795,0
2017-09-25,12:55:00,12.28,12.28,12.28,12.28,50,0
2017-09-25,13:00:00,12.28,12.39,12.28,12.39,399,0
2017-09-25,13:40:00,12.47,12.47,12.47,12.47,2231,0
2017-09-25,14:25:00,12.465,12.465,12.465,12.465,3750,0
2017-09-25,14:55:00,12.305,12.305,12.305,12.305,50,0
2017-09-25,15:05:00,12.305,12.305,12.22,12.22,940,0
2017-09-25,15:15:00,12.475,12.475,12.205,12.205,1193,0
2017-09-25,15:50:00,12.485,12.485,12.485,12.485,120,0
2017-09-25,16:05:00,12.35,12.495,12.35,12.495,850,0
2017-09-25,16:45:00,12.44,12.5,12.255,12.255,1095,0
2017-09-25,17:05:00,12.255,12.255,12.215,12.215,2500,0
2017-09-25,17:10:00,12.205,12.205,12.01,12.01,3142,0
2017-09-25,17:15:00,12.255,12.255,11.925,11.925,652,0
2017-09-25,17:20:00,12.07,12.07,12.07,12.07,91,0
2017-09-25,17:25:00,12.1,12.1,12.1,12.1,150,0
2017-09-25,17:30:00,12.015,12.15,12,12,855,0
2017-09-26,09:05:00,12.21,12.21,12.21,12.21,20,0
2017-09-26,09:25:00,12.135,12.135,12.135,12.135,360,0
2017-09-26,09:30:00,12.155,12.155,12.155,12.155,400,0
2017-09-26,10:10:00,12.175,12.175,12.17,12.17,350,0
2017-09-26,11:20:00,12.455,12.455,12.455,12.455,113,0
2017-09-26,11:35:00,12.49,12.49,12.49,12.49,50,0
2017-09-26,11:40:00,12.49,12.49,12.49,12.49,50,0
2017-09-26,11:55:00,12.485,12.485,12.485,12.485,400,0
2017-09-26,12:35:00,12.48,12.635,12.48,12.635,8707,0
2017-09-26,12:40:00,12.48,12.48,12.355,12.47,3339,0
2017-09-26,12:55:00,12.465,12.465,12.465,12.465,140,0
2017-09-26,13:00:00,12.46,12.46,12.46,12.46,200,0
2017-09-26,13:15:00,12.305,12.305,12.305,12.305,250,0
2017-09-26,13:25:00,12.305,12.305,12.3,12.3,2000,0
2017-09-26,13:30:00,12.455,12.455,12.455,12.455,300,0
2017-09-26,13:35:00,12.37,12.37,12.37,12.37,360,0
2017-09-26,13:40:00,12.48,12.48,12.48,12.48,217,0
2017-09-26,13:45:00,12.5,12.5,12.5,12.5,850,0
2017-09-26,13:50:00,12.59,12.59,12.59,12.59,500,0
2017-09-26,14:15:00,12.745,12.87,12.745,12.825,820,0
2017-09-26,14:20:00,12.91,12.91,12.91,12.91,200,0
2017-09-26,14:35:00,12.885,12.885,12.885,12.885,100,0
2017-09-26,14:45:00,12.505,12.86,12.505,12.86,2516,0
2017-09-26,14:55:00,12.86,12.945,12.86,12.945,434,0
2017-09-26,15:00:00,12.86,12.86,12.86,12.86,200,0
2017-09-26,15:05:00,12.86,12.86,12.735,12.735,1466,0
2017-09-26,15:10:00,12.5,12.5,12.5,12.5,310,0
2017-09-26,15:30:00,12.65,12.65,12.65,12.65,464,0
2017-09-26,15:50:00,12.495,12.5,12.495,12.5,1183,0
2017-09-26,15:55:00,12.65,12.65,12.65,12.65,250,0
2017-09-26,16:00:00,12.645,12.645,12.645,12.645,250,0
2017-09-26,16:35:00,12.6,12.68,12.325,12.68,1295,0
2017-09-26,16:45:00,12.685,12.685,12.685,12.685,1594,0
2017-09-26,16:50:00,12.685,12.685,12.685,12.685,100,0
2017-09-26,17:05:00,12.685,12.8,12.685,12.8,2423,0
2017-09-26,17:15:00,12.5,12.5,12.5,12.5,1595,0
2017-09-26,17:30:00,12.455,12.68,12.3,12.68,2723,0
2017-09-27,09:05:00,12.6,12.795,12.6,12.795,1678,0
2017-09-27,09:10:00,12.795,12.795,12.795,12.795,596,0
2017-09-27,09:25:00,12.79,12.795,12.79,12.795,1050,0
2017-09-27,09:50:00,12.6,12.6,12.6,12.6,400,0
2017-09-27,10:00:00,12.555,12.555,12.555,12.555,400,0
2017-09-27,10:05:00,12.555,12.555,12.555,12.555,312,0
2017-09-27,10:10:00,12.57,12.57,12.57,12.57,480,0
2017-09-27,10:40:00,12.61,12.61,12.5,12.515,2500,0
2017-09-27,10:50:00,12.51,12.51,12.5,12.5,1114,0
2017-09-27,11:15:00,12.545,12.645,12.545,12.645,319,0
2017-09-27,11:25:00,12.645,12.645,12.645,12.645,1500,0
2017-09-27,12:45:00,12.505,12.505,12.5,12.5,2000,0
2017-09-27,13:10:00,12.5,12.5,12.46,12.46,1012,0
2017-09-27,13:20:00,12.265,12.42,12.25,12.25,3632,0
2017-09-27,13:25:00,12.11,12.11,11.615,11.675,5401,0
2017-09-27,13:30:00,11.6,11.795,11.6,11.74,1155,0
2017-09-27,13:35:00,11.67,11.67,11.67,11.67,100,0
2017-09-27,13:40:00,11.665,11.67,11.665,11.67,1122,0
