Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-13,09:05:00,0.013,0.013,0.013,0.013,50000,0
2015-04-14,09:05:00,0.014,0.014,0.014,0.014,3142,0
2015-04-15,13:15:00,0.013,0.013,0.013,0.013,50000,0
2015-04-15,13:20:00,0.013,0.013,0.013,0.013,50000,0
2015-04-17,14:10:00,0.011,0.011,0.011,0.011,12166,0
2015-04-17,14:15:00,0.011,0.011,0.011,0.011,12166,0
2015-04-24,13:05:00,0.011,0.011,0.011,0.011,500,0
2015-04-28,09:05:00,0.012,0.012,0.012,0.012,100,0
2015-04-30,16:00:00,0.011,0.011,0.01,0.01,260,0
2015-05-11,12:05:00,0.011,0.011,0.011,0.011,360,0
2015-05-11,16:50:00,0.01,0.01,0.01,0.01,4360,0
2015-05-19,15:40:00,0.01,0.01,0.01,0.01,150000,0
2015-05-20,09:05:00,0.011,0.011,0.011,0.011,5000,0
2015-05-20,09:20:00,0.011,0.011,0.011,0.011,5008,0
2015-05-27,15:10:00,0.011,0.011,0.011,0.011,166,0
2015-05-28,15:25:00,0.012,0.012,0.012,0.012,13207,0
2015-05-28,17:30:00,0.012,0.012,0.012,0.012,13307,0
2015-05-29,13:50:00,0.012,0.012,0.012,0.012,1000,0
2015-06-01,09:15:00,0.012,0.012,0.012,0.012,500,0
2015-06-08,09:05:00,0.012,0.012,0.011,0.011,220,0
2015-06-09,12:40:00,0.012,0.012,0.012,0.012,7000,0
2015-06-10,11:25:00,0.011,0.011,0.011,0.011,666,0
2015-06-15,09:05:00,0.012,0.012,0.012,0.012,1000,0
2015-06-16,12:45:00,0.012,0.012,0.012,0.012,300,0
2015-06-16,15:25:00,0.011,0.011,0.011,0.011,20300,0
2015-06-17,12:55:00,0.011,0.011,0.011,0.011,1500,0
2015-06-18,09:25:00,0.011,0.011,0.011,0.011,600,0
2015-06-19,09:05:00,0.012,0.013,0.012,0.013,2385,0
2015-06-19,12:10:00,0.011,0.011,0.011,0.011,122385,0
2015-06-22,09:05:00,0.011,0.011,0.011,0.011,152,0
2015-06-25,16:35:00,0.011,0.011,0.011,0.011,166,0
2015-06-25,17:30:00,0.011,0.011,0.011,0.011,666,0
2015-06-30,14:10:00,0.01,0.01,0.01,0.01,1000,0
2015-06-30,17:30:00,0.012,0.012,0.012,0.012,61000,0
2015-07-01,09:05:00,0.01,0.01,0.01,0.01,100000,0
2015-07-01,10:00:00,0.009,0.009,0.009,0.009,166,0
2015-07-01,11:50:00,0.009,0.009,0.009,0.009,1508796,0
2015-07-10,09:55:00,0.01,0.01,0.01,0.01,400,0
2015-07-13,09:05:00,0.01,0.01,0.01,0.01,3849,0
2015-07-13,11:35:00,0.009,0.009,0.009,0.009,10500,0
2015-07-13,17:00:00,0.011,0.011,0.011,0.011,15015,0
2015-07-16,16:40:00,0.01,0.01,0.01,0.01,268,0
2015-07-17,09:55:00,0.01,0.01,0.01,0.01,266,0
2015-07-21,10:15:00,0.01,0.01,0.01,0.01,2000,0
2015-07-23,11:55:00,0.009,0.009,0.009,0.009,10000,0
2015-07-27,15:40:00,0.01,0.01,0.01,0.01,200,0
2015-08-06,10:05:00,0.01,0.01,0.01,0.01,200,0
2015-08-07,10:05:00,0.011,0.011,0.011,0.011,13000,0
2015-08-11,11:20:00,0.011,0.011,0.011,0.011,1200,0
2015-08-12,09:05:00,0.012,0.012,0.012,0.012,520,0
2015-08-12,13:35:00,0.012,0.012,0.012,0.012,1540,0
2015-08-13,09:25:00,0.012,0.012,0.012,0.012,466,0
2015-08-18,14:20:00,0.012,0.012,0.011,0.011,70000,0
2015-08-18,15:10:00,0.009,0.013,0.009,0.013,370000,0
2015-08-19,09:05:00,0.009,0.009,0.009,0.009,220,0
2015-08-24,09:25:00,0.011,0.012,0.011,0.012,140000,0
2015-08-25,10:10:00,0.009,0.009,0.009,0.009,400,0
2015-09-01,15:35:00,0.01,0.01,0.01,0.01,2000,0
2015-09-03,14:35:00,0.01,0.01,0.01,0.01,2400,0
2015-09-08,14:15:00,0.01,0.01,0.01,0.01,132,0
2015-09-09,16:40:00,0.01,0.01,0.01,0.01,34,0
2015-09-11,17:30:00,0.01,0.01,0.01,0.01,720,0
2015-09-14,17:30:00,0.01,0.01,0.01,0.01,2000,0
2015-09-22,11:55:00,0.01,0.01,0.01,0.01,1300,0
2015-09-28,16:55:00,0.009,0.009,0.009,0.009,50000,0
2015-10-07,15:20:00,0.009,0.009,0.009,0.009,40000,0
2015-10-12,13:20:00,0.01,0.01,0.01,0.01,566,0
2015-10-23,19:55:00,0.01,0.01,0.01,0.01,400,0
2015-10-26,10:40:00,0.009,0.009,0.009,0.009,3500,0
2015-10-26,13:50:00,0.009,0.009,0.009,0.009,0,0
2015-10-26,14:10:00,0.008,0.008,0.008,0.008,83,0
2015-10-29,10:20:00,0.007,0.007,0.007,0.007,6250,0
2015-11-02,14:15:00,0.011,0.011,0.011,0.011,10000,0
2015-11-03,14:00:00,0.01,0.01,0.01,0.01,3,0
2015-11-04,09:40:00,0.007,0.007,0.007,0.007,500,0
2015-11-04,19:55:00,0.007,0.007,0.007,0.007,0,0
2015-11-05,16:20:00,0.011,0.011,0.011,0.011,47544,0
2015-11-06,17:10:00,0.01,0.01,0.01,0.01,1666,0
2015-11-10,11:15:00,0.008,0.008,0.008,0.008,75,0
2015-11-12,10:10:00,0.007,0.007,0.007,0.007,200,0
2015-11-12,15:25:00,0.006,0.006,0.006,0.006,0,0
2015-11-13,08:35:00,0.008,0.008,0.008,0.008,1500,0
2015-11-23,08:05:00,0.007,0.007,0.007,0.007,1000,0
2015-11-24,15:50:00,0.007,0.007,0.007,0.007,12200,0
2015-11-24,17:45:00,0.007,0.007,0.007,0.007,100000,0
2015-11-27,10:50:00,0.007,0.007,0.007,0.007,100,0
2015-12-07,09:40:00,0.007,0.007,0.007,0.007,2933,0
2015-12-09,10:50:00,0.006,0.006,0.006,0.006,6000,0
2015-12-09,15:25:00,0.006,0.006,0.006,0.006,3333,0
2015-12-11,13:30:00,0.006,0.006,0.006,0.006,1800,0
2015-12-17,17:25:00,0.014,0.014,0.014,0.014,160000,0
2015-12-17,17:30:00,0.006,0.006,0.004,0.004,160000,0
2015-12-21,10:25:00,0.006,0.006,0.006,0.006,166,0
2015-12-22,15:05:00,0.009,0.009,0.009,0.009,20000,0
2016-01-04,12:30:00,0.006,0.006,0.006,0.006,1,0
2016-01-06,11:10:00,0.01,0.01,0.01,0.01,10279,0
2016-01-06,11:40:00,0.006,0.006,0.006,0.006,225,0
2016-01-08,14:05:00,0.01,0.01,0.01,0.01,7780,0
2016-01-11,15:10:00,0.008,0.008,0.008,0.008,416,0
2016-01-14,19:35:00,0.006,0.006,0.006,0.006,34500,0
2016-01-18,11:45:00,0.007,0.007,0.007,0.007,280,0
2016-01-18,12:10:00,0.007,0.007,0.007,0.007,460,0
2016-01-22,11:30:00,0.006,0.006,0.006,0.006,5350,0
2016-01-22,17:30:00,0.005,0.005,0.005,0.005,0,0
2016-01-29,09:20:00,0.007,0.007,0.007,0.007,2000,0
2016-02-05,11:10:00,0.008,0.008,0.008,0.008,45,0
2016-02-05,19:10:00,0.008,0.008,0.008,0.008,70000,0
2016-02-08,16:30:00,0.008,0.008,0.008,0.008,100,0
2016-02-12,09:00:00,0.006,0.006,0.006,0.006,5000,0
2016-02-16,12:20:00,0.006,0.006,0.006,0.006,30000,0
2016-02-22,11:10:00,0.007,0.007,0.007,0.007,867,0
2016-02-26,10:00:00,0.006,0.006,0.006,0.006,250,0
2016-03-01,18:10:00,0.006,0.006,0.006,0.006,158000,0
2016-03-02,14:05:00,0.006,0.006,0.006,0.006,600,0
2016-03-14,12:50:00,0.007,0.007,0.007,0.007,250,0
2016-03-14,13:35:00,0.007,0.007,0.007,0.007,100,0
2016-03-15,09:45:00,0.007,0.007,0.007,0.007,3200,0
2016-03-16,10:30:00,0.007,0.007,0.007,0.007,2221,0
2016-03-22,16:30:00,0.007,0.007,0.007,0.007,834,0
2016-03-23,11:35:00,0.007,0.007,0.007,0.007,650,0
2016-03-24,10:50:00,0.007,0.007,0.007,0.007,500,0
2016-03-24,15:05:00,0.007,0.007,0.007,0.007,2000,0
2016-03-30,08:40:00,0.007,0.007,0.007,0.007,75,0
2016-04-04,18:30:00,0.007,0.007,0.007,0.007,167,0
2016-04-08,17:40:00,0.007,0.007,0.007,0.007,3451,0
2016-04-11,09:15:00,0.006,0.006,0.006,0.006,1534,0
2016-04-12,15:00:00,0.006,0.006,0.006,0.006,466,0
2016-04-15,08:20:00,0.006,0.006,0.006,0.006,90000,0
2016-04-15,08:45:00,0.007,0.007,0.007,0.007,50000,0
2016-04-15,14:05:00,0.009,0.009,0.009,0.009,100000,0
2016-04-15,15:00:00,0.009,0.011,0.009,0.011,53200,0
2016-04-15,15:45:00,0.012,0.012,0.012,0.012,50000,0
2016-04-15,16:00:00,0.012,0.012,0.012,0.012,50000,0
2016-04-15,16:40:00,0.012,0.012,0.012,0.012,500,0
2016-04-15,17:35:00,0.013,0.013,0.013,0.013,50000,0
2016-04-15,17:40:00,0.015,0.015,0.015,0.015,5000,0
2016-04-19,08:15:00,0.012,0.012,0.012,0.012,10000,0
2016-04-21,16:25:00,0.009,0.009,0.009,0.009,15000,0
