Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,09:50:00,2.062,2.062,2.062,2.062,2000,0
2015-04-08,16:35:00,2.056,2.056,2.056,2.056,2220,0
2015-04-09,12:25:00,2.06,2.06,2.06,2.06,40,0
2015-04-13,09:05:00,2.1,2.1,2.1,2.1,6,0
2015-04-13,14:35:00,2.06,2.06,2.06,2.06,266,0
2015-04-14,09:05:00,2.06,2.06,2.055,2.055,12,0
2015-04-15,13:20:00,2.341,2.341,2.341,2.341,2538,0
2015-04-15,15:50:00,2.321,2.321,2.321,2.321,4538,0
2015-04-16,15:45:00,2.2,2.2,2.2,2.2,1200,0
2015-04-16,15:50:00,2.2,2.2,2.2,2.2,1200,0
2015-04-17,10:00:00,2.328,2.328,2.328,2.328,2400,0
2015-04-20,11:15:00,2.15,2.15,2.15,2.15,4,0
2015-04-20,14:25:00,2.15,2.15,2.15,2.15,1304,0
2015-04-21,17:25:00,2.15,2.15,2.15,2.15,200,0
2015-04-21,17:30:00,2.15,2.15,2.15,2.15,200,0
2015-04-22,09:05:00,2.142,2.142,2.142,2.142,2200,0
2015-04-23,09:15:00,2.15,2.15,2.15,2.15,14,0
2015-04-23,09:20:00,2.15,2.15,2.15,2.15,14,0
2015-04-29,10:40:00,2.094,2.094,2.094,2.094,32,0
2015-04-29,11:05:00,2.11,2.11,2.11,2.11,2,0
2015-04-29,12:05:00,2.11,2.11,2.11,2.11,38,0
2015-05-05,09:05:00,2.29,2.29,2.29,2.29,3300,0
2015-05-05,11:25:00,2.09,2.09,2.09,2.09,1,0
2015-05-05,17:30:00,2.36,2.36,2.36,2.36,5301,0
2015-05-06,10:10:00,2.337,2.337,2.337,2.337,2000,0
2015-05-06,16:45:00,2.1,2.1,2.1,2.1,2200,0
2015-05-08,16:05:00,2.338,2.338,2.338,2.338,1000,0
2015-05-11,10:10:00,2.08,2.08,2.08,2.08,73,0
2015-05-11,17:30:00,2.12,2.12,2.12,2.12,161,0
2015-05-14,15:35:00,2.338,2.338,2.338,2.338,2124,0
2015-05-15,15:35:00,2.08,2.08,2.08,2.08,30,0
2015-05-15,16:00:00,2.08,2.08,2.08,2.08,38,0
2015-05-21,11:40:00,2.3,2.3,2.3,2.3,2000,0
2015-05-22,09:35:00,2.29,2.31,2.29,2.31,12000,0
2015-05-27,16:15:00,2.338,2.34,2.338,2.34,5076,0
2015-05-28,17:30:00,2.165,2.165,2.165,2.165,400,0
2015-06-08,09:05:00,2.32,2.32,2.32,2.32,25,0
2015-06-08,12:30:00,2.31,2.31,2.31,2.31,47,0
2015-06-09,17:30:00,2.28,2.28,2.28,2.28,120,0
2015-06-11,17:25:00,2.231,2.231,2.231,2.231,1172,0
2015-06-12,09:05:00,2.048,2.095,1.998,2.095,2500,0
2015-06-12,10:05:00,2.139,2.25,2.139,2.25,1000,0
2015-06-12,15:15:00,2.26,2.26,2.26,2.26,3512,0
2015-06-15,12:05:00,2.26,2.26,2.26,2.26,8,0
