Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,36.425,36.445,36.4,36.42,16378,0
2017-10-26,09:10:00,36.42,36.43,36.375,36.395,5640,0
2017-10-26,09:15:00,36.4,36.495,36.4,36.495,10829,0
2017-10-26,09:20:00,36.53,36.535,36.48,36.495,14943,0
2017-10-26,09:25:00,36.49,36.51,36.425,36.505,9305,0
2017-10-26,09:30:00,36.515,36.545,36.505,36.54,5118,0
2017-10-26,09:35:00,36.535,36.535,36.51,36.51,10225,0
2017-10-26,09:40:00,36.515,36.515,36.5,36.505,2418,0
2017-10-26,09:45:00,36.5,36.525,36.48,36.48,5204,0
2017-10-26,09:50:00,36.49,36.505,36.485,36.5,4353,0
2017-10-26,09:55:00,36.495,36.5,36.48,36.48,7706,0
2017-10-26,10:00:00,36.49,36.5,36.485,36.485,3563,0
2017-10-26,10:05:00,36.48,36.49,36.465,36.465,2815,0
2017-10-26,10:10:00,36.45,36.49,36.45,36.485,11778,0
2017-10-26,10:15:00,36.495,36.54,36.49,36.505,9318,0
2017-10-26,10:20:00,36.505,36.505,36.475,36.475,2488,0
2017-10-26,10:25:00,36.47,36.505,36.47,36.5,9987,0
2017-10-26,10:30:00,36.505,36.52,36.495,36.5,4057,0
2017-10-26,10:35:00,36.505,36.52,36.505,36.505,3647,0
2017-10-26,10:40:00,36.515,36.515,36.485,36.5,3705,0
2017-10-26,10:45:00,36.495,36.495,36.49,36.49,840,0
2017-10-26,10:50:00,36.495,36.52,36.49,36.52,10296,0
2017-10-26,10:55:00,36.525,36.555,36.515,36.55,3966,0
2017-10-26,11:00:00,36.55,36.57,36.545,36.56,5031,0
2017-10-26,11:05:00,36.56,36.565,36.55,36.555,7791,0
2017-10-26,11:10:00,36.565,36.57,36.555,36.565,5041,0
2017-10-26,11:15:00,36.56,36.58,36.56,36.575,8904,0
2017-10-26,11:20:00,36.57,36.575,36.545,36.545,17933,0
2017-10-26,11:25:00,36.54,36.555,36.51,36.51,27402,0
2017-10-26,11:30:00,36.51,36.51,36.48,36.48,10945,0
2017-10-26,11:35:00,36.485,36.495,36.475,36.485,10257,0
2017-10-26,11:40:00,36.485,36.485,36.475,36.48,5871,0
2017-10-26,11:45:00,36.475,36.475,36.4,36.4,20188,0
2017-10-26,11:50:00,36.405,36.41,36.4,36.41,10452,0
2017-10-26,11:55:00,36.405,36.425,36.395,36.395,13794,0
2017-10-26,12:00:00,36.395,36.415,36.355,36.415,15754,0
2017-10-26,12:05:00,36.425,36.455,36.42,36.455,8834,0
2017-10-26,12:10:00,36.455,36.46,36.385,36.395,12704,0
2017-10-26,12:15:00,36.41,36.415,36.39,36.39,4077,0
2017-10-26,12:20:00,36.385,36.42,36.385,36.41,3537,0
2017-10-26,12:25:00,36.405,36.415,36.395,36.4,7427,0
2017-10-26,12:30:00,36.405,36.415,36.39,36.4,4615,0
2017-10-26,12:35:00,36.395,36.405,36.395,36.395,3783,0
2017-10-26,12:40:00,36.405,36.425,36.4,36.415,4165,0
2017-10-26,12:45:00,36.415,36.415,36.4,36.41,3204,0
2017-10-26,12:50:00,36.405,36.425,36.405,36.41,2668,0
2017-10-26,12:55:00,36.415,36.445,36.415,36.435,7595,0
2017-10-26,13:00:00,36.445,36.455,36.425,36.435,7640,0
2017-10-26,13:05:00,36.465,36.465,36.42,36.435,5331,0
2017-10-26,13:10:00,36.435,36.46,36.435,36.445,4036,0
2017-10-26,13:15:00,36.445,36.445,36.4,36.42,4846,0
2017-10-26,13:20:00,36.425,36.425,36.415,36.425,2650,0
2017-10-26,13:25:00,36.425,36.455,36.425,36.45,2954,0
2017-10-26,13:30:00,36.455,36.485,36.455,36.485,2390,0
2017-10-26,13:35:00,36.495,36.495,36.435,36.435,8221,0
2017-10-26,13:40:00,36.43,36.455,36.43,36.455,3125,0
2017-10-26,13:45:00,36.46,36.485,36.44,36.44,13153,0
2017-10-26,13:50:00,36.42,36.54,36.38,36.52,52971,0
2017-10-26,13:55:00,36.53,36.585,36.53,36.585,19188,0
2017-10-26,14:00:00,36.605,36.625,36.59,36.595,15336,0
2017-10-26,14:05:00,36.595,36.625,36.58,36.585,15560,0
2017-10-26,14:10:00,36.595,36.61,36.575,36.595,11133,0
2017-10-26,14:15:00,36.595,36.63,36.585,36.63,14683,0
2017-10-26,14:20:00,36.63,36.63,36.605,36.605,6142,0
2017-10-26,14:25:00,36.61,36.64,36.61,36.635,6912,0
2017-10-26,14:30:00,36.63,36.63,36.555,36.56,15941,0
2017-10-26,14:35:00,36.55,36.58,36.535,36.56,12065,0
2017-10-26,14:40:00,36.555,36.565,36.505,36.505,8858,0
2017-10-26,14:45:00,36.51,36.53,36.51,36.53,5989,0
2017-10-26,14:50:00,36.53,36.54,36.52,36.525,10044,0
2017-10-26,14:55:00,36.53,36.54,36.51,36.525,6258,0
2017-10-26,15:00:00,36.53,36.53,36.48,36.48,7116,0
2017-10-26,15:05:00,36.47,36.47,36.44,36.445,8521,0
2017-10-26,15:10:00,36.445,36.46,36.44,36.45,6425,0
2017-10-26,15:15:00,36.455,36.47,36.44,36.46,9804,0
2017-10-26,15:20:00,36.455,36.475,36.455,36.465,9176,0
2017-10-26,15:25:00,36.46,36.49,36.455,36.49,3830,0
2017-10-26,15:30:00,36.49,36.51,36.49,36.51,7812,0
2017-10-26,15:35:00,36.51,36.54,36.485,36.53,15935,0
2017-10-26,15:40:00,36.54,36.595,36.535,36.595,11175,0
2017-10-26,15:45:00,36.6,36.6,36.58,36.585,9469,0
2017-10-26,15:50:00,36.585,36.61,36.575,36.585,18548,0
2017-10-26,15:55:00,36.59,36.635,36.59,36.625,30312,0
2017-10-26,16:00:00,36.625,36.65,36.62,36.65,12458,0
2017-10-26,16:05:00,36.65,36.655,36.59,36.59,35177,0
2017-10-26,16:10:00,36.585,36.585,36.55,36.55,21332,0
2017-10-26,16:15:00,36.55,36.55,36.5,36.5,20724,0
2017-10-26,16:20:00,36.49,36.505,36.48,36.49,17722,0
2017-10-26,16:25:00,36.5,36.525,36.475,36.525,23988,0
2017-10-26,16:30:00,36.52,36.585,36.52,36.575,33164,0
2017-10-26,16:35:00,36.58,36.585,36.54,36.565,20319,0
2017-10-26,16:40:00,36.565,36.61,36.56,36.58,70175,0
2017-10-26,16:45:00,36.58,36.655,36.555,36.645,92811,0
2017-10-26,16:50:00,36.65,36.705,36.65,36.695,20883,0
2017-10-26,16:55:00,36.695,36.74,36.695,36.74,14677,0
2017-10-26,17:00:00,36.75,36.775,36.7,36.705,16832,0
2017-10-26,17:05:00,36.705,36.725,36.685,36.715,14279,0
2017-10-26,17:10:00,36.72,36.73,36.7,36.725,14824,0
2017-10-26,17:15:00,36.715,36.725,36.695,36.725,13738,0
2017-10-26,17:20:00,36.725,36.725,36.685,36.725,25869,0
2017-10-26,17:25:00,36.725,36.73,36.685,36.685,26320,0
2017-10-26,17:30:00,36.685,36.77,36.67,36.67,504025,0
2017-10-27,09:05:00,36.9,36.91,36.795,36.84,27085,0
2017-10-27,09:10:00,36.835,37.09,36.825,37,39762,0
2017-10-27,09:15:00,37.045,37.045,36.96,37.005,20193,0
