Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-12,09:05:00,55.81,55.87,55.81,55.85,110,0
2017-10-12,09:20:00,55.96,55.99,55.96,55.99,34,0
2017-10-12,09:25:00,56.06,56.09,56.06,56.09,100,0
2017-10-12,09:40:00,56.01,56.01,56.01,56.01,1,0
2017-10-12,09:55:00,56.01,56.01,56.01,56.01,8,0
2017-10-12,10:45:00,56.01,56.01,55.89,55.9,663,0
2017-10-12,10:50:00,55.89,55.89,55.89,55.89,56,0
2017-10-12,10:55:00,55.99,55.99,55.99,55.99,94,0
2017-10-12,11:05:00,56.05,56.18,56,56.12,628,0
2017-10-12,11:10:00,56.01,56.12,56,56.12,261,0
2017-10-12,11:20:00,56.03,56.03,55.94,56,844,0
2017-10-12,11:30:00,55.89,55.95,55.81,55.95,1074,0
2017-10-12,11:35:00,55.81,55.85,55.81,55.85,192,0
2017-10-12,12:00:00,55.81,55.85,55.81,55.85,200,0
2017-10-12,12:05:00,55.74,55.74,55.65,55.65,240,0
2017-10-12,12:35:00,55.79,55.8,55.79,55.8,60,0
2017-10-12,12:40:00,55.8,55.8,55.8,55.8,11,0
2017-10-12,12:55:00,55.75,55.75,55.75,55.75,1,0
2017-10-12,13:00:00,55.8,55.8,55.8,55.8,6,0
2017-10-12,13:10:00,55.76,55.76,55.71,55.71,90,0
2017-10-12,13:35:00,55.76,55.76,55.76,55.76,17,0
2017-10-12,13:55:00,55.82,55.82,55.82,55.82,20,0
2017-10-12,14:10:00,55.82,55.82,55.82,55.82,140,0
2017-10-12,14:15:00,55.84,55.84,55.84,55.84,18,0
2017-10-12,14:20:00,55.87,55.87,55.87,55.87,4,0
2017-10-12,14:30:00,55.87,55.87,55.87,55.87,36,0
2017-10-12,14:50:00,55.75,55.75,55.75,55.75,1,0
2017-10-12,14:55:00,55.75,55.75,55.75,55.75,19,0
2017-10-12,15:15:00,55.75,55.86,55.75,55.86,28,0
2017-10-12,15:20:00,55.86,55.89,55.86,55.89,54,0
2017-10-12,15:35:00,55.89,55.89,55.89,55.89,37,0
2017-10-12,15:55:00,55.77,55.89,55.77,55.89,94,0
2017-10-12,16:00:00,55.88,55.88,55.88,55.88,76,0
2017-10-12,16:05:00,55.82,55.82,55.82,55.82,200,0
2017-10-12,16:15:00,55.89,55.94,55.89,55.94,117,0
2017-10-12,16:30:00,56,56.05,56,56.05,899,0
2017-10-12,16:35:00,56.04,56.04,56.04,56.04,16,0
2017-10-12,16:40:00,56.07,56.07,56.07,56.07,19,0
2017-10-12,16:45:00,56.11,56.13,56.1,56.13,155,0
2017-10-12,16:50:00,56.14,56.14,56.14,56.14,8,0
2017-10-12,16:55:00,56.15,56.22,56.11,56.22,1053,0
