Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,149.25,149.25,147.05,149,4175,0
2017-10-26,09:10:00,148.8,149.25,148.75,149.25,1861,0
2017-10-26,09:15:00,149.1,149.1,148.8,148.85,411,0
2017-10-26,09:20:00,148.95,148.95,148.75,148.75,56,0
2017-10-26,09:25:00,148.9,149,148.9,149,505,0
2017-10-26,09:30:00,149,149.2,149,149.2,459,0
2017-10-26,09:35:00,149.3,149.35,149.2,149.2,386,0
2017-10-26,09:40:00,149.15,149.15,148.95,148.95,364,0
2017-10-26,09:45:00,148.95,149.15,148.9,149,2017,0
2017-10-26,09:50:00,149,149,148.9,149,173,0
2017-10-26,09:55:00,149.1,149.25,149.05,149.25,265,0
2017-10-26,10:00:00,149.1,149.45,149.1,149.35,328,0
2017-10-26,10:05:00,149.3,149.3,149.3,149.3,15,0
2017-10-26,10:10:00,149.15,149.2,149.1,149.15,326,0
2017-10-26,10:15:00,149.2,149.2,149.2,149.2,120,0
2017-10-26,10:20:00,149.25,149.25,149.25,149.25,176,0
2017-10-26,10:25:00,149.15,149.15,149.1,149.1,90,0
2017-10-26,10:30:00,149.25,149.3,149.15,149.2,367,0
2017-10-26,10:35:00,149.25,149.3,149.25,149.25,75,0
2017-10-26,10:40:00,149.2,149.2,149,149,1210,0
2017-10-26,10:45:00,149,149.1,149,149.1,445,0
2017-10-26,10:50:00,149.15,149.2,149.1,149.2,260,0
2017-10-26,10:55:00,149.15,149.2,149.15,149.2,97,0
2017-10-26,11:00:00,149.2,149.35,149.2,149.3,724,0
2017-10-26,11:05:00,149.25,149.25,149.1,149.1,294,0
2017-10-26,11:10:00,149.1,149.2,149.1,149.2,274,0
2017-10-26,11:15:00,149.15,149.25,149.1,149.25,526,0
2017-10-26,11:20:00,149.15,149.15,149.15,149.15,62,0
2017-10-26,11:25:00,149.2,149.2,149.15,149.15,189,0
2017-10-26,11:30:00,149.15,149.3,149.15,149.3,222,0
2017-10-26,11:35:00,149.25,149.25,149.25,149.25,162,0
2017-10-26,11:40:00,149.2,149.25,149.2,149.25,50,0
2017-10-26,11:45:00,149.2,149.2,149.2,149.2,25,0
2017-10-26,11:50:00,149.2,149.25,149.2,149.2,139,0
2017-10-26,11:55:00,149.25,149.3,149,149,1446,0
