Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-15,09:05:00,4.522,4.522,4.522,4.522,1290,0
2017-09-15,09:10:00,4.511,4.511,4.511,4.511,250,0
2017-09-15,09:50:00,4.592,4.701,4.592,4.701,284,0
2017-09-15,10:05:00,4.602,4.602,4.602,4.602,500,0
2017-09-15,10:20:00,4.619,4.704,4.619,4.704,75,0
2017-09-15,13:35:00,4.608,4.608,4.608,4.608,181,0
2017-09-15,14:30:00,4.527,4.527,4.527,4.527,49,0
2017-09-15,14:35:00,4.611,4.611,4.611,4.611,300,0
2017-09-15,14:40:00,4.569,4.697,4.569,4.697,223,0
2017-09-15,15:35:00,4.58,4.58,4.58,4.58,100,0
2017-09-15,16:15:00,4.62,4.62,4.615,4.615,2313,0
2017-09-15,17:30:00,4.619,4.619,4.6,4.6,1587,0
2017-09-18,09:05:00,4.6,4.6,4.6,4.6,1100,0
2017-09-18,09:35:00,4.593,4.593,4.593,4.593,200,0
2017-09-18,09:45:00,4.593,4.593,4.593,4.593,1090,0
2017-09-18,09:50:00,4.517,4.517,4.513,4.513,2032,0
2017-09-18,10:15:00,4.52,4.52,4.52,4.52,932,0
2017-09-18,11:05:00,4.583,4.709,4.583,4.709,1364,0
2017-09-18,11:10:00,4.512,4.512,4.512,4.512,129,0
2017-09-18,12:20:00,4.512,4.512,4.512,4.512,996,0
2017-09-18,12:25:00,4.511,4.637,4.5,4.637,2331,0
2017-09-18,12:55:00,4.55,4.597,4.55,4.597,5068,0
2017-09-18,14:10:00,4.511,4.511,4.5,4.5,1896,0
2017-09-18,14:35:00,4.53,4.53,4.53,4.53,500,0
2017-09-18,16:05:00,4.5,4.5,4.488,4.488,2800,0
2017-09-18,16:15:00,4.385,4.385,4.297,4.3,9721,0
2017-09-18,16:20:00,4.4,4.4,4.4,4.4,300,0
2017-09-18,16:45:00,4.529,4.529,4.529,4.529,115,0
2017-09-18,17:00:00,4.4,4.4,4.4,4.4,900,0
2017-09-18,17:10:00,4.467,4.467,4.467,4.467,40,0
2017-09-18,17:15:00,4.45,4.45,4.45,4.45,1100,0
2017-09-18,17:30:00,4.402,4.444,4.4,4.444,745,0
2017-09-19,09:05:00,4.42,4.42,4.42,4.42,3823,0
2017-09-19,09:15:00,4.4,4.4,4.4,4.4,200,0
2017-09-19,09:45:00,4.42,4.42,4.42,4.42,200,0
2017-09-19,10:05:00,4.42,4.42,4.42,4.42,138,0
2017-09-19,10:20:00,4.351,4.351,4.351,4.351,400,0
2017-09-19,10:45:00,4.351,4.351,4.351,4.351,1500,0
2017-09-19,11:35:00,4.369,4.369,4.369,4.369,125,0
2017-09-19,12:20:00,4.366,4.366,4.366,4.366,230,0
2017-09-19,13:15:00,4.4,4.4,4.4,4.4,95,0
2017-09-19,14:15:00,4.351,4.351,4.351,4.351,314,0
2017-09-19,15:25:00,4.351,4.351,4.351,4.351,910,0
2017-09-19,15:55:00,4.37,4.37,4.37,4.37,245,0
2017-09-19,16:55:00,4.354,4.354,4.354,4.354,800,0
2017-09-19,17:10:00,4.43,4.44,4.43,4.44,1917,0
2017-09-19,17:15:00,4.446,4.446,4.446,4.446,1993,0
2017-09-19,17:20:00,4.44,4.44,4.435,4.435,1047,0
2017-09-19,17:30:00,4.44,4.44,4.351,4.351,1132,0
2017-09-20,09:15:00,4.38,4.38,4.38,4.38,500,0
2017-09-20,09:20:00,4.38,4.38,4.38,4.38,400,0
2017-09-20,10:40:00,4.38,4.38,4.35,4.35,1131,0
2017-09-20,11:10:00,4.35,4.35,4.35,4.35,1191,0
2017-09-20,11:50:00,4.27,4.27,4.239,4.239,2345,0
2017-09-20,12:55:00,4.319,4.364,4.319,4.364,1800,0
2017-09-20,13:25:00,4.349,4.349,4.349,4.349,250,0
2017-09-20,13:40:00,4.349,4.35,4.349,4.35,869,0
2017-09-20,13:45:00,4.35,4.35,4.35,4.35,131,0
2017-09-20,13:55:00,4.349,4.35,4.349,4.35,1000,0
2017-09-20,14:20:00,4.32,4.32,4.32,4.32,1000,0
2017-09-20,15:35:00,4.349,4.349,4.349,4.349,101,0
2017-09-20,16:20:00,4.3,4.3,4.3,4.3,1050,0
2017-09-20,17:00:00,4.349,4.35,4.349,4.35,1362,0
2017-09-20,17:10:00,4.364,4.46,4.364,4.46,3363,0
2017-09-20,17:20:00,4.458,4.458,4.458,4.458,2300,0
2017-09-20,17:30:00,4.303,4.453,4.303,4.452,3544,0
2017-09-21,09:10:00,4.899,4.92,4.899,4.92,19416,0
2017-09-21,09:15:00,4.95,4.95,4.95,4.95,1430,0
2017-09-21,09:20:00,4.97,5,4.951,5,7650,0
2017-09-21,09:25:00,5,5.08,5,5.08,7490,0
2017-09-21,09:30:00,5.08,5.08,5.033,5.06,5867,0
2017-09-21,09:35:00,5.049,5.05,4.95,4.967,12427,0
2017-09-21,09:40:00,4.907,4.988,4.907,4.988,2779,0
2017-09-21,09:45:00,4.988,5.049,4.941,5.034,11884,0
2017-09-21,09:50:00,4.944,5.007,4.941,4.941,3875,0
2017-09-21,09:55:00,4.945,5,4.94,5,3673,0
2017-09-21,10:00:00,5,5,5,5,1200,0
2017-09-21,10:05:00,4.946,4.999,4.941,4.999,1600,0
2017-09-21,10:10:00,4.998,5.019,4.998,5.019,3000,0
2017-09-21,10:15:00,5.018,5.018,5.018,5.018,2000,0
