Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,128.7,129,128.7,128.75,6417,0
2017-10-26,09:10:00,128.35,128.35,127.75,128,4456,0
2017-10-26,09:15:00,128.1,128.25,127.55,128.2,3695,0
2017-10-26,09:20:00,128.2,128.55,127.95,128.05,2046,0
2017-10-26,09:25:00,127.95,128.2,127,127.15,4617,0
2017-10-26,09:30:00,127.15,127.15,126.75,126.9,3543,0
2017-10-26,09:35:00,127.05,128.2,127.05,127.9,1451,0
2017-10-26,09:40:00,127.9,128,127.7,127.7,1315,0
2017-10-26,09:45:00,127.65,127.65,126.75,126.9,1968,0
2017-10-26,09:50:00,126.85,127.05,126.85,126.85,847,0
2017-10-26,09:55:00,126.75,126.75,126.25,126.65,3511,0
2017-10-26,10:00:00,126.65,127.05,126.55,126.9,1197,0
2017-10-26,10:05:00,127.15,127.35,127.15,127.25,737,0
2017-10-26,10:10:00,127.25,127.25,126.85,127.2,1932,0
2017-10-26,10:15:00,127.25,127.3,127.05,127.15,1706,0
2017-10-26,10:20:00,127.3,127.5,127.25,127.5,624,0
2017-10-26,10:25:00,127.45,127.45,127.2,127.4,1180,0
2017-10-26,10:30:00,127.45,127.75,127.45,127.75,3627,0
2017-10-26,10:35:00,127.8,128.15,127.8,128.1,2571,0
2017-10-26,10:40:00,128.05,128.1,127.8,128.1,1016,0
2017-10-26,10:45:00,128.05,128.3,127.9,128.3,3211,0
2017-10-26,10:50:00,128.25,128.35,128.2,128.25,1035,0
2017-10-26,10:55:00,128.2,128.2,127.7,128,1963,0
2017-10-26,11:00:00,127.95,127.95,127.65,127.65,569,0
2017-10-26,11:05:00,127.65,127.65,127.4,127.4,1261,0
2017-10-26,11:10:00,127.35,127.5,127.35,127.5,376,0
2017-10-26,11:15:00,127.5,127.7,127.45,127.5,901,0
2017-10-26,11:20:00,127.5,127.65,127.4,127.65,565,0
2017-10-26,11:25:00,127.6,127.65,127.5,127.65,467,0
2017-10-26,11:30:00,127.65,127.8,127.65,127.8,366,0
2017-10-26,11:35:00,127.85,128.1,127.85,128.1,1141,0
2017-10-26,11:40:00,128.05,128.05,127.95,127.95,579,0
2017-10-26,11:45:00,128,128.8,128,128.4,4060,0
2017-10-26,11:50:00,128.4,128.9,128.4,128.9,1222,0
