Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-02,09:05:00,3.571,3.571,3.571,3.571,6452,0
2017-10-02,09:10:00,3.57,3.57,3.56,3.56,10000,0
2017-10-02,09:15:00,3.54,3.54,3.54,3.54,5148,0
2017-10-02,09:20:00,3.537,3.538,3.537,3.538,3479,0
2017-10-02,09:25:00,3.598,3.598,3.598,3.598,1,0
2017-10-02,09:35:00,3.55,3.55,3.55,3.55,5000,0
2017-10-02,09:40:00,3.55,3.55,3.55,3.55,4000,0
2017-10-02,09:50:00,3.544,3.544,3.54,3.54,2319,0
2017-10-02,09:55:00,3.544,3.56,3.544,3.56,1646,0
2017-10-02,10:00:00,3.55,3.55,3.55,3.55,4787,0
2017-10-02,10:10:00,3.56,3.56,3.56,3.56,24881,0
2017-10-02,10:20:00,3.561,3.561,3.561,3.561,25,0
2017-10-02,10:30:00,3.561,3.561,3.544,3.544,1099,0
2017-10-02,10:35:00,3.544,3.544,3.544,3.544,969,0
2017-10-02,10:40:00,3.55,3.552,3.55,3.552,5400,0
2017-10-02,10:50:00,3.552,3.553,3.547,3.553,2199,0
2017-10-02,10:55:00,3.579,3.599,3.579,3.599,10000,0
2017-10-02,11:20:00,3.573,3.573,3.552,3.552,2500,0
2017-10-02,11:35:00,3.556,3.556,3.551,3.551,1657,0
2017-10-02,11:40:00,3.575,3.575,3.575,3.575,698,0
2017-10-02,12:00:00,3.564,3.564,3.564,3.564,1,0
2017-10-02,12:05:00,3.56,3.56,3.555,3.555,1097,0
2017-10-02,12:10:00,3.555,3.555,3.54,3.54,2440,0
2017-10-02,12:15:00,3.542,3.542,3.542,3.542,600,0
2017-10-02,12:40:00,3.541,3.55,3.541,3.55,1293,0
2017-10-02,12:55:00,3.548,3.548,3.535,3.544,6057,0
2017-10-02,13:05:00,3.557,3.557,3.545,3.545,256,0
2017-10-02,13:10:00,3.541,3.541,3.541,3.541,88,0
2017-10-02,13:30:00,3.542,3.542,3.542,3.542,628,0
2017-10-02,13:35:00,3.542,3.542,3.541,3.542,1827,0
