Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,78.87,79.75,78.84,79.7,22944,0
2017-10-26,09:10:00,79.67,79.74,79.45,79.63,15937,0
2017-10-26,09:15:00,79.68,80.1,79.65,80.06,18567,0
2017-10-26,09:20:00,80.1,80.45,80.08,80.43,21605,0
2017-10-26,09:25:00,80.44,80.65,80.42,80.63,14145,0
2017-10-26,09:30:00,80.62,80.78,80.58,80.78,14808,0
2017-10-26,09:35:00,80.78,80.97,80.54,80.65,18192,0
2017-10-26,09:40:00,80.65,80.77,80.55,80.66,6635,0
2017-10-26,09:45:00,80.68,80.74,80.54,80.56,8352,0
2017-10-26,09:50:00,80.53,80.72,80.51,80.66,10283,0
2017-10-26,09:55:00,80.65,80.66,80.57,80.62,3815,0
2017-10-26,10:00:00,80.61,80.95,80.58,80.84,16225,0
2017-10-26,10:05:00,80.81,81.13,80.77,81.13,11310,0
2017-10-26,10:10:00,81.12,81.15,81.05,81.07,12386,0
2017-10-26,10:15:00,81.09,81.19,81.07,81.19,7047,0
2017-10-26,10:20:00,81.17,81.19,81.06,81.07,6930,0
2017-10-26,10:25:00,81.06,81.1,80.89,80.89,4726,0
2017-10-26,10:30:00,80.91,80.99,80.91,80.91,2779,0
2017-10-26,10:35:00,80.9,80.95,80.81,80.82,3557,0
2017-10-26,10:40:00,80.8,80.83,80.77,80.83,4210,0
2017-10-26,10:45:00,80.81,80.88,80.76,80.88,9554,0
2017-10-26,10:50:00,80.84,80.84,80.62,80.65,9011,0
2017-10-26,10:55:00,80.67,80.71,80.59,80.64,6536,0
2017-10-26,11:00:00,80.7,80.71,80.65,80.69,2541,0
2017-10-26,11:05:00,80.71,80.76,80.67,80.7,4092,0
2017-10-26,11:10:00,80.71,80.76,80.7,80.75,2461,0
2017-10-26,11:15:00,80.74,80.74,80.69,80.72,2636,0
2017-10-26,11:20:00,80.73,80.73,80.65,80.66,3077,0
2017-10-26,11:25:00,80.64,80.77,80.63,80.76,4132,0
2017-10-26,11:30:00,80.76,80.85,80.76,80.78,7316,0
2017-10-26,11:35:00,80.78,80.82,80.76,80.8,1638,0
2017-10-26,11:40:00,80.8,80.89,80.8,80.88,2439,0
2017-10-26,11:45:00,80.9,81.05,80.9,81.05,4359,0
2017-10-26,11:50:00,81.05,81.1,81.03,81.06,5067,0
2017-10-26,11:55:00,81.06,81.09,81.03,81.03,5253,0
2017-10-26,12:00:00,81.05,81.1,81.04,81.1,2080,0
