Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-19,09:05:00,3.531,3.531,3.531,3.531,1900,0
2017-06-19,10:35:00,3.573,3.573,3.573,3.573,50,0
2017-06-19,13:35:00,3.563,3.563,3.563,3.563,100,0
2017-06-19,14:40:00,3.563,3.563,3.563,3.563,1367,0
2017-06-19,16:15:00,3.556,3.556,3.556,3.556,2100,0
2017-06-20,09:05:00,3.57,3.57,3.57,3.57,1050,0
2017-06-20,10:00:00,3.535,3.535,3.535,3.535,37,0
2017-06-20,10:20:00,3.535,3.57,3.535,3.57,573,0
2017-06-20,12:05:00,3.595,3.595,3.595,3.595,83,0
2017-06-20,12:25:00,3.54,3.54,3.54,3.54,425,0
2017-06-20,12:55:00,3.55,3.55,3.55,3.55,17,0
2017-06-20,13:15:00,3.55,3.55,3.55,3.55,23,0
2017-06-20,13:40:00,3.52,3.52,3.52,3.52,15,0
2017-06-20,14:00:00,3.544,3.55,3.544,3.55,1860,0
2017-06-20,15:50:00,3.549,3.549,3.549,3.549,87,0
2017-06-20,16:50:00,3.52,3.52,3.52,3.52,69,0
2017-06-20,17:20:00,3.52,3.52,3.52,3.52,38,0
2017-06-20,17:30:00,3.52,3.52,3.52,3.52,9,0
2017-06-21,09:05:00,3.55,3.55,3.55,3.55,28,0
2017-06-21,10:45:00,3.498,3.498,3.451,3.451,1977,0
2017-06-21,10:55:00,3.489,3.49,3.489,3.49,2800,0
2017-06-21,11:00:00,3.488,3.488,3.488,3.488,104,0
2017-06-21,11:05:00,3.452,3.452,3.45,3.45,510,0
2017-06-21,13:10:00,3.45,3.45,3.45,3.45,441,0
2017-06-21,13:50:00,3.45,3.45,3.45,3.45,558,0
2017-06-21,14:35:00,3.489,3.489,3.48,3.48,189,0
2017-06-21,15:20:00,3.45,3.45,3.45,3.45,63,0
2017-06-21,15:35:00,3.412,3.412,3.412,3.412,496,0
2017-06-21,16:35:00,3.419,3.419,3.411,3.411,2000,0
2017-06-21,16:55:00,3.451,3.451,3.451,3.451,332,0
2017-06-21,17:00:00,3.45,3.45,3.413,3.413,553,0
2017-06-21,17:20:00,3.477,3.477,3.477,3.477,100,0
2017-06-21,17:30:00,3.477,3.477,3.412,3.413,965,0
2017-06-22,09:05:00,3.539,3.539,3.539,3.539,28,0
2017-06-22,09:10:00,3.522,3.522,3.522,3.522,250,0
2017-06-22,11:20:00,3.451,3.451,3.451,3.451,19,0
2017-06-22,13:20:00,3.45,3.45,3.45,3.45,488,0
2017-06-22,14:00:00,3.45,3.45,3.45,3.45,12,0
2017-06-22,15:15:00,3.415,3.415,3.415,3.415,512,0
2017-06-22,16:40:00,3.41,3.41,3.41,3.41,1675,0
2017-06-22,16:45:00,3.4,3.4,3.4,3.4,488,0
2017-06-22,17:30:00,3.41,3.452,3.41,3.452,968,0
2017-06-23,09:05:00,3.481,3.494,3.481,3.494,83,0
2017-06-23,09:25:00,3.495,3.535,3.495,3.535,3000,0
2017-06-23,09:30:00,3.542,3.542,3.542,3.542,400,0
2017-06-23,09:35:00,3.481,3.481,3.47,3.47,803,0
