Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-09,11:00:00,3.32,3.32,3.32,3.32,500,0
2017-06-09,11:20:00,3.335,3.34,3.335,3.34,1000,0
2017-06-09,12:25:00,3.338,3.338,3.338,3.338,550,0
2017-06-09,12:30:00,3.32,3.32,3.32,3.32,3,0
2017-06-09,12:35:00,3.339,3.339,3.339,3.339,1000,0
2017-06-09,12:55:00,3.339,3.38,3.339,3.38,13239,0
2017-06-09,13:45:00,3.379,3.379,3.379,3.379,750,0
2017-06-09,13:55:00,3.379,3.38,3.379,3.38,2500,0
2017-06-09,15:25:00,3.33,3.33,3.33,3.33,1211,0
2017-06-09,15:40:00,3.379,3.379,3.379,3.379,5,0
2017-06-09,16:45:00,3.378,3.379,3.378,3.379,500,0
2017-06-12,10:10:00,3.379,3.379,3.379,3.379,860,0
2017-06-12,10:45:00,3.379,3.452,3.379,3.452,2000,0
2017-06-12,12:45:00,3.448,3.448,3.448,3.448,170,0
2017-06-12,14:15:00,3.449,3.45,3.449,3.45,2900,0
2017-06-12,14:55:00,3.449,3.449,3.449,3.449,45,0
2017-06-12,15:15:00,3.385,3.385,3.38,3.38,4955,0
2017-06-12,15:35:00,3.381,3.381,3.38,3.38,2821,0
2017-06-12,15:40:00,3.38,3.38,3.38,3.38,1184,0
2017-06-12,15:45:00,3.38,3.38,3.38,3.38,414,0
2017-06-12,16:05:00,3.341,3.341,3.341,3.341,1000,0
2017-06-12,16:30:00,3.341,3.341,3.341,3.341,500,0
2017-06-12,16:35:00,3.341,3.341,3.28,3.29,14088,0
2017-06-12,17:10:00,3.3,3.3,3.3,3.3,796,0
2017-06-12,17:25:00,3.29,3.29,3.29,3.29,800,0
2017-06-13,09:10:00,3.29,3.29,3.29,3.29,404,0
2017-06-13,11:05:00,3.29,3.29,3.29,3.29,334,0
2017-06-13,12:40:00,3.325,3.325,3.325,3.325,200,0
2017-06-13,13:40:00,3.325,3.353,3.325,3.353,2000,0
2017-06-13,15:45:00,3.298,3.298,3.298,3.298,250,0
2017-06-13,17:30:00,3.329,3.329,3.329,3.329,1245,0
2017-06-14,09:05:00,3.35,3.35,3.35,3.35,250,0
2017-06-14,14:05:00,3.344,3.344,3.344,3.344,1908,0
2017-06-14,14:50:00,3.349,3.349,3.349,3.349,2000,0
