Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-16,09:05:00,71,71,71,71,79,0
2017-10-16,09:45:00,71.01,71.01,71.01,71.01,68,0
2017-10-16,10:25:00,71.18,71.19,71.18,71.19,100,0
2017-10-16,10:55:00,71.19,71.29,71.19,71.29,269,0
2017-10-16,11:20:00,71.34,71.34,71.34,71.34,30,0
2017-10-16,11:30:00,71.34,71.34,71.34,71.34,11,0
2017-10-16,11:35:00,71.32,71.32,71.32,71.32,9,0
2017-10-16,11:45:00,71.34,71.34,71.34,71.34,38,0
2017-10-16,12:05:00,71.34,71.34,71.27,71.27,86,0
2017-10-16,12:35:00,71.29,71.29,71.29,71.29,21,0
2017-10-16,12:45:00,71.25,71.25,71.22,71.22,92,0
2017-10-16,13:10:00,71.31,71.31,71.31,71.31,2,0
2017-10-16,13:20:00,71.29,71.29,71.29,71.29,64,0
2017-10-16,13:25:00,71.23,71.23,71.23,71.23,56,0
2017-10-16,13:35:00,71.18,71.2,71.18,71.2,24,0
2017-10-16,13:45:00,71.3,71.3,71.3,71.3,19,0
2017-10-16,14:00:00,71.24,71.24,71.1,71.1,371,0
2017-10-16,14:05:00,71.1,71.1,71.1,71.1,6,0
2017-10-16,14:20:00,71.1,71.1,71.1,71.1,110,0
2017-10-16,14:25:00,71.1,71.1,71.1,71.1,8,0
2017-10-16,14:30:00,71.1,71.16,71.1,71.16,96,0
2017-10-16,14:45:00,71.13,71.15,71.13,71.15,13,0
2017-10-16,14:50:00,71.17,71.17,71.17,71.17,44,0
2017-10-16,14:55:00,71.2,71.2,71.2,71.2,436,0
2017-10-16,15:00:00,71.23,71.24,71.23,71.24,105,0
2017-10-16,15:10:00,71.21,71.23,71.21,71.23,14,0
2017-10-16,15:20:00,71.3,71.3,71.3,71.3,55,0
2017-10-16,16:00:00,71.3,71.3,71.3,71.3,61,0
2017-10-16,16:05:00,71.23,71.23,71.23,71.23,41,0
2017-10-16,16:10:00,71.23,71.23,71.23,71.23,9,0
2017-10-16,16:25:00,71.23,71.23,71.23,71.23,87,0
2017-10-16,16:35:00,71.23,71.23,71.23,71.23,23,0
2017-10-16,16:45:00,71.23,71.23,71.19,71.19,30,0
2017-10-16,17:00:00,71.17,71.17,71.17,71.17,4,0
2017-10-16,17:05:00,71.23,71.23,71.23,71.23,38,0
2017-10-16,17:10:00,71.19,71.19,71.18,71.18,172,0
2017-10-16,17:15:00,71.17,71.17,71.17,71.17,23,0
2017-10-16,17:30:00,71.22,71.22,71.02,71.02,1348,0
2017-10-17,09:05:00,71.22,71.22,71.22,71.22,11,0
2017-10-17,09:15:00,71.04,71.04,71.04,71.04,1,0
2017-10-17,10:20:00,71.14,71.14,70.96,71.04,2017,0
2017-10-17,10:25:00,71.03,71.03,70.98,70.99,314,0
2017-10-17,10:40:00,70.96,71,70.96,71,81,0
2017-10-17,11:10:00,70.93,70.99,70.93,70.99,7,0
2017-10-17,11:25:00,70.99,71,70.99,71,81,0
2017-10-17,11:30:00,71,71,71,71,111,0
2017-10-17,11:35:00,70.9,70.98,70.9,70.98,13,0
2017-10-17,11:50:00,70.97,71,70.97,71,43,0
2017-10-17,12:00:00,71,71,70.99,71,97,0
2017-10-17,12:05:00,71,71,71,71,427,0
2017-10-17,12:15:00,70.92,71,70.92,71,96,0
2017-10-17,12:20:00,71,71,70.9,71,144,0
2017-10-17,12:45:00,70.99,71,70.92,70.99,55,0
2017-10-17,12:55:00,71,71,71,71,60,0
2017-10-17,13:00:00,71,71,71,71,113,0
2017-10-17,13:10:00,71,71,70.93,71,20,0
2017-10-17,13:45:00,70.98,70.98,70.98,70.98,28,0
2017-10-17,14:30:00,70.97,71,70.94,71,224,0
2017-10-17,14:40:00,71,71,71,71,54,0
2017-10-17,15:00:00,71,71.05,71,71.05,296,0
2017-10-17,15:25:00,71,71,71,71,111,0
2017-10-17,15:30:00,70.96,70.96,70.96,70.96,1,0
2017-10-17,15:35:00,71.02,71.02,71.02,71.02,90,0
2017-10-17,15:45:00,71.03,71.03,71.03,71.03,194,0
2017-10-17,16:00:00,71.05,71.05,71.05,71.05,52,0
2017-10-17,16:05:00,71.05,71.05,71.05,71.05,45,0
2017-10-17,16:10:00,71.05,71.05,71.05,71.05,76,0
2017-10-17,16:15:00,71.05,71.05,71.05,71.05,70,0
2017-10-17,16:25:00,70.97,71.02,70.96,71,297,0
2017-10-17,16:55:00,70.92,70.95,70.92,70.95,79,0
2017-10-17,17:05:00,70.9,70.93,70.9,70.93,632,0
2017-10-17,17:20:00,70.9,70.94,70.86,70.94,531,0
2017-10-17,17:30:00,70.88,70.94,70.86,70.86,1482,0
2017-10-18,09:05:00,71,71.02,71,71.02,527,0
2017-10-18,09:15:00,71,71,71,71,38,0
2017-10-18,09:20:00,71.07,71.07,71.07,71.07,20,0
2017-10-18,09:25:00,71.12,71.12,71.08,71.08,77,0
2017-10-18,09:30:00,71.12,71.14,71.12,71.14,29,0
2017-10-18,09:35:00,71.18,71.18,71.18,71.18,37,0
2017-10-18,09:50:00,71.26,71.26,71.26,71.26,29,0
2017-10-18,10:00:00,71.3,71.34,71.3,71.34,71,0
2017-10-18,10:55:00,71.24,71.24,71.24,71.24,9,0
2017-10-18,11:00:00,71.18,71.18,71.18,71.18,21,0
2017-10-18,11:50:00,71.21,71.21,71.21,71.21,33,0
2017-10-18,12:05:00,71.2,71.2,71.2,71.2,4,0
2017-10-18,12:40:00,71.09,71.18,71.09,71.18,144,0
2017-10-18,13:10:00,71.19,71.19,71.19,71.19,63,0
2017-10-18,13:45:00,71.17,71.17,71.17,71.17,79,0
2017-10-18,13:55:00,71.19,71.19,71.19,71.19,75,0
2017-10-18,14:00:00,71.19,71.19,71.19,71.19,39,0
2017-10-18,14:05:00,71.19,71.22,71.19,71.22,197,0
