Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,09:05:00,78.1,78.46,77.63,77.63,585,0
2017-10-17,09:10:00,77.48,77.5,77.46,77.46,183,0
2017-10-17,09:20:00,77.46,77.47,77.46,77.47,62,0
2017-10-17,09:25:00,77.71,77.71,77.46,77.46,78,0
2017-10-17,09:35:00,77.35,77.59,77.3,77.47,109,0
2017-10-17,09:40:00,77.09,77.27,77.07,77.27,102,0
2017-10-17,09:45:00,77.04,77.2,76.76,77.2,2695,0
2017-10-17,09:55:00,77.21,77.21,77.21,77.21,40,0
2017-10-17,10:05:00,77.08,77.15,77,77,1617,0
2017-10-17,10:10:00,77,77.18,77,77,662,0
2017-10-17,10:20:00,77.17,77.17,77.17,77.17,39,0
2017-10-17,10:30:00,76.97,76.97,76.92,76.92,100,0
2017-10-17,10:45:00,77.13,77.13,77.13,77.13,5,0
2017-10-17,11:00:00,77.14,77.14,77.14,77.14,192,0
2017-10-17,11:05:00,76.97,76.97,76.97,76.97,37,0
2017-10-17,11:20:00,76.97,76.97,76.97,76.97,100,0
2017-10-17,11:25:00,77.08,77.08,77.08,77.08,37,0
2017-10-17,11:30:00,77.08,77.08,77.08,77.08,41,0
2017-10-17,11:40:00,77.08,77.08,77.08,77.08,64,0
2017-10-17,11:45:00,77.08,77.08,77.08,77.08,43,0
2017-10-17,11:55:00,77.08,77.08,77.08,77.08,38,0
2017-10-17,12:00:00,77.08,77.08,76.97,77,235,0
2017-10-17,12:05:00,76.92,76.92,76.87,76.87,100,0
2017-10-17,12:15:00,77.01,77.04,77.01,77.04,65,0
2017-10-17,12:25:00,77.01,77.01,77.01,77.01,11,0
2017-10-17,12:45:00,77.05,77.05,77.05,77.05,85,0
2017-10-17,12:50:00,76.99,77.05,76.99,77.04,55,0
2017-10-17,12:55:00,77.04,77.04,77.03,77.03,67,0
2017-10-17,13:00:00,77.02,77.02,77.02,77.02,1,0
2017-10-17,13:05:00,77.05,77.05,77.05,77.05,53,0
2017-10-17,13:10:00,77,77,76.87,76.87,102,0
2017-10-17,13:15:00,77.01,77.05,77.01,77.05,464,0
2017-10-17,13:45:00,77.09,77.09,77.09,77.09,37,0
2017-10-17,13:55:00,77.09,77.09,77.09,77.09,86,0
2017-10-17,14:00:00,77.14,77.14,77.14,77.14,56,0
2017-10-17,14:05:00,77.34,77.34,77.34,77.34,41,0
2017-10-17,14:20:00,77.18,77.36,77.18,77.36,55,0
2017-10-17,14:25:00,77.18,77.31,77.18,77.31,50,0
2017-10-17,14:30:00,77.17,77.21,76.81,76.81,283,0
2017-10-17,14:55:00,77.03,77.23,77.03,77.23,90,0
2017-10-17,15:15:00,77.36,77.36,77.36,77.36,44,0
2017-10-17,15:20:00,77.23,77.23,77.18,77.18,100,0
2017-10-17,15:25:00,77.19,77.19,77.19,77.19,28,0
2017-10-17,15:30:00,77.14,77.14,77.14,77.14,44,0
2017-10-17,15:35:00,77.09,77.09,77.09,77.09,37,0
2017-10-17,15:50:00,77.24,77.24,77.24,77.24,66,0
2017-10-17,15:55:00,77.28,77.42,77.16,77.16,643,0
2017-10-17,16:00:00,77.06,77.06,77.06,77.06,108,0
2017-10-17,16:10:00,77.01,77.01,77.01,77.01,47,0
2017-10-17,16:35:00,77.02,77.15,77.02,77.15,165,0
2017-10-17,16:55:00,77.2,77.2,77.2,77.2,65,0
2017-10-17,17:00:00,77.2,77.2,77.13,77.13,161,0
2017-10-17,17:05:00,77.14,77.14,77.09,77.11,113,0
2017-10-17,17:10:00,77.09,77.13,77.09,77.13,25,0
2017-10-17,17:15:00,77.13,77.13,77.13,77.13,21,0
2017-10-17,17:20:00,77.32,77.65,77.32,77.65,24,0
2017-10-17,17:25:00,77.5,77.65,77.5,77.65,68,0
2017-10-17,17:30:00,77.5,77.64,77.25,77.63,1240,0
2017-10-18,09:05:00,77.59,77.59,77.59,77.59,52,0
2017-10-18,09:10:00,77.37,77.37,77.37,77.37,9,0
2017-10-18,09:20:00,77.27,77.33,76.92,76.92,354,0
2017-10-18,09:30:00,76.64,76.64,76.64,76.64,41,0
2017-10-18,09:35:00,76.64,76.64,76.58,76.58,144,0
2017-10-18,09:40:00,76.55,76.55,76.55,76.55,10,0
