Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,11:35:00,0.017,0.017,0.017,0.017,44930,0
2015-04-02,16:45:00,0.017,0.017,0.017,0.017,94930,0
2015-04-02,16:50:00,0.017,0.017,0.017,0.017,50000,0
2015-04-07,09:05:00,0.015,0.015,0.015,0.015,2000,0
2015-04-09,17:30:00,0.015,0.015,0.015,0.015,4762,0
2015-04-10,11:35:00,0.014,0.014,0.014,0.014,14000,0
2015-04-10,11:40:00,0.014,0.014,0.014,0.014,14000,0
2015-04-15,11:05:00,0.015,0.015,0.015,0.015,6000,0
2015-04-15,13:40:00,0.014,0.014,0.014,0.014,20000,0
2015-04-15,17:30:00,0.014,0.014,0.014,0.014,26500,0
2015-04-17,17:30:00,0.016,0.016,0.016,0.016,6000,0
2015-04-21,09:05:00,0.015,0.015,0.015,0.015,2600,0
2015-04-21,12:10:00,0.016,0.016,0.016,0.016,12600,0
2015-04-23,09:15:00,0.014,0.014,0.014,0.014,6044,0
2015-04-23,09:20:00,0.014,0.014,0.014,0.014,6044,0
2015-04-28,11:30:00,0.015,0.015,0.015,0.015,200,0
2015-05-05,14:35:00,0.014,0.014,0.014,0.014,2000,0
2015-05-07,11:40:00,0.014,0.014,0.014,0.014,220,0
2015-05-08,11:00:00,0.015,0.015,0.015,0.015,200000,0
2015-05-11,09:05:00,0.017,0.017,0.017,0.017,1000,0
2015-05-11,09:10:00,0.017,0.017,0.017,0.017,10000,0
2015-05-11,09:35:00,0.017,0.017,0.017,0.017,25000,0
2015-05-11,12:50:00,0.014,0.014,0.014,0.014,136000,0
2015-05-12,09:35:00,0.014,0.014,0.014,0.014,10,0
2015-05-12,10:05:00,0.014,0.014,0.014,0.014,3333,0
2015-05-12,13:50:00,0.014,0.014,0.014,0.014,16677,0
2015-05-13,13:55:00,0.017,0.017,0.017,0.017,100000,0
2015-05-13,14:30:00,0.014,0.014,0.014,0.014,360,0
2015-05-13,17:30:00,0.017,0.017,0.017,0.017,170360,0
2015-05-14,16:55:00,0.013,0.013,0.013,0.013,10000,0
2015-05-14,19:25:00,0.016,0.016,0.016,0.016,30000,0
2015-05-26,09:05:00,0.014,0.014,0.014,0.014,1000,0
2015-05-27,08:15:00,0.014,0.014,0.014,0.014,500,0
2015-05-29,14:40:00,0.013,0.013,0.013,0.013,34000,0
2015-06-01,16:40:00,0.013,0.013,0.013,0.013,90,0
2015-06-01,17:20:00,0.014,0.014,0.014,0.014,10090,0
2015-06-04,10:45:00,0.013,0.013,0.013,0.013,82000,0
2015-06-15,09:05:00,0.013,0.013,0.013,0.013,36,0
2015-06-16,17:30:00,0.013,0.013,0.013,0.013,48000,0
2015-06-23,09:20:00,0.013,0.013,0.013,0.013,1800,0
2015-06-23,14:30:00,0.012,0.012,0.012,0.012,2448,0
2015-06-25,11:05:00,0.012,0.012,0.012,0.012,40162,0
2015-06-29,09:05:00,0.012,0.012,0.012,0.012,140,0
2015-07-07,15:50:00,0.012,0.012,0.012,0.012,40000,0
2015-07-13,11:45:00,0.013,0.013,0.013,0.013,18,0
2015-07-15,10:50:00,0.014,0.014,0.014,0.014,31000,0
