Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-10,10:25:00,0.013,0.013,0.013,0.013,3382,0
2015-05-12,14:15:00,0.036,0.036,0.036,0.036,18000,0
2015-05-12,16:15:00,0.012,0.012,0.012,0.012,18300,0
2015-06-09,17:30:00,0.011,0.011,0.011,0.011,700,0
2015-06-16,09:05:00,0.009,0.009,0.009,0.009,3000,0
2015-06-24,11:45:00,0.006,0.006,0.006,0.006,700,0
2015-07-30,15:50:00,0.01,0.01,0.01,0.01,20,0
2015-08-14,09:45:00,0.01,0.01,0.01,0.01,1400,0
2015-09-08,14:50:00,0.011,0.011,0.011,0.011,200,0
2015-09-17,10:05:00,0.011,0.011,0.011,0.011,40000,0
2015-10-19,17:00:00,0.012,0.012,0.012,0.012,70,0
2015-11-13,10:25:00,0.011,0.011,0.011,0.011,31818,0
2015-12-11,13:20:00,0.008,0.008,0.008,0.008,9520,0
2015-12-21,10:20:00,0.008,0.008,0.008,0.008,1400,0
2015-12-22,17:00:00,0.008,0.008,0.008,0.008,49,0
2015-12-28,10:00:00,0.026,0.026,0.026,0.026,5000,0
2016-01-11,15:35:00,0.017,0.017,0.017,0.017,3150,0
2016-01-15,10:10:00,0.012,0.012,0.012,0.012,170,0
2016-07-18,08:05:00,0.004,0.004,0.004,0.004,93,0
2016-08-11,12:30:00,0.004,0.004,0.004,0.004,1000,0
2016-08-22,08:05:00,0.004,0.004,0.004,0.004,580,0
2016-10-18,16:20:00,0.004,0.004,0.004,0.004,40,0
2016-12-28,12:20:00,0.003,0.003,0.003,0.003,700,0
2017-01-10,12:25:00,0.002,0.002,0.002,0.002,140,0
2017-01-17,15:20:00,0.002,0.002,0.002,0.002,400,0
2017-01-26,09:50:00,0.002,0.002,0.002,0.002,700,0
2017-03-16,12:20:00,0.002,0.002,0.002,0.002,500,0
2017-05-05,12:55:00,0.002,0.002,0.002,0.002,204,0
2017-05-16,15:00:00,0.002,0.002,0.002,0.002,100,0
2017-07-07,15:25:00,0.002,0.002,0.002,0.002,100,0
2017-07-10,14:20:00,0.002,0.002,0.002,0.002,10000,0
2017-07-18,10:30:00,0.002,0.002,0.002,0.002,1060,0
