Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-10,12:55:00,595.95,595.95,595.95,595.95,5,0
2015-04-10,13:25:00,588.8,588.8,577.53,577.53,20,0
2015-04-10,14:35:00,586.86,586.86,586.86,586.86,10,0
2015-04-10,14:40:00,586.86,595.95,586.86,595.95,83,0
2015-04-13,13:35:00,591.16,591.16,591.16,591.16,5,0
2015-04-13,13:40:00,591.16,591.16,591.16,591.16,5,0
2015-04-16,09:30:00,588.27,588.27,588.27,588.27,5,0
2015-04-16,16:35:00,587.25,587.25,587.25,587.25,10,0
2015-04-16,16:40:00,587.25,587.25,586.27,586.27,36,0
2015-04-16,17:30:00,613.11,613.11,613.11,613.11,53,0
2015-04-17,14:05:00,586.28,586.28,586.28,586.28,1,0
2015-04-17,14:10:00,586.28,586.28,586.28,586.28,1,0
2015-04-20,09:05:00,586.27,586.27,586.27,586.27,102,0
2015-04-21,14:30:00,596.05,596.05,596.05,596.05,10,0
2015-04-21,14:35:00,596.05,596.05,596.05,596.05,10,0
2015-04-22,17:30:00,591.17,591.17,591.17,591.17,14,0
2015-04-23,09:05:00,596.05,596.05,596.05,596.05,17,0
2015-04-23,15:50:00,596.05,596.05,596.05,596.05,24,0
2015-04-23,15:55:00,596.05,596.05,596.05,596.05,6,0
2015-04-24,09:05:00,596.05,596.05,596.05,596.05,2,0
2015-04-24,11:45:00,606.79,612.66,606.79,612.66,31,0
2015-04-24,13:05:00,614.61,614.61,614.61,614.61,2,0
2015-04-24,17:30:00,605.82,605.82,591.16,591.16,96,0
2015-04-27,12:35:00,606.74,606.74,606.74,606.74,18,0
2015-04-30,12:25:00,607.97,612.66,607.97,612.66,20,0
2015-05-04,09:05:00,606.75,606.75,606.75,606.75,6,0
2015-05-05,17:30:00,600.93,600.93,600.44,600.44,27,0
2015-05-06,09:05:00,609.64,609.64,609.64,609.64,2,0
2015-05-06,11:50:00,609.64,609.64,609.64,609.64,2,0
2015-05-07,11:45:00,596.05,596.05,596.05,596.05,13,0
2015-05-07,12:20:00,608.35,608.75,608.35,608.75,27,0
2015-05-07,17:30:00,599.76,599.76,599.76,599.76,44,0
2015-05-12,12:30:00,606.79,606.79,606.79,606.79,31,0
2015-05-18,14:50:00,596.05,596.05,596.05,596.05,20,0
2015-05-18,16:10:00,604.35,604.35,604.35,604.35,23,0
2015-05-21,15:35:00,600.93,600.93,600.93,600.93,10,0
2015-05-21,17:15:00,597.02,597.02,597.02,597.02,18,0
2015-05-26,11:20:00,607.48,607.48,607.48,607.48,37,0
2015-05-27,11:20:00,607.48,607.48,607.48,607.48,18,0
2015-05-28,13:00:00,606.79,606.79,606.79,606.79,10,0
2015-05-29,10:50:00,608.16,608.16,608.16,608.16,3,0
2015-05-29,15:50:00,607.77,607.77,607.77,607.77,64,0
2015-06-01,08:10:00,608.6,608.6,608.6,608.6,23,0
2015-06-01,13:55:00,605.82,605.82,605.82,605.82,5,0
2015-06-01,14:55:00,606.31,606.7,606.31,606.7,136,0
2015-06-03,14:00:00,606.79,606.79,606.79,606.79,41,0
2015-06-04,12:05:00,583.59,583.59,583.59,583.59,6,0
2015-06-05,10:15:00,604.84,604.84,604.84,604.84,5,0
2015-06-05,11:00:00,604.84,604.84,604.84,604.84,17,0
2015-06-08,12:10:00,617.74,617.74,617.74,617.74,7,0
2015-06-08,14:15:00,600.93,600.93,600.93,600.93,4,0
2015-06-08,14:25:00,588.72,588.72,588.72,588.72,5,0
2015-06-08,14:55:00,585.25,585.25,585.25,585.25,23,0
2015-06-10,09:05:00,594.58,595.07,594.58,595.07,31,0
2015-06-12,09:15:00,595.92,595.92,595.92,595.92,5,0
2015-06-12,09:20:00,596.05,596.05,596.05,596.05,5,0
2015-06-12,12:10:00,596.05,596.05,596.05,596.05,12,0
2015-06-12,12:15:00,596.05,596.05,596.05,596.05,11,0
2015-06-12,12:20:00,596.05,596.05,596.05,596.05,2,0
2015-06-12,12:25:00,596.05,596.05,596.05,596.05,5,0
2015-06-12,12:30:00,596.05,596.05,596.05,596.05,5,0
2015-06-12,12:40:00,596.05,596.05,596.05,596.05,122,0
2015-06-15,11:30:00,614.56,614.56,614.56,614.56,2,0
2015-06-15,11:45:00,594.15,594.15,566.73,566.73,77,0
2015-06-15,12:40:00,593.97,593.97,593.97,593.97,3,0
2015-06-15,17:30:00,593.11,593.11,593.11,593.11,102,0
2015-06-16,15:10:00,595.07,595.07,595.07,595.07,2,0
2015-06-17,09:25:00,587.41,587.41,586.27,586.27,18,0
2015-06-19,09:30:00,591.51,591.51,591.51,591.51,8,0
2015-06-30,12:40:00,600.62,600.62,600.62,600.62,6,0
2015-07-01,14:05:00,606.79,606.79,606.79,606.79,2,0
2015-07-01,14:10:00,614.61,614.61,614.61,614.61,18,0
2015-07-03,17:20:00,597.06,597.06,586.3,586.3,45,0
2015-07-07,10:45:00,589.63,589.63,589.63,589.63,2,0
2015-07-13,09:05:00,597.84,597.84,597.84,597.84,2,0
2015-07-14,09:00:00,604.73,604.73,604.73,604.73,1,0
2015-07-14,10:10:00,604.44,604.44,604.44,604.44,6,0
2015-07-14,11:55:00,596.98,596.98,596.98,596.98,9,0
2015-07-16,17:20:00,605.82,605.82,605.82,605.82,6,0
2015-07-20,11:20:00,607.77,607.77,607.77,607.77,3,0
2015-07-20,11:25:00,611.68,611.68,611.68,611.68,2,0
2015-07-20,16:15:00,608.75,608.75,608.75,608.75,3,0
2015-07-20,16:20:00,615.59,615.59,615.59,615.59,17,0
2015-07-20,17:25:00,589.21,589.21,566.73,566.73,39,0
2015-07-20,18:10:00,600.76,600.76,600.76,600.76,67,0
2015-07-21,10:10:00,600.93,612.66,600.93,612.66,31,0
2015-07-22,11:05:00,611.68,615.59,611.68,615.59,27,0
2015-07-22,11:35:00,623.08,623.08,623.08,623.08,10,0
2015-07-22,11:40:00,616.08,616.08,616.08,616.08,3,0
2015-07-22,13:40:00,615.59,615.59,615.59,615.59,89,0
2015-07-28,16:45:00,632.2,632.2,632.2,632.2,63,0
2015-08-03,10:30:00,596.98,596.98,596.98,596.98,3,0
2015-08-03,12:40:00,596.05,596.05,596.05,596.05,11,0
2015-08-04,12:55:00,590.18,590.18,590.18,590.18,37,0
2015-08-05,11:50:00,624.38,624.38,624.38,624.38,3,0
2015-08-05,17:30:00,596.05,596.05,596.05,596.05,24,0
2015-08-07,10:10:00,613.63,613.63,613.63,613.63,6,0
2015-08-12,10:25:00,624.38,624.38,624.38,624.38,20,0
2015-08-13,11:40:00,618.11,618.11,618.11,618.11,6,0
2015-08-18,17:10:00,600.13,600.13,600.13,600.13,3,0
2015-08-18,17:15:00,625.36,625.36,625.36,625.36,9,0
2015-08-24,09:05:00,595.17,595.17,595.17,595.17,1,0
2015-08-24,09:25:00,625.36,625.36,625.36,625.36,8,0
2015-08-24,09:50:00,595.17,595.17,595.17,595.17,5,0
2015-08-24,14:40:00,595.36,595.36,595.36,595.36,3,0
2015-08-24,14:45:00,589.69,589.69,589.69,589.69,114,0
2015-08-25,12:35:00,625.36,644.9,625.36,644.9,20,0
2015-08-25,14:20:00,608.68,608.68,589.3,589.3,14,0
2015-08-25,17:00:00,615.54,615.54,615.54,615.54,37,0
2015-08-27,11:55:00,615.1,615.59,615.1,615.59,6,0
2015-08-27,12:25:00,620.47,620.47,620.47,620.47,4,0
2015-08-27,13:40:00,615.59,615.59,615.59,615.59,18,0
2015-08-28,09:05:00,615.59,615.59,615.59,615.59,8,0
2015-09-01,11:00:00,624.38,624.38,624.38,624.38,7,0
2015-09-01,14:25:00,635.13,635.13,635.13,635.13,5,0
2015-09-01,16:50:00,635.13,635.13,635.13,635.13,1,0
2015-09-01,17:30:00,630.25,630.25,630.25,630.25,28,0
2015-09-09,10:50:00,625.36,625.36,625.36,625.36,20,0
2015-09-11,11:05:00,625.36,644.9,625.36,644.9,10,0
2015-09-11,12:00:00,617.49,617.49,609.73,609.73,31,0
2015-09-14,10:45:00,607.86,607.86,607.86,607.86,8,0
2015-09-23,11:25:00,644.85,644.85,644.85,644.85,16,0
2015-09-24,14:15:00,615.59,615.59,610.7,610.7,102,0
2015-09-28,14:50:00,610.7,610.7,610.7,610.7,10,0
2015-10-05,08:05:00,612.66,612.66,612.66,612.66,3,0
2015-10-05,10:35:00,632.2,641.97,632.2,641.97,15,0
2015-10-05,10:40:00,641.97,641.97,641.97,641.97,51,0
2015-10-06,13:15:00,640.02,640.02,640.02,640.02,2,0
2015-10-12,08:10:00,623.69,623.69,623.69,623.69,10,0
