Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-12,09:05:00,0.99,1,0.99,1,10020,0
2017-05-12,09:10:00,1,1,1,1,9980,0
2017-05-12,09:15:00,1.065,1.07,1.065,1.07,4705,0
2017-05-12,09:20:00,1.07,1.07,1.05,1.05,3500,0
2017-05-12,09:25:00,1.05,1.1,1.05,1.1,12500,0
2017-05-12,10:05:00,1.094,1.094,1.094,1.094,200,0
2017-05-12,10:15:00,1.094,1.12,1.094,1.101,50700,0
2017-05-12,10:25:00,1.125,1.125,1.125,1.125,4200,0
2017-05-12,10:40:00,1.125,1.15,1.119,1.15,6050,0
2017-05-12,10:45:00,1.124,1.124,1.124,1.124,3664,0
2017-05-12,10:50:00,1.147,1.147,1.147,1.147,500,0
2017-05-12,11:05:00,1.116,1.116,1.116,1.116,300,0
2017-05-12,11:10:00,1.148,1.15,1.148,1.15,21500,0
2017-05-12,11:15:00,1.15,1.15,1.15,1.15,390,0
2017-05-12,11:20:00,1.2,1.23,1.2,1.23,14231,0
2017-05-12,11:30:00,1.28,1.28,1.28,1.28,525,0
2017-05-12,11:35:00,1.23,1.23,1.23,1.23,2100,0
2017-05-12,11:40:00,1.16,1.189,1.16,1.189,16515,0
2017-05-12,11:45:00,1.189,1.189,1.189,1.189,1700,0
2017-05-12,11:50:00,1.18,1.189,1.18,1.189,800,0
2017-05-12,12:20:00,1.189,1.216,1.189,1.216,10151,0
2017-05-12,12:30:00,1.18,1.18,1.18,1.18,2000,0
2017-05-12,12:35:00,1.18,1.18,1.18,1.18,10000,0
2017-05-12,12:55:00,1.216,1.216,1.216,1.216,500,0
2017-05-12,13:00:00,1.176,1.176,1.15,1.15,31561,0
2017-05-12,13:30:00,1.15,1.15,1.15,1.15,8300,0
2017-05-12,13:45:00,1.135,1.135,1.121,1.121,6420,0
2017-05-12,13:50:00,1.08,1.119,1.08,1.119,2137,0
2017-05-12,14:00:00,1.099,1.15,1.099,1.15,15000,0
2017-05-12,14:05:00,1.102,1.124,1.1,1.124,6202,0
2017-05-12,14:10:00,1.125,1.125,1.125,1.125,1688,0
2017-05-12,14:50:00,1.147,1.15,1.147,1.15,3512,0
2017-05-12,15:40:00,1.15,1.18,1.15,1.18,10000,0
2017-05-12,15:50:00,1.18,1.199,1.18,1.199,12500,0
2017-05-12,15:55:00,1.199,1.199,1.199,1.199,10419,0
2017-05-12,16:10:00,1.143,1.143,1.143,1.143,750,0
2017-05-12,16:20:00,1.18,1.18,1.18,1.18,4923,0
2017-05-12,16:30:00,1.18,1.18,1.18,1.18,2000,0
2017-05-12,17:20:00,1.19,1.19,1.19,1.19,3077,0
2017-05-12,17:25:00,1.186,1.186,1.186,1.186,8500,0
2017-05-12,17:30:00,1.186,1.195,1.186,1.195,6250,0
2017-05-15,09:05:00,1.235,1.259,1.235,1.259,29229,0
2017-05-15,09:10:00,1.259,1.259,1.231,1.231,4940,0
2017-05-15,09:30:00,1.23,1.23,1.23,1.23,10000,0
2017-05-15,09:40:00,1.2,1.22,1.19,1.22,11050,0
2017-05-15,09:45:00,1.22,1.22,1.22,1.22,6000,0
2017-05-15,10:10:00,1.254,1.254,1.254,1.254,81,0
2017-05-15,10:20:00,1.23,1.23,1.23,1.23,2000,0
2017-05-15,10:25:00,1.23,1.253,1.23,1.253,1510,0
2017-05-15,11:00:00,1.235,1.235,1.235,1.235,500,0
2017-05-15,11:05:00,1.211,1.211,1.2,1.2,9489,0
2017-05-15,11:10:00,1.181,1.229,1.181,1.229,7770,0
2017-05-15,11:30:00,1.224,1.224,1.224,1.224,1603,0
2017-05-15,11:45:00,1.223,1.223,1.223,1.223,331,0
2017-05-15,12:15:00,1.2,1.2,1.18,1.18,10000,0
2017-05-15,12:35:00,1.2,1.2,1.2,1.2,4420,0
2017-05-15,12:55:00,1.224,1.247,1.224,1.247,43016,0
2017-05-15,13:00:00,1.245,1.245,1.244,1.244,1061,0
2017-05-15,13:05:00,1.235,1.247,1.235,1.247,7039,0
2017-05-15,13:10:00,1.24,1.249,1.24,1.249,13000,0
2017-05-15,13:15:00,1.249,1.249,1.249,1.249,220,0
2017-05-15,13:20:00,1.24,1.254,1.24,1.254,11130,0
2017-05-15,13:25:00,1.221,1.244,1.221,1.24,4321,0
2017-05-15,13:30:00,1.24,1.245,1.24,1.245,12150,0
2017-05-15,13:45:00,1.254,1.254,1.254,1.254,8000,0
2017-05-15,13:50:00,1.23,1.23,1.23,1.23,13640,0
