Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-27,16:10:00,1.7,1.7,1.7,1.7,1,0
2016-12-28,09:40:00,2.2,2.2,2.2,2.2,10,0
2016-12-28,14:05:00,2.2,2.2,2.2,2.2,5,0
2016-12-30,13:50:00,2.2,2.2,2.2,2.2,1,0
2017-01-06,09:05:00,2.8,2.8,2.8,2.8,4,0
2017-01-06,09:15:00,2.7,2.7,2.7,2.7,1,0
2017-01-06,17:25:00,2.2,2.2,2.2,2.2,0,0
2017-01-09,09:05:00,2,2,2,2,1,0
2017-01-16,08:10:00,2.6,2.6,2.6,2.6,1,0
2017-01-16,12:05:00,3,3,3,3,2,0
2017-01-16,15:20:00,2.55,2.55,2.55,2.55,2,0
2017-01-17,08:20:00,3,3,3,3,3,0
2017-01-17,17:25:00,3.5,3.5,3.5,3.5,2,0
2017-01-19,12:40:00,3.55,3.55,3.55,3.55,1,0
2017-01-19,14:35:00,4,4,4,4,0,0
2017-01-20,11:05:00,4.875,4.875,4.875,4.875,1525,0
2017-01-20,12:40:00,5,5,5,5,0,0
2017-01-24,08:45:00,5.2,5.2,5.2,5.2,90,0
2017-01-26,19:20:00,6.2,6.2,6.2,6.2,11,0
2017-01-31,13:35:00,6,6,6,6,50,0
2017-01-31,17:20:00,5.5,5.5,5.5,5.5,0,0
2017-02-02,16:30:00,4,4,4,4,200,0
2017-02-03,09:15:00,3.5,3.5,3.5,3.5,15,0
2017-02-08,17:55:00,3,3,3,3,300,0
2017-02-13,14:20:00,2.6,2.6,2.6,2.6,41,0
2017-02-13,17:35:00,3,3,3,3,0,0
2017-02-15,17:05:00,3,3,3,3,10,0
2017-02-15,17:30:00,3,3,3,3,0,0
2017-02-21,12:15:00,2.7,2.7,2.7,2.7,1,0
2017-02-21,17:15:00,2.5,2.5,2.5,2.5,0,0
2017-03-03,08:10:00,2.75,2.75,2.75,2.75,25,0
2017-03-08,08:05:00,2.9,2.9,2.9,2.9,20,0
2017-03-23,15:40:00,3.3,3.3,3.3,3.3,300,0
2017-03-27,13:10:00,3.25,3.25,3.25,3.25,200,0
2017-03-27,16:30:00,2.7,2.7,2.7,2.7,0,0
2017-03-30,13:50:00,2.7,2.7,2.7,2.7,300,0
2017-04-04,08:25:00,1.5,1.5,1.5,1.5,25,0
2017-04-04,18:30:00,2.5,2.5,2.5,2.5,0,0
2017-04-05,08:30:00,1.9,1.9,1.9,1.9,300,0
2017-04-05,19:40:00,2.4,2.4,2.4,2.4,0,0
2017-04-20,19:15:00,2.2,2.2,2.2,2.2,500,0
2017-04-20,19:20:00,1.8,1.8,1.8,1.8,500,0
2017-04-21,19:05:00,1.5,1.5,1.5,1.5,500,0
2017-04-21,19:40:00,1.8,1.8,1.8,1.8,0,0
2017-04-25,12:45:00,1.882,1.882,1.85,1.85,570,0
2017-05-11,08:05:00,1.56,1.56,1.56,1.56,50,0
2017-06-07,11:50:00,1.6,1.6,1.6,1.6,700,0
2017-06-07,14:25:00,1.65,1.65,1.65,1.65,10,0
2017-06-07,15:10:00,1.6,1.6,1.6,1.6,3,0
2017-06-07,19:20:00,1.7,1.7,1.7,1.7,200,0
2017-06-07,19:50:00,1.9,1.9,1.9,1.9,50,0
2017-06-09,16:05:00,1.9,1.9,1.9,1.9,500,0
2017-06-12,10:15:00,1.8,1.8,1.8,1.8,300,0
2017-06-12,15:55:00,2.1,2.1,2.1,2.1,700,0
2017-06-14,17:25:00,1.907,1.907,1.9,1.9,800,0
2017-06-15,11:10:00,2,2,2,2,1000,0
2017-06-16,09:30:00,2.1,2.1,2.1,2.1,400,0
2017-07-12,14:55:00,1.5,1.5,1.5,1.5,500,0
2017-07-18,08:25:00,1.58,1.58,1.58,1.58,400,0
2017-07-27,15:10:00,1.3,1.3,1.3,1.3,25,0
2017-08-01,16:00:00,1.2,1.2,1.2,1.2,1,0
