Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-30,09:05:00,10.25,10.25,10.25,10.25,2800,0
2017-05-30,09:10:00,10.4,10.4,10.225,10.39,811,0
2017-05-30,09:15:00,10.4,10.485,10.4,10.485,500,0
2017-05-30,09:20:00,10.49,10.49,10.4,10.4,492,0
2017-05-30,09:25:00,10.28,10.28,10.255,10.255,1000,0
2017-05-30,09:30:00,10.3,10.345,10.145,10.145,1220,0
2017-05-30,09:35:00,10.385,10.385,10.095,10.095,1919,0
2017-05-30,09:40:00,10.095,10.095,9.85,10.08,1700,0
2017-05-30,09:45:00,9.85,9.85,9.85,9.85,668,0
2017-05-30,09:50:00,9.692,9.692,9.616,9.616,1500,0
2017-05-30,09:55:00,9.678,9.678,9.6,9.6,1000,0
2017-05-30,10:05:00,9.58,9.58,9.531,9.531,142,0
2017-05-30,10:10:00,9.51,9.51,9.301,9.301,2753,0
2017-05-30,10:15:00,9.3,9.3,8.88,8.88,4810,0
2017-05-30,10:20:00,9.1,9.299,8.93,9.296,5126,0
2017-05-30,10:30:00,9.1,9.235,9,9,2005,0
2017-05-30,10:35:00,9,9.1,9,9.1,2953,0
2017-05-30,10:45:00,9.125,9.125,9.023,9.023,400,0
2017-05-30,10:50:00,9.005,9.005,8.8,8.907,5644,0
2017-05-30,10:55:00,8.891,8.891,8.891,8.891,10,0
2017-05-30,11:00:00,8.95,8.997,8.95,8.997,750,0
2017-05-30,11:05:00,8.998,9,8.998,9,2901,0
2017-05-30,11:10:00,9,9,9,9,200,0
2017-05-30,11:15:00,9,9,9,9,1010,0
2017-05-30,11:20:00,9,9.074,9,9.074,1100,0
2017-05-30,11:25:00,9.05,9.05,9.05,9.05,70,0
2017-05-30,11:30:00,9.036,9.06,9.036,9.06,825,0
2017-05-30,11:40:00,9.06,9.06,9.06,9.06,85,0
2017-05-30,11:45:00,9.096,9.096,9.096,9.096,1448,0
2017-05-30,11:50:00,9.08,9.1,9.08,9.1,550,0
2017-05-30,12:00:00,9.116,9.139,9.116,9.125,1270,0
2017-05-30,12:05:00,9.125,9.14,9.125,9.14,1526,0
2017-05-30,12:10:00,9.199,9.199,9.199,9.199,1200,0
2017-05-30,12:15:00,9.141,9.141,9.1,9.1,17,0
2017-05-30,12:30:00,9.242,9.243,9.15,9.15,990,0
2017-05-30,12:35:00,9.176,9.199,9.176,9.199,100,0
2017-05-30,12:40:00,9.199,9.25,9.199,9.23,625,0
2017-05-30,12:45:00,9.2,9.268,9.2,9.268,340,0
2017-05-30,12:55:00,9.262,9.268,9.212,9.212,490,0
2017-05-30,13:00:00,9.261,9.28,9.261,9.28,1600,0
2017-05-30,13:10:00,9.2,9.2,9.2,9.2,110,0
2017-05-30,13:20:00,9.279,9.279,9.278,9.278,320,0
2017-05-30,13:30:00,9.25,9.28,9.25,9.25,340,0
2017-05-30,13:45:00,9.3,9.3,9.3,9.3,45,0
2017-05-30,13:50:00,9.3,9.3,9.25,9.25,1240,0
2017-05-30,13:55:00,9.3,9.3,8.901,8.901,6405,0
2017-05-30,14:15:00,9.165,9.165,9.165,9.165,1000,0
2017-05-30,14:20:00,9,9.1,8.906,8.906,1448,0
2017-05-30,14:35:00,8.99,8.99,8.91,8.91,895,0
2017-05-30,14:45:00,8.99,8.99,8.99,8.99,56,0
2017-05-30,14:55:00,9.177,9.177,9.177,9.177,150,0
2017-05-30,15:00:00,9,9,9,9,989,0
2017-05-30,15:10:00,9,9,9,9,11,0
2017-05-30,15:40:00,9.145,9.145,9.145,9.145,125,0
2017-05-30,15:50:00,9.14,9.14,9.14,9.14,250,0
2017-05-30,16:00:00,9.137,9.137,9,9,1540,0
2017-05-30,16:05:00,9,9.001,9,9.001,553,0
2017-05-30,16:15:00,9.13,9.137,9.001,9.001,1378,0
2017-05-30,16:20:00,9.136,9.136,9.136,9.136,27,0
2017-05-30,16:35:00,9.1,9.1,9,9,570,0
2017-05-30,16:40:00,9.07,9.07,9.07,9.07,200,0
2017-05-30,16:50:00,9.069,9.069,9.069,9.069,300,0
2017-05-30,16:55:00,9.07,9.07,9.07,9.07,300,0
2017-05-30,17:00:00,9.001,9.001,9,9,336,0
2017-05-30,17:10:00,9,9,9,9,109,0
