Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-04,09:05:00,2.58,2.58,2.58,2.58,800,0
2015-05-04,12:20:00,2.499,2.499,2.499,2.499,730,0
2015-05-04,12:25:00,2.499,2.5,2.499,2.5,5908,0
2015-05-05,11:15:00,2.56,2.6,2.56,2.6,560,0
2015-05-05,14:45:00,2.471,2.471,2.471,2.471,1373,0
2015-05-05,14:50:00,2.471,2.471,2.471,2.471,2949,0
2015-05-07,13:20:00,2.351,2.351,2.35,2.35,1702,0
2015-05-07,13:25:00,2.399,2.4,2.399,2.4,6592,0
2015-05-08,14:10:00,2.351,2.351,2.351,2.351,223,0
2015-05-08,14:15:00,2.351,2.351,2.351,2.351,840,0
2015-05-08,15:35:00,2.351,2.351,2.351,2.351,400,0
2015-05-08,16:50:00,2.351,2.351,2.351,2.351,537,0
2015-05-08,17:30:00,2.35,2.35,2.35,2.35,3042,0
2015-05-11,09:30:00,2.351,2.351,2.25,2.25,2664,0
2015-05-11,17:30:00,2.25,2.25,2.25,2.25,4214,0
2015-05-14,09:50:00,2.241,2.241,2.185,2.185,2800,0
2015-05-14,09:55:00,2.05,2.15,2.05,2.15,9700,0
2015-05-14,10:15:00,2.1,2.15,2.1,2.15,1080,0
2015-05-14,11:25:00,2.1,2.1,2.025,2.025,10000,0
2015-05-14,11:30:00,1.999,1.999,1.999,1.999,500,0
2015-05-14,11:40:00,1.999,2,1.999,2,500,0
2015-05-14,11:55:00,1.85,1.85,1.75,1.75,5480,0
2015-05-14,12:00:00,1.849,1.849,1.849,1.849,5,0
2015-05-14,12:25:00,1.845,1.847,1.845,1.847,979,0
2015-05-14,12:50:00,1.7,1.7,1.7,1.7,200,0
2015-05-14,13:45:00,1.626,1.626,1.626,1.626,500,0
2015-05-14,14:00:00,1.74,1.85,1.74,1.85,3800,0
2015-05-14,14:20:00,1.9,1.9,1.9,1.9,1000,0
2015-05-14,15:10:00,1.989,1.989,1.989,1.989,37546,0
