Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-20,09:05:00,142,142,142,142,209,0
2017-10-20,09:10:00,141.95,142.45,141.55,141.55,377,0
2017-10-20,09:15:00,141.9,141.9,141.2,141.2,109,0
2017-10-20,09:25:00,140.25,140.55,140.25,140.55,133,0
2017-10-20,09:30:00,140.75,140.75,140.75,140.75,2,0
2017-10-20,09:35:00,140.5,140.5,140.5,140.5,70,0
2017-10-20,09:40:00,140.05,140.85,140.05,140.85,158,0
2017-10-20,09:45:00,140.85,141,140.65,140.65,362,0
2017-10-20,09:50:00,141,141,140.6,140.6,178,0
2017-10-20,09:55:00,140.6,140.85,140.6,140.85,57,0
2017-10-20,10:00:00,140.85,141,140.85,141,66,0
2017-10-20,10:05:00,141,141,140.95,140.95,113,0
2017-10-20,10:10:00,140.95,141.3,140.95,141.3,492,0
2017-10-20,10:15:00,141.25,141.3,141.25,141.3,416,0
2017-10-20,10:20:00,141.45,141.45,141.45,141.45,15,0
2017-10-20,10:25:00,141.3,141.3,141.3,141.3,107,0
2017-10-20,10:30:00,141,141,139.8,139.9,643,0
2017-10-20,10:40:00,139.9,140,139.9,140,68,0
2017-10-20,10:45:00,139.8,139.8,139.8,139.8,22,0
2017-10-20,10:50:00,139.75,139.75,139.75,139.75,56,0
2017-10-20,11:05:00,139.9,139.9,139.6,139.6,152,0
2017-10-20,11:15:00,139.5,139.5,139.5,139.5,56,0
2017-10-20,11:20:00,139.2,139.25,139.2,139.25,74,0
2017-10-20,11:25:00,138.05,138.5,138.05,138.4,295,0
2017-10-20,11:30:00,138.55,139.4,138.55,139.4,150,0
2017-10-20,11:40:00,139.25,139.25,138.95,138.95,85,0
2017-10-20,11:45:00,139.25,139.55,138.5,139.25,901,0
2017-10-20,11:50:00,139.25,139.25,139.25,139.25,28,0
2017-10-20,11:55:00,139.1,139.75,139.1,139.75,212,0
2017-10-20,12:00:00,139.8,139.95,139.8,139.95,72,0
2017-10-20,12:05:00,139.75,139.8,139.6,139.65,159,0
2017-10-20,12:10:00,139.8,139.8,139.8,139.8,57,0
2017-10-20,12:20:00,139.8,139.8,139.8,139.8,78,0
2017-10-20,12:35:00,139.65,139.65,139.25,139.25,57,0
2017-10-20,12:55:00,139,139,138.95,138.95,52,0
2017-10-20,13:00:00,138.65,138.65,138.6,138.6,83,0
2017-10-20,13:05:00,138.2,138.95,138,138.95,557,0
2017-10-20,13:10:00,138.95,139.25,138.95,139.25,176,0
2017-10-20,13:15:00,139.25,139.3,139.25,139.25,95,0
2017-10-20,13:20:00,139.3,139.3,139.3,139.3,16,0
2017-10-20,13:25:00,139.25,139.35,139,139.35,300,0
2017-10-20,13:35:00,139.5,139.6,139.5,139.6,191,0
2017-10-20,13:45:00,139.55,139.7,139.5,139.7,175,0
2017-10-20,13:50:00,139.65,139.7,139.6,139.6,332,0
2017-10-20,13:55:00,139.75,139.75,139.45,139.45,76,0
2017-10-20,14:00:00,139.3,139.3,139.3,139.3,15,0
2017-10-20,14:25:00,139.3,139.3,138.35,138.35,308,0
2017-10-20,14:30:00,138.35,138.4,138.35,138.4,352,0
2017-10-20,14:35:00,138.4,138.4,138.35,138.35,87,0
2017-10-20,14:40:00,138.4,138.4,138.4,138.4,19,0
2017-10-20,14:45:00,138.4,138.8,138.35,138.8,544,0
2017-10-20,14:50:00,138.8,138.95,138.75,138.95,166,0
2017-10-20,14:55:00,138.55,139.1,138.55,139.1,160,0
2017-10-20,15:00:00,138.8,139.15,138.8,139.1,124,0
2017-10-20,15:05:00,139.1,139.1,138.5,138.5,183,0
2017-10-20,15:10:00,138.8,138.85,138.7,138.7,69,0
2017-10-20,15:15:00,138.9,138.9,138.9,138.9,32,0
2017-10-20,15:20:00,138.65,138.8,138.65,138.8,96,0
2017-10-20,15:25:00,138.8,138.9,138.6,138.6,131,0
2017-10-20,15:30:00,138.55,138.9,138.55,138.6,195,0
2017-10-20,15:35:00,138.8,139,138.8,138.8,316,0
2017-10-20,15:40:00,139.25,140.2,139.25,140.2,871,0
2017-10-20,15:45:00,140.3,140.3,140,140.15,445,0
2017-10-20,15:50:00,140.05,140.05,140.05,140.05,43,0
2017-10-20,15:55:00,140.05,140.2,140.05,140.2,107,0
2017-10-20,16:00:00,140.05,140.05,140,140,38,0
2017-10-20,16:05:00,140.3,140.5,140.05,140.15,335,0
2017-10-20,16:10:00,140.45,140.75,140.45,140.6,452,0
2017-10-20,16:15:00,140.8,141.8,140.8,141.4,542,0
2017-10-20,16:20:00,141.4,141.4,141.4,141.4,36,0
2017-10-20,16:25:00,141.35,141.4,141.1,141.3,708,0
2017-10-20,16:30:00,141.4,141.45,141.05,141.05,220,0
2017-10-20,16:35:00,141,141.45,141,141.45,162,0
2017-10-20,16:40:00,141.3,141.3,140.6,140.6,227,0
2017-10-20,16:45:00,140.6,140.95,140.55,140.95,348,0
2017-10-20,16:50:00,141,141.5,140.95,141.5,260,0
2017-10-20,16:55:00,141.4,141.45,141.15,141.45,230,0
2017-10-20,17:00:00,141.5,141.5,141.5,141.5,59,0
2017-10-20,17:05:00,141.5,141.5,141.1,141.4,287,0
2017-10-20,17:10:00,141.2,141.2,141.1,141.1,386,0
2017-10-20,17:15:00,141.1,141.1,140.6,141,472,0
2017-10-20,17:20:00,141.25,141.4,141.25,141.4,75,0
2017-10-20,17:25:00,141.35,141.35,140.95,141.3,307,0
2017-10-20,17:30:00,141.5,141.7,140.65,141.1,21477,0
2017-10-23,09:05:00,142,142,142,142,173,0
2017-10-23,09:15:00,141.5,141.85,141.5,141.85,249,0
2017-10-23,09:20:00,141.85,141.85,141.85,141.85,15,0
2017-10-23,09:25:00,141.85,141.85,141.5,141.5,83,0
2017-10-23,09:40:00,141.5,141.7,141.5,141.7,108,0
2017-10-23,09:45:00,141.75,141.75,141.75,141.75,14,0
2017-10-23,09:55:00,141.75,142,141.75,142,140,0
2017-10-23,10:00:00,141.5,141.5,141.5,141.5,94,0
2017-10-23,10:10:00,141.5,141.5,141.5,141.5,224,0
2017-10-23,10:15:00,141.5,141.5,141.5,141.5,1,0
2017-10-23,10:20:00,141.5,141.5,141.5,141.5,324,0
2017-10-23,10:25:00,141.5,141.5,140.8,140.8,1106,0
2017-10-23,10:30:00,140.55,140.55,140,140,587,0
2017-10-23,10:35:00,139.05,139.05,138.4,138.4,83,0
2017-10-23,10:40:00,138.2,138.2,137.85,137.85,346,0
2017-10-23,10:45:00,138,138,137.5,137.95,233,0
2017-10-23,10:50:00,137.85,137.85,137.35,137.35,107,0
2017-10-23,10:55:00,137.05,137.5,137.05,137.1,304,0
2017-10-23,11:00:00,137,137,137,137,31,0
2017-10-23,11:05:00,136.95,137.65,136.7,137.5,326,0
2017-10-23,11:15:00,137.8,137.8,137.75,137.75,126,0
2017-10-23,11:20:00,138.55,139.2,138.55,138.9,124,0
2017-10-23,11:25:00,138.7,138.7,138.7,138.7,5,0
2017-10-23,11:30:00,138.65,138.65,138.5,138.5,99,0
2017-10-23,11:35:00,137.55,139.5,137.55,138.8,295,0
2017-10-23,11:40:00,138.3,139.4,138.3,139.4,403,0
2017-10-23,11:45:00,138.7,138.7,138.65,138.65,100,0
2017-10-23,11:55:00,138.2,138.2,137.95,137.95,88,0
2017-10-23,12:00:00,138.15,138.15,138.15,138.15,30,0
2017-10-23,12:05:00,138.2,138.25,138.2,138.25,14,0
2017-10-23,12:10:00,138.25,138.25,138.25,138.25,112,0
2017-10-23,12:20:00,138.25,138.25,138.25,138.25,1,0
2017-10-23,12:25:00,138.25,138.25,138.25,138.25,10,0
2017-10-23,12:30:00,138.1,138.1,138.1,138.1,8,0
2017-10-23,12:35:00,138.15,138.15,138.15,138.15,18,0
2017-10-23,12:45:00,137.8,137.85,137.8,137.85,146,0
2017-10-23,13:00:00,137.7,137.9,137.7,137.9,110,0
2017-10-23,13:05:00,138,138.9,138,138.9,238,0
2017-10-23,13:10:00,138.65,138.65,138.65,138.65,12,0
2017-10-23,13:15:00,138.75,138.75,138.75,138.75,47,0
2017-10-23,13:20:00,139.4,139.65,139.4,139.5,538,0
2017-10-23,13:25:00,139.5,139.5,139.5,139.5,133,0
2017-10-23,13:30:00,139.5,139.5,139.3,139.3,199,0
2017-10-23,13:40:00,138.6,138.6,138.15,138.4,48,0
2017-10-23,13:45:00,138.1,138.1,138.1,138.1,6,0
2017-10-23,13:50:00,137.85,137.85,137.25,137.65,243,0
2017-10-23,13:55:00,137.2,137.65,137.2,137.25,417,0
2017-10-23,14:00:00,137.5,137.95,137.5,137.95,215,0
2017-10-23,14:20:00,137.7,137.95,137.5,137.5,178,0
2017-10-23,14:35:00,137.5,138.2,137.35,138.2,340,0
2017-10-23,14:55:00,138.3,138.4,138.3,138.4,156,0
2017-10-23,15:10:00,138.3,138.3,138.3,138.3,36,0
2017-10-23,15:20:00,138.1,138.1,138.1,138.1,51,0
2017-10-23,15:25:00,138,138.4,138,138.4,1094,0
2017-10-23,15:30:00,138.45,138.45,138.4,138.4,99,0
2017-10-23,15:40:00,138.9,138.95,138.4,138.9,202,0
2017-10-23,15:45:00,138.9,138.95,138.9,138.95,112,0
2017-10-23,15:55:00,138.7,138.7,138.65,138.65,57,0
2017-10-23,16:00:00,138.45,138.45,138.45,138.45,47,0
2017-10-23,16:05:00,138.05,138.05,138.05,138.05,10,0
2017-10-23,16:10:00,138.1,138.4,138,138.1,327,0
2017-10-23,16:15:00,138.05,138.45,138,138,180,0
2017-10-23,16:20:00,138.45,138.45,138.35,138.45,210,0
2017-10-23,16:25:00,138.1,139.35,138,138.55,310,0
2017-10-23,16:30:00,138.7,138.8,138.7,138.8,45,0
2017-10-23,16:35:00,138.8,138.8,138.8,138.8,5,0
2017-10-23,16:40:00,138.75,138.75,138.45,138.75,22,0
2017-10-23,16:45:00,138.65,138.7,138.65,138.7,52,0
2017-10-23,16:50:00,138.55,138.55,138.35,138.35,7,0
